"cell","M","n_c","sd_right","se_right","cov_right","sd_naive","se_naive","cov_naive","sign_disagree","mean_abs_diff"
1,1,50,0.16624175067009,0.16583123951777,0.94825,0.168417464571267,0.136930639376292,0.88225,0.0305,0.0200264230653029
2,2,50,0.156212799351709,0.155838744494796,0.9465,0.157079268926995,0.107417231105915,0.8205,0.01975,0.0132694054825316
3,4,50,0.149353651488326,0.149357598761135,0.948,0.149461122599182,0.0807572853087248,0.7105,0.013,0.00766364403536117
4,8,50,0.148959627694258,0.14560219778561,0.94475,0.148999302388776,0.0590624423218618,0.56675,0.00625,0.00408941412371071
5,1,200,0.105054928514898,0.104880884817015,0.94875,0.105094566743607,0.0925820099772551,0.91075,0.004,0.00367223553774086
6,2,200,0.0933651950408486,0.0935414346693485,0.95175,0.0934823584527426,0.0738548945875996,0.88375,0.00025,0.00258131862373919
7,4,200,0.0859297848977763,0.0845154254728517,0.94525,0.0859400891400081,0.0561951486949016,0.7995,0.00175,0.00158127797221812
8,8,200,0.078193187196895,0.0784464540552736,0.955,0.0781954903082833,0.0414039335605412,0.69775,0.00075,0.000883698198426916
