"scenario","nS","nT","d","em_sd","kappa","rho_T","method","reference","cov_diff","cov_diff_mcse","discordant","n"
83,500,500,0.8,0.9,1,0.3,"normal-recon","joint-score",0.00680136027205436,0.00122937164089155,38,4999
83,500,500,0.8,0.9,1,0.3,"reported-cov","joint-score",0.00620124024804958,0.00118019809921855,35,4999
84,500,500,0.8,0.9,1,0.6,"target-fixed","joint-score",-0.00180000000000002,0.000824228123761862,17,5000
84,500,500,0.8,0.9,1,0.6,"normal-recon","joint-score",0.00580000000000003,0.00114598080263153,33,5000
84,500,500,0.8,0.9,1,0.6,"reported-cov","joint-score",0.00519999999999998,0.00109297392466609,30,5000
85,500,2000,0,0,0,0.3,"target-fixed","joint-score",-0.000399999999999956,0.000282786138274138,2,5000
85,500,2000,0,0,0,0.3,"normal-recon","joint-score",0,0,0,5000
85,500,2000,0,0,0,0.3,"reported-cov","joint-score",-0.000199999999999978,0.0001999799989999,1,5000
86,500,2000,0,0,0,0.6,"target-fixed","joint-score",-0.000800000000000023,0.000399839967987194,4,5000
86,500,2000,0,0,0,0.6,"normal-recon","joint-score",0,0,0,5000
86,500,2000,0,0,0,0.6,"reported-cov","joint-score",0,0,0,5000
87,500,2000,0,0.45,0,0.3,"target-fixed","joint-score",-0.002,0.000631822759957253,10,5000
87,500,2000,0,0.45,0,0.3,"normal-recon","joint-score",0.000199999999999978,0.0001999799989999,1,5000
87,500,2000,0,0.45,0,0.3,"reported-cov","joint-score",0,0,0,5000
88,500,2000,0,0.45,0,0.6,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
88,500,2000,0,0.45,0,0.6,"normal-recon","joint-score",0.000199999999999978,0.0001999799989999,1,5000
88,500,2000,0,0.45,0,0.6,"reported-cov","joint-score",0,0,0,5000
89,500,2000,0,0.45,0.5,0.3,"target-fixed","joint-score",-0.000800000000000023,0.000399839967987194,4,5000
89,500,2000,0,0.45,0.5,0.3,"normal-recon","joint-score",0.000399999999999956,0.000282786138274138,2,5000
89,500,2000,0,0.45,0.5,0.3,"reported-cov","joint-score",0.000399999999999956,0.000282786138274138,2,5000
90,500,2000,0,0.45,0.5,0.6,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
90,500,2000,0,0.45,0.5,0.6,"normal-recon","joint-score",0.00119999999999998,0.000489603921552922,6,5000
90,500,2000,0,0.45,0.5,0.6,"reported-cov","joint-score",0.00139999999999996,0.000528779727296726,7,5000
91,500,2000,0,0.45,1,0.3,"target-fixed","joint-score",0.000400000000000067,0.0003999599979998,4,5000
91,500,2000,0,0.45,1,0.3,"normal-recon","joint-score",0.00119999999999998,0.000489603921552922,6,5000
91,500,2000,0,0.45,1,0.3,"reported-cov","joint-score",0.00119999999999998,0.000489603921552922,6,5000
92,500,2000,0,0.45,1,0.6,"target-fixed","joint-score",0.000600000000000045,0.000346306222872186,3,5000
92,500,2000,0,0.45,1,0.6,"normal-recon","joint-score",0.00160000000000005,0.000565232695444982,8,5000
92,500,2000,0,0.45,1,0.6,"reported-cov","joint-score",0.00139999999999996,0.000528779727296726,7,5000
93,500,2000,0,0.9,0,0.3,"target-fixed","joint-score",-0.00280000000000002,0.000747283078893133,14,5000
93,500,2000,0,0.9,0,0.3,"normal-recon","joint-score",0,0.000282842712474619,2,5000
93,500,2000,0,0.9,0,0.3,"reported-cov","joint-score",0,0.000282842712474619,2,5000
94,500,2000,0,0.9,0,0.6,"target-fixed","joint-score",-0.00280000000000002,0.000747283078893133,14,5000
94,500,2000,0,0.9,0,0.6,"normal-recon","joint-score",0.000799999999999912,0.000399839967987194,4,5000
94,500,2000,0,0.9,0,0.6,"reported-cov","joint-score",0.000199999999999978,0.0001999799989999,1,5000
95,500,2000,0,0.9,0.5,0.3,"target-fixed","joint-score",-0.000400000000000067,0.0003999599979998,4,5000
95,500,2000,0,0.9,0.5,0.3,"normal-recon","joint-score",0.00359999999999994,0.000846999409681022,18,5000
95,500,2000,0,0.9,0.5,0.3,"reported-cov","joint-score",0.00359999999999994,0.000846999409681022,18,5000
96,500,2000,0,0.9,0.5,0.6,"target-fixed","joint-score",-0.000599999999999934,0.000447133089806603,5,5000
96,500,2000,0,0.9,0.5,0.6,"normal-recon","joint-score",0.00219999999999998,0.000662594898863551,11,5000
96,500,2000,0,0.9,0.5,0.6,"reported-cov","joint-score",0.00240000000000007,0.000691988439209789,12,5000
97,500,2000,0,0.9,1,0.3,"target-fixed","joint-score",0.002,0.000631822759957253,10,5000
97,500,2000,0,0.9,1,0.3,"normal-recon","joint-score",0.00439999999999996,0.000936017093861004,22,5000
97,500,2000,0,0.9,1,0.3,"reported-cov","joint-score",0.00459999999999994,0.000956957679315026,23,5000
98,500,2000,0,0.9,1,0.6,"target-fixed","joint-score",0.00259999999999994,0.000720172201629583,13,5000
98,500,2000,0,0.9,1,0.6,"normal-recon","joint-score",0.00559999999999994,0.00105533312276267,28,5000
98,500,2000,0,0.9,1,0.6,"reported-cov","joint-score",0.005,0.000997496867163,25,5000
99,500,2000,0.4,0,0,0.3,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
99,500,2000,0.4,0,0,0.3,"normal-recon","joint-score",0.000199999999999978,0.0001999799989999,1,5000
99,500,2000,0.4,0,0,0.3,"reported-cov","joint-score",0.000199999999999978,0.0001999799989999,1,5000
100,500,2000,0.4,0,0,0.6,"target-fixed","joint-score",-0.000800000000000023,0.000399839967987194,4,5000
100,500,2000,0.4,0,0,0.6,"normal-recon","joint-score",0,0.000282842712474619,2,5000
100,500,2000,0.4,0,0,0.6,"reported-cov","joint-score",0,0.000282842712474619,2,5000
101,500,2000,0.4,0.45,0,0.3,"target-fixed","joint-score",-0.00099999999999989,0.00044698993277254,5,5000
101,500,2000,0.4,0.45,0,0.3,"normal-recon","joint-score",-0.000199999999999978,0.0001999799989999,1,5000
101,500,2000,0.4,0.45,0,0.3,"reported-cov","joint-score",-0.000199999999999978,0.0001999799989999,1,5000
102,500,2000,0.4,0.45,0,0.6,"target-fixed","joint-score",-0.00219999999999998,0.000662594898863551,11,5000
102,500,2000,0.4,0.45,0,0.6,"normal-recon","joint-score",0.000199999999999978,0.000346398614315935,3,5000
102,500,2000,0.4,0.45,0,0.6,"reported-cov","joint-score",0,4e-04,4,5000
103,500,2000,0.4,0.45,0.5,0.3,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
103,500,2000,0.4,0.45,0.5,0.3,"normal-recon","joint-score",0.000199999999999978,0.000346398614315935,3,5000
103,500,2000,0.4,0.45,0.5,0.3,"reported-cov","joint-score",0.000199999999999978,0.000346398614315935,3,5000
104,500,2000,0.4,0.45,0.5,0.6,"target-fixed","joint-score",-0.00139999999999996,0.000528779727296726,7,5000
104,500,2000,0.4,0.45,0.5,0.6,"normal-recon","joint-score",0.001,0.00044698993277254,5,5000
104,500,2000,0.4,0.45,0.5,0.6,"reported-cov","joint-score",0.000800000000000023,0.000399839967987194,4,5000
105,500,2000,0.4,0.45,1,0.3,"target-fixed","joint-score",-0.000399999999999956,0.000282786138274138,2,5000
105,500,2000,0.4,0.45,1,0.3,"normal-recon","joint-score",0.00139999999999996,0.000528779727296726,7,5000
105,500,2000,0.4,0.45,1,0.3,"reported-cov","joint-score",0.00159999999999993,0.000565232695444982,8,5000
106,500,2000,0.4,0.45,1,0.6,"target-fixed","joint-score",-0.001,0.000528961246217528,7,5000
106,500,2000,0.4,0.45,1,0.6,"normal-recon","joint-score",0.00139999999999996,0.000528779727296726,7,5000
106,500,2000,0.4,0.45,1,0.6,"reported-cov","joint-score",0.00159999999999993,0.000565232695444982,8,5000
107,500,2000,0.4,0.9,0,0.3,"target-fixed","joint-score",-0.00319999999999998,0.000798718974358316,16,5000
107,500,2000,0.4,0.9,0,0.3,"normal-recon","joint-score",0,0,0,5000
107,500,2000,0.4,0.9,0,0.3,"reported-cov","joint-score",0,0,0,5000
108,500,2000,0.4,0.9,0,0.6,"target-fixed","joint-score",-0.00319999999999998,0.000798718974358316,16,5000
108,500,2000,0.4,0.9,0,0.6,"normal-recon","joint-score",0.000400000000000067,0.000282786138274138,2,5000
108,500,2000,0.4,0.9,0,0.6,"reported-cov","joint-score",-0.000199999999999978,0.0001999799989999,1,5000
109,500,2000,0.4,0.9,0.5,0.3,"target-fixed","joint-score",-0.00119999999999998,0.000489603921552922,6,5000
109,500,2000,0.4,0.9,0.5,0.3,"normal-recon","joint-score",0.00239999999999996,0.000691988439209789,12,5000
109,500,2000,0.4,0.9,0.5,0.3,"reported-cov","joint-score",0.00239999999999996,0.000691988439209789,12,5000
110,500,2000,0.4,0.9,0.5,0.6,"target-fixed","joint-score",-0.000600000000000045,0.000346306222872186,3,5000
110,500,2000,0.4,0.9,0.5,0.6,"normal-recon","joint-score",0.00219999999999998,0.000662594898863551,11,5000
110,500,2000,0.4,0.9,0.5,0.6,"reported-cov","joint-score",0.00219999999999998,0.000662594898863551,11,5000
111,500,2000,0.4,0.9,1,0.3,"target-fixed","joint-score",0.000399999999999956,0.000282786138274138,2,5000
111,500,2000,0.4,0.9,1,0.3,"normal-recon","joint-score",0.00280000000000002,0.000747283078893133,14,5000
111,500,2000,0.4,0.9,1,0.3,"reported-cov","joint-score",0.00260000000000005,0.000720172201629583,13,5000
112,500,2000,0.4,0.9,1,0.6,"target-fixed","joint-score",0.000800000000000023,0.000399839967987194,4,5000
112,500,2000,0.4,0.9,1,0.6,"normal-recon","joint-score",0.00319999999999998,0.000798718974358316,16,5000
112,500,2000,0.4,0.9,1,0.6,"reported-cov","joint-score",0.00280000000000002,0.000747283078893133,14,5000
113,500,2000,0.8,0,0,0.3,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
113,500,2000,0.8,0,0,0.3,"normal-recon","joint-score",0,0,0,5000
113,500,2000,0.8,0,0,0.3,"reported-cov","joint-score",0,0,0,5000
114,500,2000,0.8,0,0,0.6,"target-fixed","joint-score",-0.00159999999999993,0.000565232695444982,8,5000
114,500,2000,0.8,0,0,0.6,"normal-recon","joint-score",-0.000199999999999978,0.0001999799989999,1,5000
114,500,2000,0.8,0,0,0.6,"reported-cov","joint-score",-0.000199999999999978,0.0001999799989999,1,5000
115,500,2000,0.8,0.45,0,0.3,"target-fixed","joint-score",-0.00180000000000002,0.000599459756781054,9,5000
115,500,2000,0.8,0.45,0,0.3,"normal-recon","joint-score",0.000399999999999956,0.000282786138274138,2,5000
115,500,2000,0.8,0.45,0,0.3,"reported-cov","joint-score",0.000199999999999978,0.0001999799989999,1,5000
116,500,2000,0.8,0.45,0,0.6,"target-fixed","joint-score",-0.00120024004800967,0.000489701803078709,6,4999
116,500,2000,0.8,0.45,0,0.6,"normal-recon","joint-score",0,0,0,4999
116,500,2000,0.8,0.45,0,0.6,"reported-cov","joint-score",0,0,0,4999
117,500,2000,0.8,0.45,0.5,0.3,"target-fixed","joint-score",-0.00219999999999998,0.000662594898863551,11,5000
117,500,2000,0.8,0.45,0.5,0.3,"normal-recon","joint-score",0.000199999999999978,0.0001999799989999,1,5000
117,500,2000,0.8,0.45,0.5,0.3,"reported-cov","joint-score",0.000199999999999978,0.0001999799989999,1,5000
118,500,2000,0.8,0.45,0.5,0.6,"target-fixed","joint-score",-0.00279999999999991,0.000747283078893133,14,5000
118,500,2000,0.8,0.45,0.5,0.6,"normal-recon","joint-score",0.000200000000000089,0.0001999799989999,1,5000
118,500,2000,0.8,0.45,0.5,0.6,"reported-cov","joint-score",0.000200000000000089,0.0001999799989999,1,5000
119,500,2000,0.8,0.45,1,0.3,"target-fixed","joint-score",-0.000600000000000045,0.000346306222872186,3,5000
119,500,2000,0.8,0.45,1,0.3,"normal-recon","joint-score",0.001,0.00044698993277254,5,5000
119,500,2000,0.8,0.45,1,0.3,"reported-cov","joint-score",0.001,0.00044698993277254,5,5000
120,500,2000,0.8,0.45,1,0.6,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
120,500,2000,0.8,0.45,1,0.6,"normal-recon","joint-score",0.000600000000000045,0.000447133089806603,5,5000
120,500,2000,0.8,0.45,1,0.6,"reported-cov","joint-score",0.000800000000000023,0.000399839967987194,4,5000
121,500,2000,0.8,0.9,0,0.3,"target-fixed","joint-score",-0.00379999999999991,0.000870121830550182,19,5000
121,500,2000,0.8,0.9,0,0.3,"normal-recon","joint-score",-0.000199999999999978,0.000346398614315935,3,5000
121,500,2000,0.8,0.9,0,0.3,"reported-cov","joint-score",0,4e-04,4,5000
122,500,2000,0.8,0.9,0,0.6,"target-fixed","joint-score",-0.00380000000000003,0.000870121830550182,19,5000
122,500,2000,0.8,0.9,0,0.6,"normal-recon","joint-score",-0.000399999999999956,0.000282786138274138,2,5000
122,500,2000,0.8,0.9,0,0.6,"reported-cov","joint-score",0,0,0,5000
123,500,2000,0.8,0.9,0.5,0.3,"target-fixed","joint-score",-0.00180000000000002,0.000599459756781054,9,5000
123,500,2000,0.8,0.9,0.5,0.3,"normal-recon","joint-score",0.000600000000000045,0.000346306222872186,3,5000
123,500,2000,0.8,0.9,0.5,0.3,"reported-cov","joint-score",0.000800000000000023,0.000399839967987194,4,5000
124,500,2000,0.8,0.9,0.5,0.6,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
124,500,2000,0.8,0.9,0.5,0.6,"normal-recon","joint-score",0.00239999999999996,0.000691988439209789,12,5000
124,500,2000,0.8,0.9,0.5,0.6,"reported-cov","joint-score",0.00139999999999996,0.000528779727296726,7,5000
125,500,2000,0.8,0.9,1,0.3,"target-fixed","joint-score",0.000600000000000045,0.000529082224233625,7,5000
125,500,2000,0.8,0.9,1,0.3,"normal-recon","joint-score",0.004,0.00093637599285757,22,5000
125,500,2000,0.8,0.9,1,0.3,"reported-cov","joint-score",0.004,0.00093637599285757,22,5000
126,500,2000,0.8,0.9,1,0.6,"target-fixed","joint-score",0.000399999999999956,0.0003999599979998,4,5000
126,500,2000,0.8,0.9,1,0.6,"normal-recon","joint-score",0.00239999999999996,0.000691988439209789,12,5000
126,500,2000,0.8,0.9,1,0.6,"reported-cov","joint-score",0.002,0.000631822759957253,10,5000
127,2000,200,0,0,0,0.3,"target-fixed","joint-score",0.000199999999999978,0.0001999799989999,1,5000
127,2000,200,0,0,0,0.3,"normal-recon","joint-score",0.000199999999999978,0.0001999799989999,1,5000
127,2000,200,0,0,0,0.3,"reported-cov","joint-score",0.000199999999999978,0.0001999799989999,1,5000
128,2000,200,0,0,0,0.6,"target-fixed","joint-score",-0.000199999999999978,0.000346398614315935,3,5000
128,2000,200,0,0,0,0.6,"normal-recon","joint-score",0.000399999999999956,0.000282786138274138,2,5000
128,2000,200,0,0,0,0.6,"reported-cov","joint-score",0.000399999999999956,0.000282786138274138,2,5000
129,2000,200,0,0.45,0,0.3,"target-fixed","joint-score",-0.00480000000000003,0.00101754213671965,26,5000
129,2000,200,0,0.45,0,0.3,"normal-recon","joint-score",0.000599999999999934,0.000774550192046971,15,5000
129,2000,200,0,0.45,0,0.3,"reported-cov","joint-score",0.000799999999999912,0.0007999199959996,16,5000
130,2000,200,0,0.45,0,0.6,"target-fixed","joint-score",-0.00460000000000005,0.00103719236402897,27,5000
130,2000,200,0,0.45,0,0.6,"normal-recon","joint-score",0.00139999999999996,0.000916301260503335,21,5000
130,2000,200,0,0.45,0,0.6,"reported-cov","joint-score",0.00119999999999998,0.000979648916704347,24,5000
131,2000,200,0,0.45,0.5,0.3,"target-fixed","joint-score",-0.000600000000000045,0.000871738492897956,19,5000
131,2000,200,0,0.45,0.5,0.3,"normal-recon","joint-score",0.00419999999999998,0.000998234441401418,25,5000
131,2000,200,0,0.45,0.5,0.3,"reported-cov","joint-score",0.00380000000000003,0.000957659647265144,23,5000
132,2000,200,0,0.45,0.5,0.6,"target-fixed","joint-score",0.00119999999999998,0.000848358414822414,18,5000
132,2000,200,0,0.45,0.5,0.6,"normal-recon","joint-score",0.00680000000000003,0.00122912651911835,38,5000
132,2000,200,0,0.45,0.5,0.6,"reported-cov","joint-score",0.00559999999999994,0.00109257860129146,30,5000
133,2000,200,0,0.45,1,0.3,"target-fixed","joint-score",0.005,0.00103682206766639,27,5000
133,2000,200,0,0.45,1,0.3,"normal-recon","joint-score",0.01,0.00140712472794703,50,5000
133,2000,200,0,0.45,1,0.3,"reported-cov","joint-score",0.00980000000000003,0.00139312311013779,49,5000
134,2000,200,0,0.45,1,0.6,"target-fixed","joint-score",0.00459999999999994,0.00103719236402897,27,5000
134,2000,200,0,0.45,1,0.6,"normal-recon","joint-score",0.00900000000000001,0.00136521060646334,47,5000
134,2000,200,0,0.45,1,0.6,"reported-cov","joint-score",0.00859999999999994,0.00133611676136481,45,5000
135,2000,200,0,0.9,0,0.3,"target-fixed","joint-score",-0.0134,0.00162606518934513,67,5000
135,2000,200,0,0.9,0,0.3,"normal-recon","joint-score",0.00160000000000005,0.00109521139511968,30,5000
135,2000,200,0,0.9,0,0.3,"reported-cov","joint-score",0.00180000000000002,0.00107673209295535,29,5000
136,2000,200,0,0.9,0,0.6,"target-fixed","joint-score",-0.0177999999999999,0.00186992834087299,89,5000
136,2000,200,0,0.9,0,0.6,"normal-recon","joint-score",0.00540000000000007,0.00124666274509187,39,5000
136,2000,200,0,0.9,0,0.6,"reported-cov","joint-score",0.00140000000000007,0.00103904186633648,27,5000
137,2000,200,0,0.9,0.5,0.3,"target-fixed","joint-score",-0.00140000000000007,0.0011133768454571,31,5000
137,2000,200,0,0.9,0.5,0.3,"normal-recon","joint-score",0.0132,0.00161404832641405,66,5000
137,2000,200,0,0.9,0.5,0.3,"reported-cov","joint-score",0.0127999999999999,0.0015897270205919,64,5000
138,2000,200,0,0.9,0.5,0.6,"target-fixed","joint-score",-0.000199999999999978,0.00128062172400752,41,5000
138,2000,200,0,0.9,0.5,0.6,"normal-recon","joint-score",0.0168,0.00181756760534512,84,5000
138,2000,200,0,0.9,0.5,0.6,"reported-cov","joint-score",0.0144,0.00168479316237929,72,5000
139,2000,200,0,0.9,1,0.3,"target-fixed","joint-score",0.00940000000000007,0.00144994068844212,53,5000
139,2000,200,0,0.9,1,0.3,"normal-recon","joint-score",0.0182,0.00189043698651925,91,5000
139,2000,200,0,0.9,1,0.3,"reported-cov","joint-score",0.018,0.00188021275391909,90,5000
140,2000,200,0,0.9,1,0.6,"target-fixed","joint-score",0.0104000000000001,0.00154219583711019,60,5000
140,2000,200,0,0.9,1,0.6,"normal-recon","joint-score",0.02,0.00197989898732233,100,5000
140,2000,200,0,0.9,1,0.6,"reported-cov","joint-score",0.0192,0.00194068853760721,96,5000
141,2000,200,0.4,0,0,0.3,"target-fixed","joint-score",-0.000400000000000067,0.000565657139970849,8,5000
141,2000,200,0.4,0,0,0.3,"normal-recon","joint-score",0.001,0.000599833310178753,9,5000
141,2000,200,0.4,0,0,0.3,"reported-cov","joint-score",0.00119999999999998,0.000632227807044265,10,5000
142,2000,200,0.4,0,0,0.6,"target-fixed","joint-score",-0.000399999999999956,0.000565657139970849,8,5000
142,2000,200,0.4,0,0,0.6,"normal-recon","joint-score",0.000600000000000045,0.000529082224233625,7,5000
142,2000,200,0.4,0,0,0.6,"reported-cov","joint-score",0.000800000000000023,0.000489767291680447,6,5000
143,2000,200,0.4,0.45,0,0.3,"target-fixed","joint-score",-0.00319999999999998,0.000798718974358316,16,5000
143,2000,200,0.4,0.45,0,0.3,"normal-recon","joint-score",0.000800000000000023,0.000632354331051824,10,5000
143,2000,200,0.4,0.45,0,0.3,"reported-cov","joint-score",0.000399999999999956,0.00063243023330641,10,5000
144,2000,200,0.4,0.45,0,0.6,"target-fixed","joint-score",-0.00680000000000003,0.00116221856808433,34,5000
144,2000,200,0.4,0.45,0,0.6,"normal-recon","joint-score",0.00280000000000002,0.000847603680973602,18,5000
144,2000,200,0.4,0.45,0,0.6,"reported-cov","joint-score",0.000800000000000023,0.0007999199959996,16,5000
145,2000,200,0.4,0.45,0.5,0.3,"target-fixed","joint-score",-0.001,0.000720971566707037,13,5000
145,2000,200,0.4,0.45,0.5,0.3,"normal-recon","joint-score",0.00440000000000007,0.00101790372825725,26,5000
145,2000,200,0.4,0.45,0.5,0.3,"reported-cov","joint-score",0.00480000000000003,0.000977441558355281,24,5000
146,2000,200,0.4,0.45,0.5,0.6,"target-fixed","joint-score",0,8e-04,16,5000
146,2000,200,0.4,0.45,0.5,0.6,"normal-recon","joint-score",0.00440000000000007,0.000936017093861004,22,5000
146,2000,200,0.4,0.45,0.5,0.6,"reported-cov","joint-score",0.00380000000000003,0.000870121830550182,19,5000
147,2000,200,0.4,0.45,1,0.3,"target-fixed","joint-score",0.00180000000000002,0.000824228123761862,17,5000
147,2000,200,0.4,0.45,1,0.3,"normal-recon","joint-score",0.00539999999999996,0.00103642076397571,27,5000
147,2000,200,0.4,0.45,1,0.3,"reported-cov","joint-score",0.00560000000000005,0.00105533312276267,28,5000
148,2000,200,0.4,0.45,1,0.6,"target-fixed","joint-score",0.00240000000000007,0.000979207843105844,24,5000
148,2000,200,0.4,0.45,1,0.6,"normal-recon","joint-score",0.00880000000000003,0.00132079975772257,44,5000
148,2000,200,0.4,0.45,1,0.6,"reported-cov","joint-score",0.00740000000000007,0.00121204290353106,37,5000
149,2000,200,0.4,0.9,0,0.3,"target-fixed","joint-score",-0.0212,0.00203718236787971,106,5000
149,2000,200,0.4,0.9,0,0.3,"normal-recon","joint-score",0.00139999999999996,0.00114874192053742,33,5000
149,2000,200,0.4,0.9,0,0.3,"reported-cov","joint-score",0.000399999999999956,0.00101978821330706,26,5000
150,2000,200,0.4,0.9,0,0.6,"target-fixed","joint-score",-0.0158,0.00178607726596584,81,5000
150,2000,200,0.4,0.9,0,0.6,"normal-recon","joint-score",0.00319999999999998,0.00113046539088996,32,5000
150,2000,200,0.4,0.9,0,0.6,"reported-cov","joint-score",0.001,0.000959062041788747,23,5000
151,2000,200,0.4,0.9,0.5,0.3,"target-fixed","joint-score",0.000400000000000067,0.00113135670767446,32,5000
151,2000,200,0.4,0.9,0.5,0.3,"normal-recon","joint-score",0.0114000000000001,0.00150133540556399,57,5000
151,2000,200,0.4,0.9,0.5,0.3,"reported-cov","joint-score",0.0114000000000001,0.00150133540556399,57,5000
152,2000,200,0.4,0.9,0.5,0.6,"target-fixed","joint-score",-0.00260000000000005,0.00131097215836188,43,5000
152,2000,200,0.4,0.9,0.5,0.6,"normal-recon","joint-score",0.0118,0.00160379300409997,65,5000
152,2000,200,0.4,0.9,0.5,0.6,"reported-cov","joint-score",0.0108,0.0015154774825117,58,5000
153,2000,200,0.4,0.9,1,0.3,"target-fixed","joint-score",0.00740000000000007,0.00130730562608749,43,5000
153,2000,200,0.4,0.9,1,0.3,"normal-recon","joint-score",0.0166000000000001,0.00180690010791964,83,5000
153,2000,200,0.4,0.9,1,0.3,"reported-cov","joint-score",0.0164,0.00179616480312916,82,5000
154,2000,200,0.4,0.9,1,0.6,"target-fixed","joint-score",0.00680000000000003,0.00129257572312031,42,5000
154,2000,200,0.4,0.9,1,0.6,"normal-recon","joint-score",0.0186,0.0019107087690174,93,5000
154,2000,200,0.4,0.9,1,0.6,"reported-cov","joint-score",0.017,0.00182816848238886,85,5000
155,2000,200,0.8,0,0,0.3,"target-fixed","joint-score",-0.00240048009601923,0.000747710756737759,14,4999
155,2000,200,0.8,0,0,0.3,"normal-recon","joint-score",-0.001000200040008,0.00066330681646284,11,4999
155,2000,200,0.8,0,0,0.3,"reported-cov","joint-score",-0.001000200040008,0.00066330681646284,11,4999
156,2000,200,0.8,0,0,0.6,"target-fixed","joint-score",-0.003,0.000870746805908583,19,5000
156,2000,200,0.8,0,0,0.6,"normal-recon","joint-score",0.000600000000000045,0.000824577467555354,17,5000
156,2000,200,0.8,0,0,0.6,"reported-cov","joint-score",0.000600000000000045,0.000721060330346913,13,5000
157,2000,200,0.8,0.45,0,0.3,"target-fixed","joint-score",-0.0066013202640528,0.0011453431490827,33,4999
157,2000,200,0.8,0.45,0,0.3,"normal-recon","joint-score",-0.000400080016003224,0.000748459783829594,14,4999
157,2000,200,0.8,0.45,0,0.3,"reported-cov","joint-score",0,0.000748481173589506,14,4999
158,2000,200,0.8,0.45,0,0.6,"target-fixed","joint-score",-0.00680000000000003,0.00119614045997951,36,5000
158,2000,200,0.8,0.45,0,0.6,"normal-recon","joint-score",0.000599999999999934,0.000774550192046971,15,5000
158,2000,200,0.8,0.45,0,0.6,"reported-cov","joint-score",0.000399999999999956,0.000799979999749994,16,5000
159,2000,200,0.8,0.45,0.5,0.3,"target-fixed","joint-score",-0.00239999999999996,0.000847849043167473,18,5000
159,2000,200,0.8,0.45,0.5,0.3,"normal-recon","joint-score",0.003,0.000823528991596531,17,5000
159,2000,200,0.8,0.45,0.5,0.3,"reported-cov","joint-score",0.00340000000000007,0.000870452755754154,19,5000
160,2000,200,0.8,0.45,0.5,0.6,"target-fixed","joint-score",-0.004,0.000978161540850999,24,5000
160,2000,200,0.8,0.45,0.5,0.6,"normal-recon","joint-score",0.004,0.00109398354649419,30,5000
160,2000,200,0.8,0.45,0.5,0.6,"reported-cov","joint-score",0.00319999999999998,0.000978750223499336,24,5000
161,2000,200,0.8,0.45,1,0.3,"target-fixed","joint-score",-0.00160000000000005,0.000894140928489464,20,5000
161,2000,200,0.8,0.45,1,0.3,"normal-recon","joint-score",0.00480000000000003,0.00105612120516539,28,5000
161,2000,200,0.8,0.45,1,0.3,"reported-cov","joint-score",0.00480000000000003,0.00105612120516539,28,5000
162,2000,200,0.8,0.45,1,0.6,"target-fixed","joint-score",-0.00140028005601123,0.00095915372862505,23,4999
162,2000,200,0.8,0.45,1,0.6,"normal-recon","joint-score",0.00540108021604324,0.00118098461778495,35,4999
162,2000,200,0.8,0.45,1,0.6,"reported-cov","joint-score",0.00540108021604324,0.00114660047873795,33,4999
163,2000,200,0.8,0.9,0,0.3,"target-fixed","joint-score",-0.0160032006401281,0.00177483792268768,80,4999
163,2000,200,0.8,0.9,0,0.3,"normal-recon","joint-score",0.001000200040008,0.000824664757082385,17,4999
163,2000,200,0.8,0.9,0,0.3,"reported-cov","joint-score",0.00060012002400478,0.000871912867210388,19,4999
164,2000,200,0.8,0.9,0,0.6,"target-fixed","joint-score",-0.0122024404880976,0.00155280083234502,61,4999
164,2000,200,0.8,0.9,0,0.6,"normal-recon","joint-score",0.00340068013602723,0.000958151722158022,23,4999
164,2000,200,0.8,0.9,0,0.6,"reported-cov","joint-score",0.00120024004800956,0.000938117227620847,22,4999
165,2000,200,0.8,0.9,0.5,0.3,"target-fixed","joint-score",-0.00520104020804157,0.00119798369218773,36,4999
165,2000,200,0.8,0.9,0.5,0.3,"normal-recon","joint-score",0.00780156031206236,0.00127611946663751,41,4999
165,2000,200,0.8,0.9,0.5,0.3,"reported-cov","joint-score",0.0076015203040608,0.00126058766378138,40,4999
166,2000,200,0.8,0.9,0.5,0.6,"target-fixed","joint-score",-0.00640128025605124,0.00122980131130273,38,4999
166,2000,200,0.8,0.9,0.5,0.6,"normal-recon","joint-score",0.00740148029605914,0.00124485565967327,39,4999
166,2000,200,0.8,0.9,0.5,0.6,"reported-cov","joint-score",0.0066013202640528,0.00117976393348552,35,4999
167,2000,200,0.8,0.9,1,0.3,"target-fixed","joint-score",0.00380076015203046,0.00118223112569051,35,4999
167,2000,200,0.8,0.9,1,0.3,"normal-recon","joint-score",0.0172034406881377,0.00183906848646402,86,4999
167,2000,200,0.8,0.9,1,0.3,"reported-cov","joint-score",0.0166033206641328,0.00180725850892311,83,4999
168,2000,200,0.8,0.9,1,0.6,"target-fixed","joint-score",0.00260000000000005,0.00124845824920179,39,5000
168,2000,200,0.8,0.9,1,0.6,"normal-recon","joint-score",0.0148,0.00175390763724889,78,5000
168,2000,200,0.8,0.9,1,0.6,"reported-cov","joint-score",0.0144000000000001,0.00173162582563324,76,5000
