"scenario","nS","nT","d","em_sd","kappa","rho_T","method","reference","cov_diff","cov_diff_mcse","discordant","n"
18,500,200,0.4,0.45,0,0.6,"target-fixed","joint-score",-0.00679999999999992,0.00116221856808433,34,5000
18,500,200,0.4,0.45,0,0.6,"normal-recon","joint-score",0.000199999999999978,0.000663318927816778,11,5000
18,500,200,0.4,0.45,0,0.6,"reported-cov","joint-score",0,0.000748331477354788,14,5000
19,500,200,0.4,0.45,0.5,0.3,"target-fixed","joint-score",-0.00180000000000002,0.000871408055964598,19,5000
19,500,200,0.4,0.45,0.5,0.3,"normal-recon","joint-score",0.002,0.00089397986554508,20,5000
19,500,200,0.4,0.45,0.5,0.3,"reported-cov","joint-score",0.002,0.00089397986554508,20,5000
20,500,200,0.4,0.45,0.5,0.6,"target-fixed","joint-score",-0.00159999999999993,0.000799679935974387,16,5000
20,500,200,0.4,0.45,0.5,0.6,"normal-recon","joint-score",0.00160000000000005,0.000565232695444982,8,5000
20,500,200,0.4,0.45,0.5,0.6,"reported-cov","joint-score",0.00140000000000007,0.000528779727296726,7,5000
21,500,200,0.4,0.45,1,0.3,"target-fixed","joint-score",0.001,0.00066317418526357,11,5000
21,500,200,0.4,0.45,1,0.3,"normal-recon","joint-score",0.004,0.000892636544176856,20,5000
21,500,200,0.4,0.45,1,0.3,"reported-cov","joint-score",0.00379999999999991,0.000870121830550182,19,5000
22,500,200,0.4,0.45,1,0.6,"target-fixed","joint-score",-0.000599999999999934,0.000824577467555354,17,5000
22,500,200,0.4,0.45,1,0.6,"normal-recon","joint-score",0.005,0.00107470926301023,29,5000
22,500,200,0.4,0.45,1,0.6,"reported-cov","joint-score",0.00480000000000003,0.00105612120516539,28,5000
23,500,200,0.4,0.9,0,0.3,"target-fixed","joint-score",-0.0117999999999999,0.00152713850059515,59,5000
23,500,200,0.4,0.9,0,0.3,"normal-recon","joint-score",-0.000199999999999978,0.000871775200381383,19,5000
23,500,200,0.4,0.9,0,0.3,"reported-cov","joint-score",-0.000399999999999956,0.000848509281033508,18,5000
24,500,200,0.4,0.9,0,0.6,"target-fixed","joint-score",-0.017,0.00182816848238886,85,5000
