"n","m","original_feasible","resample_failure","ess","bias","coverage_given_success","coverage_unconditional","width"
100,1,1,9.00000000000002e-05,38.425744123272,0.00257847145538028,0.928,0.928,0.592107777369634
100,1.5,1,0.01167,14.6173926029226,0.00267398538641277,0.892,0.892,0.929685521779025
100,2,0.868,0.26479,5.40192547433162,0.00936437760789178,0.645161290322581,0.56,0.950254173120889
100,2.5,0.472,0.66985,2.57782251288669,0.0466861787454185,0.288135593220339,0.136,0.574939418573501
300,1,1,0,114.602883647695,-0.00530392237325774,0.934,0.934,0.347695962554178
300,1.5,1,0,42.0703861521669,-0.0103359006644142,0.916,0.916,0.547526428459177
300,2,0.998,0.01279,13.7389980790497,-0.0131865366431752,0.87374749498998,0.872,0.938144862587817
300,2.5,0.832,0.31698,4.48330992312234,-0.0208226263572678,0.605769230769231,0.504,0.957284544510053
