"scale","analyst","one_lo","one_hi","di_alone","joint_lo","joint_hi","one_robust","joint_robust","box_reversal","box_outside","masking","el_outside_ind","el_outside_pos","el_outside_neg","el_rev_ind","el_rev_pos","el_rev_neg"
0.5,-0.203004536189586,-0.0780006377701963,0.0781726493655315,0.0205098512180946,-0.186001493454454,0.147157522034013,TRUE,TRUE,0,0.233776050102581,0,0.21775,0.3415,0.05375,0,0,0
1,-0.203004536189586,-0.155859728878423,0.156547184023599,0.0413647823892435,-0.413441931389453,0.341003841271859,TRUE,FALSE,0.0654356980887593,0.24198250728863,0.0352013821401577,0.21425,0.32075,0.07625,0.0535,0.1255,0.003
1.5,-0.203004536189586,-0.233608223437495,0.235152781569064,0.0618484630601919,-0.674386596331389,0.576574918140012,FALSE,FALSE,0.165640859518411,0.262390670553936,0.0575531800021596,0.23875,0.32225,0.1205,0.15725,0.24825,0.03525
