"m","k","g","mu","scen","scale","n_mod_in","n_prog_in","max_rel_prog","max_rel_mod","contrast"
0,6,0.3,0.5,16,"lrr",0,6,0.0555898677235892,NA,-0.267833524191646
0,6,0.3,0.5,16,"lor",0,0,0.00244852120471909,NA,-0.447537487102959
0,6,0.3,0.5,16,"clor",0,0,0,NA,-0.5
1,6,0.3,0.5,17,"rd",1,0,0.0336362805032767,0.376037659818582,-0.0722948853869638
1,6,0.3,0.5,17,"lrr",1,0,0.038935286623471,0.537377331452185,-0.159792311112472
1,6,0.3,0.5,17,"lor",1,0,0.0179923642644356,0.415960497059144,-0.29224669895041
1,6,0.3,0.5,17,"clor",1,0,0,0.428588660686144,-0.34998592767214
3,6,0.3,0.5,18,"rd",3,6,0.220626288198965,1.66137938990094,-0.0151308438008869
3,6,0.3,0.5,18,"lrr",3,6,0.175183484369549,1.89793377323976,-0.0277168757381609
3,6,0.3,0.5,18,"lor",3,6,0.22645419754128,1.64015530836913,-0.0610435681024658
3,6,0.3,0.5,18,"clor",3,0,0,2.99423980129772,-0.0500961879990338
0,2,0.6,0.5,19,"rd",0,2,0.0842260947257367,NA,-0.0980837209563469
0,2,0.6,0.5,19,"lrr",0,2,0.0956410938360747,NA,-0.286470009280817
0,2,0.6,0.5,19,"lor",0,0,0.00882318041722926,NA,-0.436433881249541
0,2,0.6,0.5,19,"clor",0,0,0,NA,-0.5
1,2,0.6,0.5,20,"rd",1,2,0.0943660981996799,0.312641825299656,-0.0635269431572828
1,2,0.6,0.5,20,"lrr",1,0,0.0453170678846054,0.57384614024627,-0.148775467108753
1,2,0.6,0.5,20,"lor",1,0,0.0496622243854809,0.40114857473886,-0.259909280563862
1,2,0.6,0.5,20,"clor",1,0,0,0.428588660686144,-0.34998592767214
3,2,0.6,0.5,21,"rd",3,2,0.394875557369995,1.0113091135097,-0.0172896735768964
3,2,0.6,0.5,21,"lrr",3,2,0.333846487832266,1.26864716653336,-0.0305711029554013
3,2,0.6,0.5,21,"lor",3,2,0.40488385054477,0.977290635907028,-0.070377645654546
3,2,0.6,0.5,21,"clor",3,0,0,2.99423980129772,-0.0500961879990338
0,6,0.6,0.5,22,"rd",0,0,0.0195536077237925,NA,-0.0870906426020457
0,6,0.6,0.5,22,"lrr",0,6,0.121910815934588,NA,-0.150558870661744
0,6,0.6,0.5,22,"lor",0,0,0.00355751614607928,NA,-0.358436729123311
0,6,0.6,0.5,22,"clor",0,0,0,NA,-0.5
1,6,0.6,0.5,23,"rd",1,0,0.00519568450546359,0.40962745511768,-0.0606699647805118
1,6,0.6,0.5,23,"lrr",1,6,0.087535369132518,0.559036157921868,-0.0953692100193883
1,6,0.6,0.5,23,"lor",1,0,0.0400764453841572,0.336727676991725,-0.26272847582376
1,6,0.6,0.5,23,"clor",1,0,0,0.428588660686144,-0.34998592767214
3,6,0.6,0.5,24,"rd",3,6,0.0854290881051069,0.657483302928559,-0.0266441729248935
3,6,0.6,0.5,24,"lrr",3,0,0.0333499708335789,0.777884085522116,-0.036652011544987
3,6,0.6,0.5,24,"lor",3,6,0.154851104885025,0.507470045522652,-0.134338474863938
3,6,0.6,0.5,24,"clor",3,0,0,2.99423980129772,-0.0500961879990338
