"diagnostic","n","noncoverage","auroc"
"EESS",97546,0.0565681832161237,0.535317020539614
"ESS x p-hat",97546,0.0565681832161237,0.588803377726113
"ESS",97546,0.0565681832161237,0.547735509228458
