"cell","method","n_ok","n_fail","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess","design","var_T","ratio","shift","em","exact_unadj"
1,"gcomp",1000,0,0.00460103992421975,0.00670881125464122,0.212151239568381,0.208951231213912,0.212095049141498,0.947,0.00708456067798138,NA,"anchored",0.25,0.5,0,"none",0.0166473215245639
1,"maic_meanvar",1000,0,0.005818604975113,0.0105859857494733,0.334758262464202,0.315998454474336,0.334641431023745,0.934,0.00785136930732467,282.148310291484,"anchored",0.25,0.5,0,"none",0.0166473215245639
1,"unadjusted",1000,0,0.0225188701589441,0.00678734747313618,0.214634772860988,0.212361891516822,0.215706089734626,0.944,0.00727076337120113,1000,"anchored",0.25,0.5,0,"none",0.0166473215245639
1,"maic_index",1000,0,0.0096755995896907,0.00799315612347127,0.252765790434913,0.248966063227775,0.252824586416733,0.942,0.00739161687318817,587.757490125741,"anchored",0.25,0.5,0,"none",0.0166473215245639
1,"maic_means",1000,0,0.0231258499038633,0.00681754925137771,0.215589836947294,0.212861738934623,0.216719412492148,0.949,0.00695693898205238,991.147637810772,"anchored",0.25,0.5,0,"none",0.0166473215245639
2,"gcomp",1000,0,-0.0129063275946452,0.00509832308940046,0.161223132099317,0.161716628623357,0.161658525038336,0.954,0.00662449998113065,NA,"unanchored",0.25,0.5,0,"none",0.0382204195203237
2,"maic_index",1000,0,-0.00420910318078297,0.00592135855941915,0.18724979890298,0.190268462868729,0.187203475532917,0.957,0.00641490451994416,298.596033765585,"unanchored",0.25,0.5,0,"none",0.0382204195203237
2,"unadjusted",1000,0,0.0360807195935783,0.00515342707946517,0.162965673266995,0.162131905085539,0.16683246440394,0.946,0.00714730718522718,500,"unanchored",0.25,0.5,0,"none",0.0382204195203237
2,"maic_means",1000,0,0.0369235421804891,0.00509316022953575,0.16105986813519,0.162675705552737,0.165159585885153,0.947,0.00708456067798138,493.94035091568,"unanchored",0.25,0.5,0,"none",0.0382204195203237
2,"maic_meanvar",1000,0,0.00734031773703287,0.00753370105052806,0.238236545304719,0.240928562797249,0.238230508398252,0.952,0.00675988165576884,147.35901007048,"unanchored",0.25,0.5,0,"none",0.0382204195203237
3,"maic_index",1000,0,-0.00691868201498171,0.00803496195612527,0.254087806941578,0.24613099707938,0.25405495701436,0.945,0.00720936890441875,586.652079548011,"anchored",1,0.5,0,"none",0.054217366484029
3,"maic_meanvar",1000,0,-0.00594545446645208,0.0101502694986257,0.320979704801925,0.310232464080625,0.320874260969385,0.939,0.00756828910652864,284.258043761377,"anchored",1,0.5,0,"none",0.054217366484029
3,"maic_means",1000,0,0.0485497571911939,0.00658589818936333,0.20826438716367,0.206998956746326,0.213746952794706,0.949,0.00695693898205238,991.108582526625,"anchored",1,0.5,0,"none",0.054217366484029
3,"unadjusted",1000,0,0.0481080382184258,0.00657681691828851,0.207977212157212,0.206520397397192,0.213367405189112,0.949,0.00695693898205238,1000,"anchored",1,0.5,0,"none",0.054217366484029
3,"gcomp",1000,0,-0.00785946326491915,0.00618658699683214,0.195637058527704,0.194963482118552,0.195697102619113,0.944,0.00727076337120113,NA,"anchored",1,0.5,0,"none",0.054217366484029
4,"maic_index",1000,0,-0.0199976490797783,0.00535416044257258,0.169313419565045,0.188559967628828,0.170406199944375,0.969,0.00548078461536303,298.569036427848,"unanchored",1,0.5,0,"none",0.114773601169657
4,"maic_means",1000,0,0.113166416394682,0.00476274386072959,0.150611185118893,0.156515128608508,0.18832865728149,0.906,0.00922843432007835,493.954712856992,"unanchored",1,0.5,0,"none",0.114773601169657
4,"unadjusted",1000,0,0.112206249087969,0.00491684940094003,0.155484430190049,0.15599893224067,0.191680658799693,0.9,0.00948683298050514,500,"unanchored",1,0.5,0,"none",0.114773601169657
4,"maic_meanvar",1000,0,-0.00679464360242898,0.00692407132360232,0.218958360640401,0.237224145602595,0.218954305991734,0.964,0.00589101010014412,146.411044684483,"unanchored",1,0.5,0,"none",0.114773601169657
4,"gcomp",1000,0,-0.0102362824991404,0.00463202467725599,0.146477481582353,0.150380313635329,0.146761638167131,0.955,0.00655553201502365,NA,"unanchored",1,0.5,0,"none",0.114773601169657
5,"maic_means",1000,0,0.104712239078816,0.00627470077699315,0.198423460913266,0.196010633256377,0.224270263262557,0.912,0.00895857131466843,991.078935157045,"anchored",4,0.5,0,"none",0.101831660859337
