"cell","d","c","near","poor","design","rho","same_best","rmse_best","loss_best"
59,-0.3,1,FALSE,FALSE,"anchored",0.66688592885535,FALSE,"gcomp","maic_means"
60,-0.3,1,FALSE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
61,-0.3,1,FALSE,FALSE,"anchored",-0.3,FALSE,"unadjusted","maic_index"
62,-0.3,1,FALSE,FALSE,"unanchored",-0.894427190999916,FALSE,"maic_meanvar","unadjusted"
63,-0.3,1,FALSE,FALSE,"anchored",0.447213595499958,TRUE,"gcomp","gcomp"
64,-0.3,1,FALSE,FALSE,"unanchored",0.4,FALSE,"maic_index","gcomp"
65,-0.3,1,FALSE,FALSE,"anchored",0.820782681668123,TRUE,"gcomp","gcomp"
66,-0.3,1,FALSE,FALSE,"unanchored",0.9,FALSE,"maic_index","gcomp"
67,-0.3,1,FALSE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
68,-0.3,1,FALSE,FALSE,"unanchored",1,TRUE,"gcomp","gcomp"
69,-0.3,1,FALSE,FALSE,"anchored",0.6,TRUE,"gcomp","gcomp"
70,-0.3,1,FALSE,FALSE,"unanchored",0.974679434480896,TRUE,"gcomp","gcomp"
71,-0.3,1,FALSE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
72,-0.3,1,FALSE,FALSE,"unanchored",0.9,FALSE,"maic_index","gcomp"
73,-0.3,1,FALSE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
74,-0.3,1,FALSE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
75,-0.3,1,FALSE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
76,-0.3,1,FALSE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
77,-0.3,1,FALSE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
78,-0.3,1,FALSE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
79,-0.3,1,FALSE,FALSE,"anchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
80,-0.3,1,FALSE,FALSE,"unanchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
81,-0.3,1,FALSE,FALSE,"anchored",-0.2,FALSE,"gcomp","unadjusted"
82,-0.3,1,FALSE,FALSE,"unanchored",-0.737864787372622,FALSE,"gcomp","unadjusted"
83,-0.3,1,FALSE,FALSE,"anchored",0.974679434480896,TRUE,"gcomp","gcomp"
84,-0.3,1,FALSE,FALSE,"unanchored",-0.2,FALSE,"maic_means","unadjusted"
85,-0.3,1,FALSE,FALSE,"anchored",0.6,FALSE,"unadjusted","gcomp"
86,-0.3,1,FALSE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
87,-0.3,1,FALSE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
88,-0.3,1,FALSE,FALSE,"unanchored",-0.0512989176042577,FALSE,"maic_index","unadjusted"
89,-0.3,1,FALSE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
90,-0.3,1,FALSE,FALSE,"unanchored",-0.1,FALSE,"maic_index","unadjusted"
91,-0.3,1,FALSE,TRUE,"anchored",0.9,FALSE,"gcomp","unadjusted"
92,-0.3,1,FALSE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
93,-0.3,1,FALSE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
94,-0.3,1,FALSE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
95,-0.3,1,FALSE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
96,-0.3,1,FALSE,TRUE,"unanchored",0,FALSE,"gcomp","unadjusted"
97,-0.3,1,FALSE,FALSE,"anchored",0,FALSE,"gcomp","unadjusted"
98,-0.3,1,FALSE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
99,-0.3,1,FALSE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
100,-0.3,1,FALSE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
101,-0.3,1,FALSE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
102,-0.3,1,FALSE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
103,-0.3,1,FALSE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
104,-0.3,1,FALSE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
105,-0.3,1,FALSE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
106,-0.3,1,FALSE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
107,-0.3,1,FALSE,FALSE,"anchored",0.8,TRUE,"gcomp","gcomp"
108,-0.3,1,FALSE,FALSE,"unanchored",-0.632455532033676,FALSE,"gcomp","maic_means"
1,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","maic_means"
