"cell","shift","ratio","d","rel_rmse","rel_loss","cross","poor"
45,0.6,1,0.1,0.9,0.820782681668123,0.937339717240448,FALSE
46,0.6,1,-0.1,1,0.974679434480896,-0.0256494588021289,FALSE
46,0.6,1,0.1,1,0.974679434480896,0.683442964427675,FALSE
47,0.6,1,-0.1,1,0.4,0.7,FALSE
47,0.6,1,0.1,1,0.7,0.85,FALSE
48,0.6,1,-0.1,0.9,0.974679434480896,-0.0756494588021288,FALSE
48,0.6,1,0.1,0.9,0.872081599272381,0.0769483764063866,FALSE
49,0.6,2,-0.1,1,0.9,0.65,FALSE
49,0.6,2,0.1,1,1,0.5,FALSE
50,0.6,2,-0.1,1,0.974679434480896,-0.126948376406387,FALSE
50,0.6,2,0.1,1,1,0.7,FALSE
51,0.6,2,-0.1,1,0.9,0.4,FALSE
51,0.6,2,0.1,1,0.974679434480896,0.455195670417031,FALSE
52,0.6,2,-0.1,0.9,0.9,-0.2,FALSE
52,0.6,2,0.1,0.9,0.820782681668123,0.357793505625546,FALSE
53,0.6,2,-0.1,0.9,0.8,0.65,FALSE
53,0.6,2,0.1,0.9,1,0.05,FALSE
54,0.6,2,-0.1,1,0.9,-0.35,FALSE
54,0.6,2,0.1,1,1,0.9,FALSE
55,0,0.5,-0.1,1,1,0.4,FALSE
55,0,0.5,0.1,1,0.8,0.1,FALSE
56,0,0.5,-0.1,0.6,0.872081599272381,0.233442964427675,FALSE
56,0,0.5,0.1,0.6,1,0.4,FALSE
57,0,0.5,-0.1,1,1,0.6,FALSE
57,0,0.5,0.1,1,1,0.1,FALSE
58,0,0.5,-0.1,1,1,-0.6,FALSE
58,0,0.5,0.1,1,0.8,0.9,FALSE
59,0,0.5,-0.1,0.9,0.9,0.6,FALSE
59,0,0.5,0.1,0.9,1,0.15,FALSE
60,0,0.5,-0.1,1,1,-0.5,FALSE
60,0,0.5,0.1,1,0.9,0.7,FALSE
61,0,1,-0.1,-0.1,0,0.287170824512628,FALSE
61,0,1,0.1,-0.1,-0.552631578947368,-0.43604079963619,FALSE
62,0,1,-0.1,0.9,0.872081599272381,0.937339717240448,FALSE
62,0,1,0.1,0.9,-0.6,0.15,FALSE
63,0,1,-0.1,1,-0.4,0.3,FALSE
63,0,1,0.1,1,-0.405553552826906,0.104003545273731,FALSE
64,0,1,-0.1,1,0.573539334676404,0.806306018729762,FALSE
64,0,1,0.1,1,0.2,0.4,FALSE
65,0,1,-0.1,0.1,0,0.95,FALSE
65,0,1,0.1,0.1,-0.66688592885535,-0.337339717240448,FALSE
66,0,1,-0.1,0.3,0.289473684210526,0.128247294010644,FALSE
66,0,1,0.1,0.3,0.316227766016838,0.413523138347365,FALSE
67,0,2,-0.1,1,0.8,0.15,FALSE
67,0,2,0.1,1,1,0.1,FALSE
68,0,2,-0.1,1,0.9,0.95,FALSE
68,0,2,0.1,1,0.974679434480896,-0.532144046823417,FALSE
69,0,2,-0.1,1,1,0.4,FALSE
69,0,2,0.1,1,0.8,-0.15,FALSE
70,0,2,-0.1,1,0.9,0.85,FALSE
70,0,2,0.1,1,0.9,-0.7,FALSE
71,0,2,-0.1,1,1,0.8,FALSE
71,0,2,0.1,1,0.974679434480896,-0.760391340834062,FALSE
72,0,2,-0.1,1,1,0.9,FALSE
72,0,2,0.1,1,0.974679434480896,-0.532144046823417,FALSE
73,0.3,0.5,-0.1,0.9,1,0.65,FALSE
73,0.3,0.5,0.1,0.9,0.6,0.25,FALSE
74,0.3,0.5,-0.1,1,1,-0.1,FALSE
74,0.3,0.5,0.1,1,1,0.7,FALSE
75,0.3,0.5,-0.1,1,1,0.6,FALSE
75,0.3,0.5,0.1,1,1,0.2,FALSE
76,0.3,0.5,-0.1,1,0.9,-0.15,FALSE
76,0.3,0.5,0.1,1,1,0.7,FALSE
77,0.3,0.5,-0.1,1,0.9,0.55,FALSE
77,0.3,0.5,0.1,1,1,0.2,FALSE
78,0.3,0.5,-0.1,1,0.974679434480896,-0.176948376406387,FALSE
78,0.3,0.5,0.1,1,1,0.5,FALSE
79,0.3,1,-0.1,0.9,0.820782681668123,-0.175649458802129,FALSE
79,0.3,1,0.1,0.9,0.820782681668123,0.987339717240448,FALSE
80,0.3,1,-0.1,0.9,0.66688592885535,-0.375649458802129,FALSE
80,0.3,1,0.1,0.9,0.4,0.65,FALSE
81,0.3,1,-0.1,0.4,0.9,0.25,FALSE
81,0.3,1,0.1,0.4,0.974679434480896,0.452597835208515,FALSE
82,0.3,1,-0.1,0.3,0.820782681668123,-0.452597835208515,FALSE
82,0.3,1,0.1,0.3,0.66688592885535,0.229546211614902,FALSE
83,0.3,1,-0.1,0.9,0.974679434480896,0.83604079963619,FALSE
83,0.3,1,0.1,0.9,1,0.05,FALSE
84,0.3,1,-0.1,0.4,0.921052631578948,-0.43604079963619,FALSE
84,0.3,1,0.1,0.4,0.615587011251092,0.610391340834062,FALSE
85,0.3,2,-0.1,0.8,0.9,0.8,FALSE
85,0.3,2,0.1,0.8,0.9,-0.1,FALSE
86,0.3,2,-0.1,1,1,0,FALSE
86,0.3,2,0.1,1,1,0.4,FALSE
87,0.3,2,-0.1,0.9,0.9,0.5,FALSE
87,0.3,2,0.1,0.9,0.7,-0.3,FALSE
88,0.3,2,-0.1,1,1,0,FALSE
88,0.3,2,0.1,1,1,0.3,FALSE
89,0.3,2,-0.1,0.9,0.9,0.7,FALSE
89,0.3,2,0.1,0.9,0.9,-0.15,FALSE
90,0.3,2,-0.1,0.8,0.9,-0.15,FALSE
90,0.3,2,0.1,0.8,1,0.5,FALSE
91,0.6,0.5,-0.1,1,0.9,0.85,TRUE
91,0.6,0.5,0.1,1,0.9,0.05,TRUE
92,0.6,0.5,-0.1,1,1,-0.2,TRUE
92,0.6,0.5,0.1,1,1,0.7,TRUE
93,0.6,0.5,-0.1,1,1,0.8,TRUE
93,0.6,0.5,0.1,1,1,0.3,TRUE
94,0.6,0.5,-0.1,1,0.9,-0.15,TRUE
94,0.6,0.5,0.1,1,1,0.5,TRUE
95,0.6,0.5,-0.1,1,1,0.8,TRUE
95,0.6,0.5,0.1,1,1,0.1,TRUE
96,0.6,0.5,-0.1,1,1,-0.1,TRUE
96,0.6,0.5,0.1,1,0.9,0.35,TRUE
97,0.6,1,-0.1,1,0.7,-0.1,FALSE
97,0.6,1,0.1,1,1,0.974679434480896,FALSE
98,0.6,1,-0.1,0.9,0.974679434480896,-0.0756494588021288,FALSE
98,0.6,1,0.1,0.9,0.872081599272381,0.529546211614902,FALSE
99,0.6,1,-0.1,0.9,0.7,0.7,FALSE
99,0.6,1,0.1,0.9,0.7,0.2,FALSE
100,0.6,1,-0.1,1,1,0,FALSE
100,0.6,1,0.1,1,0.7,0.15,FALSE
101,0.6,1,-0.1,1,0.9,0.85,FALSE
101,0.6,1,0.1,1,0.9,0.05,FALSE
102,0.6,1,-0.1,0.9,1,-0.2,FALSE
102,0.6,1,0.1,0.9,0.872081599272381,0.505195670417031,FALSE
103,0.6,2,-0.1,1,1,0.6,FALSE
103,0.6,2,0.1,1,0.6,-0.4,FALSE
104,0.6,2,-0.1,0.9,0.9,-0.1,FALSE
104,0.6,2,0.1,0.9,0.820782681668123,0.452597835208515,FALSE
105,0.6,2,-0.1,1,1,0.8,FALSE
105,0.6,2,0.1,1,0.763157894736842,-0.256494588021289,FALSE
106,0.6,2,-0.1,0.7,0.974679434480896,-0.402597835208515,FALSE
106,0.6,2,0.1,0.7,0.9,0.65,FALSE
107,0.6,2,-0.1,1,0.9,0.4,FALSE
107,0.6,2,0.1,1,0.9,0.2,FALSE
108,0.6,2,-0.1,1,0.9,-0.65,FALSE
108,0.6,2,0.1,1,0.9,0.95,FALSE
