"cell","em","align","shift","nA_ratio","method","contrast","bias","mcse","coverage","cov_mcse","width","emp_sd"
3,0.6,"same",0.3,0.5,"fixed_trial","AB",0.00477069727952505,0.00531960916880073,0.937,0.00768316341099159,0.637060758969956,0.168220812353254
3,0.6,"same",0.3,0.5,"stacked_trial","AB",0.00477069727952505,0.00531960916880073,0.928,0.00817410545564467,0.624305695489372,0.168220812353254
3,0.6,"same",0.3,0.5,"split","AC",0.000899506743731185,0.00331814398367217,0.917,0.00872416185085994,0.359687094732375,0.104928925927886
3,0.6,"same",0.3,0.5,"stacked","BC",-0.0044114652253519,0.00344208097618126,0.941,0.00745110730026082,0.408067762017135,0.108848157754686
3,0.6,"same",0.3,0.5,"drop","AC",0.00176799395857046,0.00409783024880819,0.937,0.00768316341099159,0.515389492020465,0.129584770509684
3,0.6,"same",0.3,0.5,"split_trial","AC",-0.00179360195723899,0.00514395766161383,0.944,0.00727076337120113,0.623734964326169,0.162666223981734
3,0.6,"same",0.3,0.5,"fixed","AB",0.00456791537454707,0.00416188110103622,0.929,0.00812151463706124,0.490884786207653,0.131610236300838
3,0.6,"same",0.3,0.5,"split_trial","AB",0.00477069727952505,0.00531960916880073,0.928,0.00817410545564467,0.624305695489372,0.168220812353254
3,0.6,"same",0.3,0.5,"fixed_trial","BC",-0.00656429923676405,0.00511032610181051,0.946,0.00714730718522718,0.622262756493926,0.161602700679307
3,0.6,"same",0.3,0.5,"split_trial","BC",-0.00656429923676405,0.00511032610181051,0.994,0.00244213021765835,0.882668830191025,0.161602700679307
3,0.6,"same",0.3,0.5,"drop","BC",-0.00209390221406071,0.00474797320315303,0.95,0.00689202437604511,0.583773563799774,0.150144095914089
3,0.6,"same",0.3,0.5,"stacked_trial","AC",-0.00179360195723899,0.00514395766161383,0.944,0.00727076337120113,0.623734964326169,0.162666223981734
3,0.6,"same",0.3,0.5,"stacked_trial","BC",-0.00656429923676405,0.00511032610181051,0.945,0.00720936890441875,0.619829210872761,0.161602700679307
3,0.6,"same",0.3,0.5,"fixed","BC",-0.00420702084518693,0.00343913666660585,0.941,0.00745110730026082,0.409167059909826,0.108755050510736
3,0.6,"same",0.3,0.5,"split","BC",-0.00305918588441026,0.0035927617025429,0.958,0.00634318531969546,0.457652090704552,0.113613100702599
4,0.3,"opposite",0.3,0.5,"split_trial","AC",-0.000222600647392824,0.00447961134726317,0.94,0.00750999334220744,0.541210732461736,0.141657748896871
4,0.3,"opposite",0.3,0.5,"stacked","AB",-0.000886796220828669,0.00347947664283748,0.955,0.00655553201502365,0.421754288258364,0.110030712567226
4,0.3,"opposite",0.3,0.5,"fixed","AC",-3.37806993737992e-05,0.00265191464759676,0.949,0.00695693898205238,0.327850678558768,0.0838609044676854
4,0.3,"opposite",0.3,0.5,"drop","AC",-0.000471062508207055,0.00328716331287975,0.96,0.00619677335393187,0.419373375707306,0.103949231096447
