"detector","auroc","flag_infeasible","flag_feasible"
"ESS (low)",0.99615585315485,1,0.73028925917911
"max weight",0.99273857835314,NA,NA
"residual imbalance",0.999995082873541,0.998816217815922,0.00108201687946332
"optimizer non-convergence",0.908912708701864,0.825688073394495,0.00786265599076679
