"cell","profile","fa","fb","method","truth","n","bias","mcse","coverage","se_ratio","rmse"
1,"constant",3,3,"constant",0.481211228024859,500,-0.00432015282234091,0.00393664164050384,0.932,0.949869384168272,0.0880439678562762
1,"constant",3,3,"piecewise",0.481211228024859,500,-0.00815067579160041,0.00412075107122696,0.94,0.969131840564479,0.0924107549042741
2,"same",3,3,"constant",0.405433552815944,500,0.0547753359265852,0.00368062941448455,0.884,1.03353309536868,0.0987942651997974
2,"same",3,3,"piecewise",0.405433552815944,500,0.0171890067169182,0.00425965439851826,0.942,1.01631281457924,0.0966935628350069
3,"different",3,3,"constant",0.327103544129349,500,-0.0110258256598307,0.00409517815058857,0.956,1.00741260111574,0.0921414151721414
3,"different",3,3,"piecewise",0.327103544129349,500,-0.0131531374814761,0.0044002127493868,0.952,1.00380907709736,0.0991694472773739
4,"different",1.5,3,"constant",0.327103544129349,500,-0.102271612502164,0.0044612939674072,0.82,0.974221715235695,0.142797589306476
4,"different",1.5,3,"piecewise",0.327103544129349,500,-0.0717748211597946,0.00461786297413787,0.906,0.990895849388524,0.125668729276735
