"method","n","bias","mcse","se_ratio","coverage","ess_prod"
"part_km",500,1.2317382396492,0.083035686596007,0.929692582474699,0.866,21.2759022884279
"tada",500,0.136185628887249,0.157503135394187,0.775025972589352,0.874,21.2759022884279
"tada_fixed",500,0.136185628887249,0.157503135394187,0.75607331018981,0.866,21.2759022884279
"tada_miss",500,0.894691742466622,0.0906868769950975,0.933497271780823,0.898,21.2759022884279
