"cell","cens","mu_t","kappa","ctrl","lambda_c","method","n_rep","truth","bias","mcse","emp_sd","mean_se","se_ratio","coverage","cov_mcse","ess_part","ess_prod","cor_w","cens_share","boot_fail"
1,0.25,0.5,1.2,"none",0.0157464033832867,"part_km",500,1.85093384355585,0.343619321161021,0.0467383812920695,1.04510197727372,0.996615902722575,0.953606369899303,0.924,0.0118510759005248,334.383522212136,215.063120091405,0.275216793625684,0.2531,0
1,0.25,0.5,1.2,"none",0.0157464033832867,"tada",500,1.85093384355585,0.28047099322066,0.0507724087622815,1.13530557373867,1.0725103563305,0.944688708607862,0.924,0.0118510759005248,334.383522212136,215.063120091405,0.275216793625684,0.2531,0
1,0.25,0.5,1.2,"none",0.0157464033832867,"tada_fixed",500,1.85093384355585,0.28047099322066,0.0507724087622815,1.13530557373867,1.12165339599669,0.987974887063203,0.946,0.0101078187557949,334.383522212136,215.063120091405,0.275216793625684,0.2531,0
1,0.25,0.5,1.2,"none",0.0157464033832867,"tada_miss",500,1.85093384355585,0.379818152490779,0.0473354768849963,1.05845344062222,1.01371174667211,0.95772918086618,0.924,0.0118510759005248,334.383522212136,215.063120091405,0.275216793625684,0.2531,0
2,0.6,0.5,1.2,"none",0.0756513071632183,"part_km",500,1.85093384355585,0.758174744189746,0.0549259633328922,1.22818187742008,1.19294674340202,0.971311143189904,0.896,0.013651666564929,334.150543191485,51.5867841590675,0.201100416088628,0.602748,0
2,0.6,0.5,1.2,"none",0.0756513071632183,"tada_miss",500,1.85093384355585,0.823511731240888,0.0590928225269011,1.32135568152482,1.28344392110459,0.9713084365169,0.886,0.0142129518397833,334.150543191485,51.5867841590675,0.201100416088628,0.602748,0
2,0.6,0.5,1.2,"none",0.0756513071632183,"tada",500,1.85093384355585,0.43294672238057,0.105694895784351,2.36340971848564,1.90828622484766,0.807429287407009,0.888,0.014103616557465,334.150543191485,51.5867841590675,0.201100416088628,0.602748,0
2,0.6,0.5,1.2,"none",0.0756513071632183,"tada_fixed",500,1.85093384355585,0.43294672238057,0.105694895784351,2.36340971848564,2.05731487179788,0.87048591520395,0.91,0.0127984374046209,334.150543191485,51.5867841590675,0.201100416088628,0.602748,0
3,0.25,1.2,1.2,"none",0.0157464033832867,"part_km",500,0.902912766712811,0.608014773411195,0.0696779706428293,1.55804678891601,1.51528840238326,0.972556416895219,0.902,0.0132963152790538,111.819634209883,77.2495011990211,0.263853839416562,0.253124,0
3,0.25,1.2,1.2,"none",0.0157464033832867,"tada_fixed",500,0.902912766712811,0.400138305286676,0.0776461028278568,1.73621964111026,1.69869548547793,0.978387437427943,0.932,0.0112584190719657,111.819634209883,77.2495011990211,0.263853839416562,0.253124,0
3,0.25,1.2,1.2,"none",0.0157464033832867,"tada_miss",500,0.902912766712811,0.558437709301042,0.069493160770403,1.55391431453943,1.50782573873093,0.970340336415426,0.902,0.0132963152790538,111.819634209883,77.2495011990211,0.263853839416562,0.253124,0
3,0.25,1.2,1.2,"none",0.0157464033832867,"tada",500,0.902912766712811,0.400138305286676,0.0776461028278568,1.73621964111026,1.64727362931117,0.948770299740296,0.91,0.0127984374046209,111.819634209883,77.2495011990211,0.263853839416562,0.253124,0
4,0.6,1.2,1.2,"none",0.0756513071632183,"part_km",500,0.902912766712811,1.2317382396492,0.083035686596007,1.8567343978704,1.72619219732574,0.929692582474699,0.866,0.0152344346793703,111.594894371049,24.8457057281992,0.190646221529118,0.601708,0
4,0.6,1.2,1.2,"none",0.0756513071632183,"tada",500,0.902912766712811,0.232898539442615,0.144837079799805,3.23865556094927,2.59702767995907,0.801884495305166,0.886,0.0142129518397833,111.594894371049,24.8457057281992,0.190646221529118,0.601708,0
4,0.6,1.2,1.2,"none",0.0756513071632183,"tada_fixed",500,0.902912766712811,0.232898539442615,0.144837079799805,3.23865556094927,2.58549861011253,0.798324663260795,0.892,0.0138806339912844,111.594894371049,24.8457057281992,0.190646221529118,0.601708,0
4,0.6,1.2,1.2,"none",0.0756513071632183,"tada_miss",500,0.902912766712811,0.896399507582475,0.0908200668085919,2.03079843105084,1.89446250894514,0.93286585215887,0.898,0.0135348439222623,111.594894371049,24.8457057281992,0.190646221529118,0.601708,0
5,0.25,0.5,-1.2,"none",0.0112421094704927,"tada",500,1.85093384355585,-0.0918612312281024,0.0430625608598976,0.962908133679528,0.953618776123544,0.990352810168415,0.94,0.0106207344378814,333.438423897858,287.789499361369,-0.346655690836381,0.24706,0
5,0.25,0.5,-1.2,"none",0.0112421094704927,"part_km",500,1.85093384355585,-0.16871792697234,0.0431889980704169,0.965735355655595,0.951383621787856,0.985139061354966,0.942,0.0104533248299285,333.438423897858,287.789499361369,-0.346655690836381,0.24706,0
5,0.25,0.5,-1.2,"none",0.0112421094704927,"tada_fixed",500,1.85093384355585,-0.0918612312281024,0.0430625608598976,0.962908133679528,0.997439947900307,1.03586200283595,0.948,0.00992935043192656,333.438423897858,287.789499361369,-0.346655690836381,0.24706,0
5,0.25,0.5,-1.2,"none",0.0112421094704927,"tada_miss",500,1.85093384355585,-0.163298523699197,0.0432728513167811,0.967610371245639,0.947833481251858,0.979561101677402,0.93,0.0114105214604767,333.438423897858,287.789499361369,-0.346655690836381,0.24706,0
6,0.6,0.5,-1.2,"none",0.0743234647448667,"part_km",500,1.85093384355585,-0.393588699800092,0.0485687155045027,1.08602949447916,1.10393498154387,1.01648710937938,0.936,0.0109456840809517,333.30642852773,105.949959399237,-0.22568562559436,0.59844,0
6,0.6,0.5,-1.2,"none",0.0743234647448667,"tada",500,1.85093384355585,-0.108887355817598,0.0769424791203639,1.72048613670492,1.48556743484593,0.863457951303863,0.942,0.0104533248299285,333.30642852773,105.949959399237,-0.22568562559436,0.59844,0
6,0.6,0.5,-1.2,"none",0.0743234647448667,"tada_miss",500,1.85093384355585,-0.358991865554159,0.0505566252147031,1.13048050693056,1.15838774423086,1.02468617294081,0.944,0.0102824121683582,333.30642852773,105.949959399237,-0.22568562559436,0.59844,0
6,0.6,0.5,-1.2,"none",0.0743234647448667,"tada_fixed",500,1.85093384355585,-0.108887355817598,0.0769424791203639,1.72048613670492,1.74886328765013,1.01649368183783,0.97,0.00762889244910426,333.30642852773,105.949959399237,-0.22568562559436,0.59844,0
7,0.25,1.2,-1.2,"none",0.0112421094704927,"part_km",500,0.902912766712811,-0.0522357438815684,0.0622768268031309,1.39255218154782,1.35121584771572,0.970316132939344,0.926,0.0117067501895274,113.362719070476,112.606845147428,-0.251681025918481,0.24782,0
7,0.25,1.2,-1.2,"none",0.0112421094704927,"tada",500,0.902912766712811,0.0383845180448202,0.0623637978026344,1.39449691221743,1.34961252560924,0.967813204737173,0.922,0.0119929979571415,113.362719070476,112.606845147428,-0.251681025918481,0.24782,0
7,0.25,1.2,-1.2,"none",0.0112421094704927,"tada_fixed",500,0.902912766712811,0.0383845180448202,0.0623637978026344,1.39449691221743,1.39002352493033,0.996792113881429,0.938,0.0107848041243223,113.362719070476,112.606845147428,-0.251681025918481,0.24782,0
7,0.25,1.2,-1.2,"none",0.0112421094704927,"tada_miss",500,0.902912766712811,0.0134012719122889,0.063282057281134,1.41502981836651,1.36289885951688,0.96315910931841,0.924,0.0118510759005248,113.362719070476,112.606845147428,-0.251681025918481,0.24782,0
