"margin","r","family","param","realized_r"
"normal",0.3,"gauss",0.299211556562207,0.29669001991466
"normal",0.3,"clayton",0.467307476563818,0.301663798635952
"normal",0.3,"gumbel",1.23339424453368,0.298904726833407
"normal",0.3,"sclayton",0.467307476563818,0.301663798635952
"normal",0.3,"sgumbel",1.23339424453368,0.298904726833407
"normal",0.3,"t3",0.307968674456617,0.295495113503717
"normal",0.3,"gauss_uncal",0.3,0.297478805045244
"beta",0.3,"gauss",0.30796817484707,0.297022356547017
"beta",0.3,"clayton",0.62683993258818,0.302658713164879
"beta",0.3,"gumbel",1.21000048147154,0.298412191746036
"beta",0.3,"sclayton",0.390307730732485,0.295478990319497
"beta",0.3,"sgumbel",1.28260794101652,0.299577904855072
"beta",0.3,"t3",0.307736338689771,0.294277355996372
"beta",0.3,"gauss_uncal",0.3,0.28917568313526
"normal",0.6,"gauss",0.599379156501035,0.59739320565931
"normal",0.6,"clayton",1.45214791630703,0.601200978475058
"normal",0.6,"gumbel",1.70005550883977,0.599667227609193
"normal",0.6,"sclayton",1.45214791630703,0.601200978475058
"normal",0.6,"sgumbel",1.70005550883977,0.599667227609194
"normal",0.6,"t3",0.612715917784523,0.596486347240953
"normal",0.6,"gauss_uncal",0.6,0.598016000802578
"beta",0.6,"gauss",0.609498508388755,0.597970612097137
"beta",0.6,"clayton",2.02649017747928,0.602086338469702
"beta",0.6,"gumbel",1.62510135783935,0.599748752417151
"beta",0.6,"sclayton",1.13239232704605,0.60128500437386
"beta",0.6,"sgumbel",1.83419300123586,0.599696930286403
"beta",0.6,"t3",0.619244483756395,0.596094060057324
"beta",0.6,"gauss_uncal",0.6,0.588368417345991
