"margin","r","link","gamma","truth_family","recon","truth","error","mcse","env_lo","env_hi","contained"
"beta",0.3,"cloglog",0.15,"t3","gauss_uncal",-0.320411928233803,0.0102244404768668,0.000198697829911407,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"clayton","gauss",-0.298956089927033,-0.0105985404262355,0.000108989551973077,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"t3","sgumbel",-0.320411928233803,0.0160107739947612,0.000122139587891246,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gauss","gumbel",-0.309554630353268,-0.0155969805749057,0.000204864318336964,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gumbel","gauss_uncal",-0.325151610928174,0.0149641231712378,0.000267205894923928,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gumbel","gauss",-0.325151610928174,0.0155969805749057,0.000204864318336964,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gauss","sclayton",-0.309554630353268,-0.0130931937579378,0.000236177642212702,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"clayton","gauss_uncal",-0.298956089927033,-0.0112313978299034,0.000203244492652864,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"t3","sclayton",-0.320411928233803,-0.00223589587740314,0.000227902492534919,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gauss","clayton",-0.309554630353268,0.0105985404262355,0.000108989551973077,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"t3","gauss",-0.320411928233803,0.0108572978805346,0.000100255804106667,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"t3","clayton",-0.320411928233803,0.0214558383067702,8.96570681082646e-05,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"clayton","gumbel",-0.298956089927033,-0.0261955210011412,0.000199891351819844,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"t3","gumbel",-0.320411928233803,-0.00473968269437103,0.000195266628869725,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"clayton","sgumbel",-0.298956089927033,-0.00544506431200897,0.000129404695094348,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gumbel","sclayton",-0.325151610928174,0.00250378681696789,0.000289581955194421,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gumbel","sgumbel",-0.325151610928174,0.0207504566891322,0.000216416823747227,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gauss","gauss_uncal",-0.309554630353268,-0.000632857403667864,0.00020813735894602,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gauss","sgumbel",-0.309554630353268,0.00515347611422656,0.000136961350415968,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"clayton","sclayton",-0.298956089927033,-0.0236917341841733,0.00023187721381336,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gumbel","clayton",-0.325151610928174,0.0261955210011412,0.000199891351819844,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.15,"gauss","gauss",-0.309554630353268,0,0.000117862457273707,-0.325151610928174,-0.298956089927033,TRUE
"beta",0.3,"cloglog",0.3,"gumbel","gauss_uncal",-0.292394173137983,0.0219836788962174,0.000335134428120208,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"clayton","gauss_uncal",-0.247859888823396,-0.0225506054183699,0.000189058350422833,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"clayton","gauss",-0.247859888823396,-0.0218794854465152,0.000177627835162632,-0.292394173137983,-0.247859888823396,TRUE
