"margin","r","family","label","value","batch_sd","link","gamma"
"beta",0.3,"clayton","log:0.15",-0.0761227891312062,0.000794187906038964,"log",0.15
"beta",0.3,"clayton","log:0.3",0.451593899574995,0.00205404519990619,"log",0.3
"beta",0.3,"clayton","cloglog:0.15",-0.298956089927033,0.000140469826254522,"cloglog",0.15
"beta",0.3,"clayton","cloglog:0.3",-0.247859888823396,7.22106834719478e-05,"cloglog",0.3
"beta",0.3,"gumbel","identity:0.15",-0.5,9.61481343191782e-17,"identity",0.15
"beta",0.3,"gumbel","identity:0.3",-0.5,6.40987562127855e-17,"identity",0.3
"beta",0.3,"gumbel","logit:0.15",-0.307152379707994,0.000341103206543494,"logit",0.15
"beta",0.3,"gumbel","logit:0.3",-0.223569904325887,0.000577706326307269,"logit",0.3
"beta",0.3,"gumbel","log:0.15",0.287481405765062,0.0044351450758193,"log",0.15
"beta",0.3,"gumbel","log:0.3",1.35472334021966,0.012440515234776,"log",0.3
"beta",0.3,"gumbel","cloglog:0.15",-0.325151610928174,0.000374291915543849,"cloglog",0.15
"beta",0.3,"gumbel","cloglog:0.3",-0.292394173137983,0.000558124074910687,"cloglog",0.3
"beta",0.3,"sclayton","identity:0.15",-0.5,3.20493781063927e-17,"identity",0.15
"beta",0.3,"sclayton","identity:0.3",-0.5,5.55111512312578e-17,"identity",0.3
"beta",0.3,"sclayton","logit:0.15",-0.303761070485851,0.000398570405869773,"logit",0.15
"beta",0.3,"sclayton","logit:0.3",-0.219537210711111,0.000680047971848486,"logit",0.3
"beta",0.3,"sclayton","log:0.15",0.23031288002203,0.00418534281908081,"log",0.15
"beta",0.3,"sclayton","log:0.3",1.21891968747882,0.013301526987099,"log",0.3
"beta",0.3,"sclayton","cloglog:0.15",-0.322647824111206,0.000441968773846537,"cloglog",0.15
"beta",0.3,"sclayton","cloglog:0.3",-0.291784869540595,0.000667386853916532,"cloglog",0.3
"beta",0.3,"sgumbel","identity:0.15",-0.5,9.06493303673679e-17,"identity",0.15
"beta",0.3,"sgumbel","identity:0.3",-0.5,7.85046229341888e-17,"identity",0.3
"beta",0.3,"sgumbel","logit:0.15",-0.292378737858561,0.000297726845736822,"logit",0.15
"beta",0.3,"sgumbel","logit:0.3",-0.18825914541904,0.000273898787190054,"logit",0.3
"beta",0.3,"sgumbel","log:0.15",-0.0360300985559163,0.00507913500450107,"log",0.15
"beta",0.3,"sgumbel","log:0.3",0.555546532490049,0.0135473561482256,"log",0.3
"beta",0.3,"sgumbel","cloglog:0.15",-0.304401154239042,0.000217371866537207,"cloglog",0.15
"beta",0.3,"sgumbel","cloglog:0.3",-0.256982680993169,0.000174997953557364,"cloglog",0.3
"beta",0.3,"t3","identity:0.15",-0.5,4.53246651836839e-17,"identity",0.15
"beta",0.3,"t3","identity:0.3",-0.5,5.55111512312578e-17,"identity",0.3
"beta",0.3,"t3","logit:0.15",-0.304288611594595,6.77012262676992e-05,"logit",0.15
"beta",0.3,"t3","logit:0.3",-0.214982037141402,0.000178855578951274,"logit",0.3
"beta",0.3,"t3","log:0.15",0.211645986978655,0.00229497072352097,"log",0.15
"beta",0.3,"t3","log:0.3",1.19936336861681,0.0036082484021758,"log",0.3
