"cell","scale","p_ipd","sep","beta","method","truth","n","bias","mcse","emp_sd","se_ratio","coverage","rmse","pred_b1"
27,"continuous",0.5,0.5,0.3,"two_stage_cond",-0.15,1000,-0.0653140108056075,0.00122237456689584,0.0386548778525273,1.01138463958691,0.625,0.0758856072633476,-0.075
27,"continuous",0.5,0.5,0.3,"two_stage_marg",-0.15,1000,-0.0653140108056075,0.00122237456689584,0.0386548778525273,1.01138463958691,0.625,0.0758856072633476,-0.075
28,"binary",0.5,0.5,0.3,"transported",-0.114680782645236,1000,-0.000566490666102862,0.00242494844291086,0.076683602880771,0.980579050460825,0.952,0.0766473449474919,-0.0581395589033421
28,"binary",0.5,0.5,0.3,"two_stage_marg",-0.114680782645236,1000,-0.0549003020819582,0.00225328786798605,0.0712552188686072,1.01819949049724,0.878,0.0899237014278626,-0.0581395589033421
28,"binary",0.5,0.5,0.3,"two_stage_cond",-0.114680782645236,1000,-0.0769083104370993,0.00234737688119487,0.0742305747139826,1.02005057559305,0.83,0.106862323849124,-0.0581395589033421
29,"continuous",0.75,0.5,0.3,"two_stage_marg",-0.15,1000,-0.0294808801361092,0.00115645729527312,0.0365703906978095,1.03053088153965,0.888,0.0469593268256081,-0.0375
29,"continuous",0.75,0.5,0.3,"transported",-0.15,1000,0.00031260604540018,0.00119765716643069,0.0378732450194432,1.00081011347506,0.945,0.0378555944102599,-0.0375
29,"continuous",0.75,0.5,0.3,"two_stage_cond",-0.15,1000,-0.0294808801361092,0.00115645729527312,0.0365703906978095,1.03053088153965,0.888,0.0469593268256081,-0.0375
30,"binary",0.75,0.5,0.3,"two_stage_cond",-0.114680782645236,1000,-0.0569829621372713,0.00246523558298902,0.0779575941113836,0.982062915254946,0.877,0.0965316894449345,-0.029069779451671
30,"binary",0.75,0.5,0.3,"transported",-0.114680782645236,1000,0.000216927143005941,0.0023675463284295,0.0748683886380628,0.964574935816581,0.944,0.0748312595044888,-0.029069779451671
30,"binary",0.75,0.5,0.3,"two_stage_marg",-0.114680782645236,1000,-0.026680060619297,0.0023107798025849,0.0730732734728252,0.982385467250119,0.935,0.0777572454976874,-0.029069779451671
