"cell","n_t","eps","release","em","method","infeasible","n_ok","bias","mcse","rmse","coverage","cov_mcse","width"
1,40,0.5,"means","linear","non_private",0,1000,-0.00820676636570306,0.00600853362672121,0.190088728969598,0.943,0.00733150734842434,0.722832599980405
1,40,0.5,"means","linear","private_propagated",0.052,948,0.000961711206747676,0.0154967193043239,0.476887170825564,0.988396624472574,0.0034781926419675,2.32649764872802
1,40,0.5,"means","linear","private_ignored",0.052,948,0.000961711206747676,0.0154967193043239,0.476887170825564,0.796413502109705,0.0130779485452003,1.02154891465114
2,150,0.5,"means","linear","non_private",0,1000,-0.00386046711396341,0.00560539038972375,0.177211411105843,0.952,0.00675988165576884,0.707010796940832
2,150,0.5,"means","linear","private_ignored",0,1000,-0.000811079400324058,0.0067927242837012,0.214698905309234,0.918,0.00867617427210864,0.743240956165024
2,150,0.5,"means","linear","private_propagated",0,1000,-0.000811079400324058,0.0067927242837012,0.214698905309234,0.959,0.00627048642451286,0.862635349688885
3,500,0.5,"means","linear","non_private",0,1000,0.00325240907630795,0.00587342707741693,0.185669670794399,0.948,0.00702111102319284,0.706991071579172
3,500,0.5,"means","linear","private_ignored",0,1000,0.00216167772180018,0.0059316472808278,0.187493807565105,0.948,0.00702111102319284,0.710961569554198
3,500,0.5,"means","linear","private_propagated",0,1000,0.00216167772180018,0.0059316472808278,0.187493807565105,0.951,0.00682634602111555,0.723108029227977
4,40,1,"means","linear","private_ignored",0.003,997,-0.00168000877346173,0.00871585991077581,0.275073029499096,0.87863590772317,0.0103419396890645,0.82512757243441
4,40,1,"means","linear","private_propagated",0.003,997,-0.00168000877346173,0.00871585991077581,0.275073029499096,0.966900702106319,0.00566568923221655,1.17177466223466
4,40,1,"means","linear","non_private",0,1000,0.00285800580751417,0.00590013394724878,0.186507204182782,0.947,0.00708456067798138,0.716157414362468
5,150,1,"means","linear","private_propagated",0,1000,-0.00604208475183309,0.00604576239128369,0.191183677224591,0.95,0.00689202437604511,0.752169742355013
5,150,1,"means","linear","non_private",0,1000,-0.00482721743102685,0.0057098453138787,0.180535407061996,0.949,0.00695693898205238,0.710295588126402
5,150,1,"means","linear","private_ignored",0,1000,-0.00604208475183309,0.00604576239128369,0.191183677224591,0.939,0.00756828910652864,0.71999289300521
6,500,1,"means","linear","non_private",0,1000,0.00235945013284373,0.00572886065202437,0.181087248393895,0.944,0.00727076337120113,0.70737747015246
6,500,1,"means","linear","private_ignored",0,1000,0.00240039763197557,0.00573447329256063,0.181265169483659,0.947,0.00708456067798138,0.707666197086892
6,500,1,"means","linear","private_propagated",0,1000,0.00240039763197557,0.00573447329256063,0.181265169483659,0.948,0.00702111102319284,0.710665758695101
7,40,4,"means","linear","non_private",0,1000,-0.00581487127952716,0.00584069842875074,0.184698286687974,0.955,0.00655553201502365,0.714080110726081
7,40,4,"means","linear","private_ignored",0,1000,-0.00768911003779018,0.0061096629411363,0.19326090056246,0.947,0.00708456067798138,0.720393210180764
7,40,4,"means","linear","private_propagated",0,1000,-0.00768911003779018,0.0061096629411363,0.19326090056246,0.957,0.00641490451994416,0.749671003514649
8,150,4,"means","linear","private_ignored",0,1000,0.00527486433998818,0.00569193950602807,0.179982225118894,0.952,0.00675988165576884,0.712281239367191
8,150,4,"means","linear","non_private",0,1000,0.00581230849690341,0.00566220907491907,0.179059582057345,0.953,0.00669260786241059,0.712225289519938
8,150,4,"means","linear","private_propagated",0,1000,0.00527486433998818,0.00569193950602807,0.179982225118894,0.953,0.00669260786241059,0.714403331833238
9,500,4,"means","linear","private_propagated",0,1000,-0.00184166247920713,0.00576045589022668,0.182079820221438,0.947,0.00708456067798138,0.707591403058539
9,500,4,"means","linear","private_ignored",0,1000,-0.00184166247920713,0.00576045589022668,0.182079820221438,0.947,0.00708456067798138,0.707401472709724
9,500,4,"means","linear","non_private",0,1000,-0.00173150616262716,0.00575611373098901,0.181941503105771,0.948,0.00702111102319284,0.707414951211533
10,40,Inf,"means","linear","private_propagated",0,1000,0.00386631660827171,0.00585292271004125,0.185033499533415,0.952,0.00675988165576884,0.71398346784122
10,40,Inf,"means","linear","non_private",0,1000,0.00386631660827171,0.00585292271004125,0.185033499533415,0.952,0.00675988165576884,0.71398346784122
10,40,Inf,"means","linear","private_ignored",0,1000,0.00386631660827171,0.00585292271004125,0.185033499533415,0.952,0.00675988165576884,0.71398346784122
11,150,Inf,"means","linear","non_private",0,1000,-0.00423784647508377,0.00587610660900585,0.185774216710146,0.941,0.00745110730026082,0.709429246944038
11,150,Inf,"means","linear","private_propagated",0,1000,-0.00423784647508377,0.00587610660900585,0.185774216710146,0.941,0.00745110730026082,0.709429246944038
11,150,Inf,"means","linear","private_ignored",0,1000,-0.00423784647508377,0.00587610660900585,0.185774216710146,0.941,0.00745110730026082,0.709429246944038
12,500,Inf,"means","linear","private_ignored",0,1000,-0.000903255493127848,0.00577264665525534,0.182458054981166,0.952,0.00675988165576884,0.71118444473542
12,500,Inf,"means","linear","non_private",0,1000,-0.000903255493127848,0.00577264665525534,0.182458054981166,0.952,0.00675988165576884,0.71118444473542
12,500,Inf,"means","linear","private_propagated",0,1000,-0.000903255493127848,0.00577264665525534,0.182458054981166,0.952,0.00675988165576884,0.71118444473542
13,40,0.5,"means_sds","linear","private_propagated",0.843,157,-0.00834682468637308,0.0588308803903425,0.734844866303617,1,0,9.19186387605869
13,40,0.5,"means_sds","linear","private_ignored",0.843,157,-0.00834682468637308,0.0588308803903425,0.734844866303617,0.75796178343949,0.0341834427724194,1.76589983703724
13,40,0.5,"means_sds","linear","non_private",0,1000,0.0101597042293864,0.00490481107955435,0.155358727287596,0.954,0.00662449998113065,0.627976323801296
14,150,0.5,"means_sds","linear","private_propagated",0.48,520,-0.0271064903179123,0.0115473022014277,0.264458540148346,0.992307692307692,0.00383133238891826,1.88423472943302
14,150,0.5,"means_sds","linear","non_private",0,1000,0.00552076752579475,0.00498604909973053,0.157690531780994,0.952,0.00675988165576884,0.61559732340765
14,150,0.5,"means_sds","linear","private_ignored",0.48,520,-0.0271064903179123,0.0115473022014277,0.264458540148346,0.9,0.0131558702896054,0.804672003021814
15,500,0.5,"means_sds","linear","non_private",0,1000,-0.00473787915321038,0.00505843542140775,0.159951957295028,0.944,0.00727076337120113,0.608887863772488
15,500,0.5,"means_sds","linear","private_propagated",0.045,955,-0.00935417527597247,0.00595256601666625,0.184094059756028,0.959162303664922,0.00640434888999969,0.766141475578868
15,500,0.5,"means_sds","linear","private_ignored",0.045,955,-0.00935417527597247,0.00595256601666625,0.184094059756028,0.927748691099476,0.00837792269937709,0.647516141939714
16,40,1,"means_sds","linear","non_private",0,1000,-0.00122158097242184,0.00502860764462331,0.158943701381315,0.949,0.00695693898205238,0.629203439136961
16,40,1,"means_sds","linear","private_ignored",0.67,330,-0.0996297990174999,0.0265898853780769,0.49247978263702,0.833333333333333,0.0205152484965555,1.18755761042296
16,40,1,"means_sds","linear","private_propagated",0.67,330,-0.0996297990174999,0.0265898853780769,0.49247978263702,0.996969696969697,0.00302570817848588,4.27322268780264
17,150,1,"means_sds","linear","private_ignored",0.178,822,-0.00768959909886847,0.00700546152717455,0.200875407197254,0.927007299270073,0.00907288454830432,0.693658361508504
17,150,1,"means_sds","linear","private_propagated",0.178,822,-0.00768959909886847,0.00700546152717455,0.200875407197254,0.968369829683698,0.00610429455165076,1.04376842608
17,150,1,"means_sds","linear","non_private",0,1000,-0.00475003889964823,0.00503613843740144,0.159247890221063,0.947,0.00708456067798138,0.615401003752985
18,500,1,"means_sds","linear","private_propagated",0.002,998,0.00027065892534718,0.00499298791512462,0.157655357637705,0.956913827655311,0.00642747064210201,0.641187196919179
18,500,1,"means_sds","linear","private_ignored",0.002,998,0.00027065892534718,0.00499298791512462,0.157655357637705,0.954909819639279,0.00656835920768051,0.618878658720049
18,500,1,"means_sds","linear","non_private",0,1000,0.000392854006967554,0.00481650712447671,0.152235660978384,0.949,0.00695693898205238,0.60691053920258
19,40,4,"means_sds","linear","private_propagated",0.171,829,-0.00220661313344731,0.00706355094949019,0.203265579503282,0.978287092882992,0.005061915415507,0.996849188334382
19,40,4,"means_sds","linear","non_private",0,1000,0.00639627763138794,0.0051388011372571,0.162547784416412,0.941,0.00745110730026082,0.627576167968566
19,40,4,"means_sds","linear","private_ignored",0.171,829,-0.00220661313344731,0.00706355094949019,0.203265579503282,0.90832328106152,0.0100224174629254,0.686898405923299
20,150,4,"means_sds","linear","non_private",0,1000,0.00639575341322448,0.00515342244201338,0.163009541943728,0.938,0.00762600813007697,0.616049356959952
20,150,4,"means_sds","linear","private_ignored",0.001,999,0.00691412192605489,0.00534851715355261,0.169107148140968,0.923923923923924,0.00838801916965702,0.623878174780129
20,150,4,"means_sds","linear","private_propagated",0.001,999,0.00691412192605489,0.00534851715355261,0.169107148140968,0.930930930930931,0.00802264891807337,0.639618106283032
21,500,4,"means_sds","linear","private_ignored",0,1000,0.0024581869293308,0.00500918957705792,0.158344342878634,0.951,0.00682634602111555,0.610640517355332
21,500,4,"means_sds","linear","private_propagated",0,1000,0.0024581869293308,0.00500918957705792,0.158344342878634,0.951,0.00682634602111555,0.612023170654733
21,500,4,"means_sds","linear","non_private",0,1000,0.00240757913639155,0.00500910883611767,0.158341013632091,0.949,0.00695693898205238,0.610214836950277
22,40,Inf,"means_sds","linear","private_ignored",0,1000,-0.0072526849013464,0.00526167093344218,0.16646350131214,0.944,0.00727076337120113,0.630306250393456
22,40,Inf,"means_sds","linear","private_propagated",0,1000,-0.0072526849013464,0.00526167093344218,0.16646350131214,0.944,0.00727076337120113,0.630306250393456
22,40,Inf,"means_sds","linear","non_private",0,1000,-0.0072526849013464,0.00526167093344218,0.16646350131214,0.944,0.00727076337120113,0.630306250393456
23,150,Inf,"means_sds","linear","private_propagated",0,1000,0.00405147563444325,0.0051511413094645,0.162862325256942,0.931,0.00801492358042171,0.613801378347911
23,150,Inf,"means_sds","linear","non_private",0,1000,0.00405147563444325,0.0051511413094645,0.162862325256942,0.931,0.00801492358042171,0.613801378347911
23,150,Inf,"means_sds","linear","private_ignored",0,1000,0.00405147563444325,0.0051511413094645,0.162862325256942,0.931,0.00801492358042171,0.613801378347911
24,500,Inf,"means_sds","linear","private_propagated",0,1000,-0.00321216248246513,0.00491448066802372,0.155365009265137,0.952,0.00675988165576884,0.610089536468819
24,500,Inf,"means_sds","linear","non_private",0,1000,-0.00321216248246513,0.00491448066802372,0.155365009265137,0.952,0.00675988165576884,0.610089536468819
24,500,Inf,"means_sds","linear","private_ignored",0,1000,-0.00321216248246513,0.00491448066802372,0.155365009265137,0.952,0.00675988165576884,0.610089536468819
25,40,0.5,"means","quadratic","private_ignored",0.032,968,0.279211115023738,0.0218730689452601,0.735256257402223,0.730371900826446,0.0142631984444338,1.22167243927292
25,40,0.5,"means","quadratic","private_propagated",0.032,968,0.279211115023738,0.0218730689452601,0.735256257402223,0.982438016528926,0.0042218391530629,3.19309045898983
25,40,0.5,"means","quadratic","non_private",0,1000,0.107350231018263,0.00688702897736673,0.242709309806255,0.921,0.00852988862764339,0.84221014920598
26,150,0.5,"means","quadratic","private_ignored",0,1000,0.117442072112511,0.00874276069442225,0.300253341359351,0.888,0.00997276290703835,0.870956764097857
26,150,0.5,"means","quadratic","private_propagated",0,1000,0.117442072112511,0.00874276069442225,0.300253341359351,0.967,0.00564898220921256,1.09143123330684
26,150,0.5,"means","quadratic","non_private",0,1000,0.0967932753416847,0.0066780802595688,0.232209167236482,0.934,0.00785136930732467,0.830666776581392
27,500,0.5,"means","quadratic","private_propagated",0,1000,0.0913927523078841,0.00689994667455166,0.236462026596143,0.941,0.00745110730026082,0.852656285760793
27,500,0.5,"means","quadratic","non_private",0,1000,0.0904082204421419,0.00668625350198305,0.229858491751779,0.934,0.00785136930732467,0.826091456113058
27,500,0.5,"means","quadratic","private_ignored",0,1000,0.0913927523078841,0.00689994667455166,0.236462026596143,0.931,0.00801492358042171,0.829496802696075
28,40,1,"means","quadratic","private_propagated",0.001,999,0.165076598715784,0.0138178310476013,0.466691411313628,0.965965965965966,0.00573660415128958,1.63763504153482
28,40,1,"means","quadratic","non_private",0,1000,0.0893188702003036,0.00685693279778187,0.234410687554476,0.932,0.00796090447122687,0.843349511893698
28,40,1,"means","quadratic","private_ignored",0.001,999,0.165076598715784,0.0138178310476013,0.466691411313628,0.816816816816817,0.0122383365480576,1.00440507869752
29,150,1,"means","quadratic","non_private",0,1000,0.0915408985759804,0.00682500294446107,0.234336980945834,0.933,0.00790638982089803,0.831714540062505
29,150,1,"means","quadratic","private_ignored",0,1000,0.0949291318374298,0.00730511070715893,0.249645384240952,0.92,0.00857904423581089,0.842729789793529
29,150,1,"means","quadratic","private_propagated",0,1000,0.0949291318374298,0.00730511070715893,0.249645384240952,0.943,0.00733150734842434,0.903913733464851
30,500,1,"means","quadratic","private_ignored",0,1000,0.102073770247696,0.00653429235162584,0.230376505166128,0.926,0.00827792244467173,0.820669067441462
30,500,1,"means","quadratic","private_propagated",0,1000,0.102073770247696,0.00653429235162584,0.230376505166128,0.931,0.00801492358042171,0.826433274153285
30,500,1,"means","quadratic","non_private",0,1000,0.10104897673457,0.0064959053345688,0.228835060750461,0.93,0.00806845710157772,0.819720690983372
31,40,4,"means","quadratic","private_propagated",0,1000,0.106429781790523,0.00756623352751056,0.261759317608773,0.926,0.00827792244467173,0.904837295449627
31,40,4,"means","quadratic","private_ignored",0,1000,0.106429781790523,0.00756623352751056,0.261759317608773,0.902,0.00940191469861325,0.849818219746826
31,40,4,"means","quadratic","non_private",0,1000,0.103165017754934,0.00697802098761245,0.24348943511995,0.925,0.00832916562447884,0.843392911895482
