"cell","gu","p_t","delta","bstar","dir","q","width","n","excluded","flip","fr_grid","ff_grid","fr_prob","ff_prob","fr_none","ff_none","qba_mc_disagree"
4,1,0.5,-0.3,0.186853393580291,"understated",0,0.05,2000,0,0.256,0,0.0369623655913979,0,0.395833333333333,1,0,0.019
5,0.5,0.7,-0.3,0.188320960547489,"understated",0,0.05,2000,0,0.235,0,0.0431372549019608,0,0.409803921568627,1,0,0.0245
6,1,0.7,-0.3,0.372194219158153,"understated",0,0.05,2000,0,0.6615,0,0.06794682422452,0,0.165435745937962,1,0,5e-04
7,0.5,0.3,-0.1,0,"understated",0,0.05,2000,0,0,NA,0.1905,NA,0.869,1,0,0.01
8,1,0.3,-0.1,0,"understated",0,0.05,2000,0,0,NA,0.2,NA,0.8665,1,0,0.0145
9,0.5,0.5,-0.1,0.0948723917686763,"understated",0,0.05,2000,0,0.203,0,0.104767879548306,0,0.821831869510665,1,0,0.0135
10,1,0.5,-0.1,0.186853393580291,"understated",0,0.05,2000,0,0.432,0,0.153169014084507,0,0.801056338028169,1,0,0.01
11,0.5,0.7,-0.1,0.188320960547489,"understated",0,0.05,2000,0,0.4145,0,0.13663535439795,0,0.761742100768574,1,0,0.0135
12,1,0.7,-0.1,0.372194219158153,"understated",0,0.05,2000,0,0.6525,0,0.267625899280576,0,0.828776978417266,1,0,0.0015
13,0.5,0.3,0.1,0,"understated",0,0.05,2000,0,0,NA,0.1885,NA,0.8695,1,0,0.0105
14,1,0.3,0.1,0,"understated",0,0.05,2000,0,0,NA,0.1865,NA,0.874,1,0,0.011
15,0.5,0.5,0.1,0.0948723917686763,"understated",0,0.05,2000,0,0.165,0,0.117365269461078,0,0.846107784431138,1,0,0.0155
16,1,0.5,0.1,0.186853393580291,"understated",0,0.05,2000,0,0.2545,0,0.13682092555332,0,0.829644533869886,1,0,0.011
17,0.5,0.7,0.1,0.188320960547489,"understated",0,0.05,2000,0,0.2415,0,0.146341463414634,0,0.821357943309163,1,0,0.011
18,1,0.7,0.1,0.372194219158153,"understated",0,0.05,2000,0,0.282,0,0.13857938718663,0,0.821030640668524,1,0,0.011
1,0.5,0.3,-0.3,0,"symmetric",0.1,0.05,2000,0.0965,0,NA,0.057,NA,0.555,1,0,0.0245
2,1,0.3,-0.3,0,"symmetric",0.1,0.05,2000,0.0935,0,NA,0.0725,NA,0.56,1,0,0.018
3,0.5,0.5,-0.3,0.0948723917686763,"symmetric",0.1,0.05,2000,0.1035,0.1035,0.00483091787439614,0.0256553262688232,0,0.504740658114891,1,0,0.0195
4,1,0.5,-0.3,0.186853393580291,"symmetric",0.1,0.05,2000,0.096,0.256,0,0.0329301075268817,0,0.398521505376344,1,0,0.0205
