"cell","scen","rel","beta","method","bias","mcse","coverage","width","predicted"
20,"target_both",1,0.3,"bounded",NA,NA,0.986,0.790314063313843,-0.06
20,"target_both",1,0.3,"reliability_corrected",-0.0623233909344915,0.00394767758726129,0.921,0.497527948114264,-0.06
20,"target_both",1,0.3,"naive",-0.0623233909344915,0.00394767758726129,0.921,0.497527948114264,-0.06
21,"same",0.8,0.3,"bounded",NA,NA,0.993,0.967902341009377,-0.03
21,"same",0.8,0.3,"naive",-0.0249870943539297,0.00428181675308281,0.947,0.528422178808214,-0.03
21,"same",0.8,0.3,"reliability_corrected",0.00427777457268179,0.00457643787709739,0.952,0.563594589750797,-0.03
22,"same_shifted",0.8,0.3,"bounded",NA,NA,0.993,1.17227204173049,-0.03
22,"same_shifted",0.8,0.3,"reliability_corrected",9.25052130610571e-05,0.00447984979126034,0.955,0.5643258087881,-0.03
22,"same_shifted",0.8,0.3,"naive",-0.0296788666996697,0.00418476204670251,0.945,0.529352653903087,-0.03
23,"target_offset",0.8,0.3,"bounded",NA,NA,0.982,1.31735601408623,0.042
23,"target_offset",0.8,0.3,"naive",0.0394962391601457,0.0051198276257822,0.944,0.631735713213355,0.042
23,"target_offset",0.8,0.3,"reliability_corrected",0.0868965389468827,0.00600837687128448,0.92,0.727725616419292,0.042
24,"target_slope",0.8,0.3,"naive",-0.0534212856276626,0.00404691645135302,0.929,0.507045990542495,-0.054
24,"target_slope",0.8,0.3,"bounded",NA,NA,0.986,0.885297414799744,-0.054
24,"target_slope",0.8,0.3,"reliability_corrected",-0.029557776039282,0.0042315195290581,0.947,0.528976480897423,-0.054
25,"target_both",0.8,0.3,"bounded",NA,NA,0.991,0.821863461756266,-0.078
25,"target_both",0.8,0.3,"naive",-0.0729377066068095,0.00386035397710814,0.914,0.491851229369125,-0.078
25,"target_both",0.8,0.3,"reliability_corrected",-0.0545800589883459,0.00397067820144932,0.929,0.504184111202707,-0.078
26,"same",0.6,0.3,"naive",-0.0641163974307421,0.00404339774973436,0.935,0.513984240981103,-0.06
26,"same",0.6,0.3,"bounded",NA,NA,0.989,1.089180254795,-0.06
26,"same",0.6,0.3,"reliability_corrected",-0.00443562317288051,0.00473167730510001,0.965,0.597199355968345,-0.06
27,"same_shifted",0.6,0.3,"bounded",NA,NA,0.991,1.31736096080985,-0.06
27,"same_shifted",0.6,0.3,"reliability_corrected",-0.00303314695416694,0.00496954221625638,0.94,0.590837778242605,-0.06
27,"same_shifted",0.6,0.3,"naive",-0.0608187608813401,0.00422149768913751,0.911,0.511264634758825,-0.06
28,"target_offset",0.6,0.3,"bounded",NA,NA,0.982,1.52131018743814,-0.006
28,"target_offset",0.6,0.3,"reliability_corrected",0.0868243315542674,0.00662997572922756,0.921,0.801215926133748,-0.006
28,"target_offset",0.6,0.3,"naive",-0.0106054085887308,0.0047620190683495,0.943,0.582349251682796,-0.006
29,"target_slope",0.6,0.3,"bounded",NA,NA,0.988,0.974491185672532,-0.078
29,"target_slope",0.6,0.3,"naive",-0.081727455962724,0.00392261232105739,0.906,0.497535213089921,-0.078
29,"target_slope",0.6,0.3,"reliability_corrected",-0.0350034596989652,0.00443491353518635,0.945,0.549669690397773,-0.078
30,"target_both",0.6,0.3,"bounded",NA,NA,0.985,0.879044479853371,-0.096
30,"target_both",0.6,0.3,"naive",-0.0982807520012036,0.00380408042784138,0.881,0.485965891230588,-0.096
30,"target_both",0.6,0.3,"reliability_corrected",-0.0625320998216154,0.00404678623572115,0.929,0.515271585681482,-0.096
31,"same",1,0.6,"naive",-0.00161799364901393,0.00474407840544763,0.96,0.607119615548159,0
31,"same",1,0.6,"bounded",NA,NA,0.998,1.21262521461038,0
31,"same",1,0.6,"reliability_corrected",-0.00161799364901392,0.00474407840544763,0.96,0.607119615548159,0
32,"same_shifted",1,0.6,"naive",-0.00544951337974738,0.00492053822117108,0.943,0.605694992019967,-6.66133814775094e-17
32,"same_shifted",1,0.6,"bounded",NA,NA,1,1.4591116812736,-6.66133814775094e-17
32,"same_shifted",1,0.6,"reliability_corrected",-0.00544951337974738,0.00492053822117108,0.943,0.605694992019967,-6.66133814775094e-17
33,"target_offset",1,0.6,"bounded",NA,NA,0.991,1.50979695545741,0.18
33,"target_offset",1,0.6,"reliability_corrected",0.176220569921981,0.00627294365732566,0.847,0.762774992636807,0.18
33,"target_offset",1,0.6,"naive",0.176220569921981,0.00627294365732566,0.847,0.762774992636807,0.18
34,"target_slope",1,0.6,"bounded",NA,NA,0.999,1.13923048736145,-0.06
34,"target_slope",1,0.6,"naive",-0.0673870521802944,0.00448549461813075,0.917,0.573428880251419,-0.06
34,"target_slope",1,0.6,"reliability_corrected",-0.0673870521802944,0.00448549461813075,0.917,0.573428880251419,-0.06
35,"target_both",1,0.6,"bounded",NA,NA,0.994,1.07523636556264,-0.12
35,"target_both",1,0.6,"reliability_corrected",-0.117856308669609,0.00433530422191735,0.866,0.548273917531832,-0.12
35,"target_both",1,0.6,"naive",-0.117856308669609,0.00433530422191735,0.866,0.548273917531832,-0.12
