"cell","res","rep","quantity","both","jitter","censoring","events_given","events_not_given"
3,"fine",10,"rmst24_error_120_points",NA,NA,NA,0.0695283327602034,0.0695283327602034
4,"coarse",1,"B_rmst24",4.36225638636582e-05,3.54135524950482e-05,2.44623752465702e-05,NA,NA
4,"coarse",1,"B_s12",2.11713167359248e-06,3.38043092998531e-06,1.93377631879322e-08,NA,NA
4,"coarse",1,"B_s48",6.49605189225267e-06,3.80272896182123e-06,8.29825429620648e-06,NA,NA
4,"coarse",1,"rmst24_error_30_points",NA,NA,NA,0.270069769691148,0.270069769691148
4,"coarse",1,"rmst24_error_60_points",NA,NA,NA,0.14187637243867,0.14187637243867
4,"coarse",1,"rmst24_error_120_points",NA,NA,NA,0.0710276130343104,0.0710276130343104
4,"coarse",2,"B_rmst24",1.30432568107832e-05,6.31634642799129e-05,0.000105351405223968,NA,NA
4,"coarse",2,"B_s12",2.40582159470083e-06,3.17281885615328e-06,3.79516247121733e-06,NA,NA
4,"coarse",2,"B_s48",6.19832431485415e-06,3.37046513790845e-06,6.41526448400477e-06,NA,NA
4,"coarse",2,"rmst24_error_30_points",NA,NA,NA,0.344683203035711,0.344683203035711
4,"coarse",2,"rmst24_error_60_points",NA,NA,NA,0.167126496421787,0.167126496421787
4,"coarse",2,"rmst24_error_120_points",NA,NA,NA,0.0609944283339363,0.0609944283339363
4,"coarse",3,"B_rmst24",1.78974556391882e-05,5.59091340197206e-05,8.10298871214866e-06,NA,NA
4,"coarse",3,"B_s12",2.36129897799624e-06,2.55433729325976e-06,0,NA,NA
4,"coarse",3,"B_s48",3.71983317631462e-06,2.64656482827631e-06,2.1904180050082e-06,NA,NA
4,"coarse",3,"rmst24_error_30_points",NA,NA,NA,0.318443852408159,0.318443852408159
4,"coarse",3,"rmst24_error_60_points",NA,NA,NA,0.172531011444029,0.172531011444029
4,"coarse",3,"rmst24_error_120_points",NA,NA,NA,0.0876275317100195,0.0876275317100195
4,"coarse",4,"B_rmst24",5.98662928159701e-05,4.66516012130123e-05,0.000993507676994727,NA,NA
4,"coarse",4,"B_s12",4.67102746961811e-06,3.12037770396224e-06,1.88442278316344e-06,NA,NA
4,"coarse",4,"B_s48",5.61033651486137e-06,2.95605324467864e-06,9.88565444573865e-06,NA,NA
4,"coarse",4,"rmst24_error_30_points",NA,NA,NA,0.278771163793987,0.278771163793987
