"cell","k","bias_max","mcse_max","bias_int","mcse_int","exact_max","exact_int","cover_max","cover_int","cover_bnd","width_bnd","width_max","pattern","strength","similarity","separation"
35,3,0.00198226233099612,0.00578611389916197,0.786643719835509,0.00515731777546071,0.00577874508992867,0.792401381491874,0.975,0.004,0.993,1.08619356284422,0.889951315109707,"random",0.5,"dispersed","tied"
35,4,0.0851348832733562,0.00339724520981613,0.269895199887359,0.00382717111756635,0.087813086579046,0.269832225219815,0.964,0.437,0.889,0.781027941392156,0.553990017977938,"random",0.5,"dispersed","tied"
35,1,0.277973126181835,0.0052105846253661,0.53412507773614,0.00408073244854876,0.282109970112559,0.536384878557237,0.666,0.021,1,1.17727401174769,0.727122441173402,"random",0.5,"dispersed","tied"
36,3,-0.00058699154230292,0.00445172177773825,0.150911447648803,0.00471064308004006,0,0.153053341782147,0.987,0.857,0.987,0.742067941216862,0.742081577139984,"adversarial",0.5,"dispersed","tied"
36,4,0.159196036879081,0.00537552233255217,0.829759337095624,0.00491155768499003,0.154706398306837,0.830996721379097,0.891,0.011,0.997,1.15298340600202,0.886906064151854,"adversarial",0.5,"dispersed","tied"
36,1,-0.0387821146074486,0.00525485207675951,0.223915310242995,0.00423089231183274,-0.0454628573574618,0.22600588271929,0.983,0.689,0.993,1.49097162770769,0.77504806394731,"adversarial",0.5,"dispersed","tied"
36,2,0.00649256336742835,0.00445594071074841,0.374412870839629,0.00432289609553408,0,0.372158194309369,0.99,0.301,0.99,0.766546260436277,0.766560346162524,"adversarial",0.5,"dispersed","tied"
37,1,-0.00133940732061571,0.00461818463052251,-0.00133940732061571,0.00461818463052251,0,0,0.993,0.993,0.993,0.811150440071303,0.811165345424879,"complete",0.5,"similar","separated"
37,2,-0.00189998618366522,0.00451301271713136,-0.00189998618366522,0.00451301271713136,0,0,0.991,0.991,0.991,0.777103097115216,0.777117376829378,"complete",0.5,"similar","separated"
37,3,-0.00486010601118362,0.00452999266299168,-0.00486010601118362,0.00452999266299168,0,0,0.984,0.984,0.984,0.772447770932921,0.772461965102801,"complete",0.5,"similar","separated"
37,4,-0.00454893225335387,0.00424795580095986,-0.00454893225335387,0.00424795580095986,0,0,0.99,0.99,0.99,0.750315991120909,0.750329778606668,"complete",0.5,"similar","separated"
38,1,-0.00604130401318928,0.00492617108980077,-0.00604130401318928,0.00492617108980077,0,0,0.989,0.989,0.989,0.838908532237525,0.838923947661931,"complete",0.5,"dispersed","separated"
38,2,-0.00394062223960597,0.00616792228479708,-0.00394062223960597,0.00616792228479708,0,0,0.977,0.977,0.977,0.979047428791856,0.979065419348691,"complete",0.5,"dispersed","separated"
38,3,-0.00542639837499993,0.00412222328923274,-0.00542639837499993,0.00412222328923274,0,0,0.99,0.99,0.99,0.750298868723367,0.750312655894493,"complete",0.5,"dispersed","separated"
38,4,-0.005740217331766,0.00566554213502473,-0.005740217331766,0.00566554213502473,0,0,0.985,0.985,0.985,0.960598014037272,0.960615665575552,"complete",0.5,"dispersed","separated"
39,2,-0.000760454977203165,0.00498505493602235,-0.000760454977203165,0.00498505493602235,0,0,0.983,0.983,0.983,0.844579417502041,0.844594937132209,"complete",0.5,"similar","tied"
39,3,0.000227643035583047,0.00443965161680404,0.000227643035583047,0.00443965161680404,0,0,0.983,0.983,0.983,0.778269870798993,0.77828417195329,"complete",0.5,"similar","tied"
39,4,-0.00102024327916833,0.00438054427130864,-0.00102024327916833,0.00438054427130864,0,0,0.99,0.99,0.99,0.774116746706034,0.774130971544299,"complete",0.5,"similar","tied"
39,1,-0.00213502901379712,0.00457516480130507,-0.00213502901379712,0.00457516480130507,0,0,0.988,0.988,0.988,0.791607527757622,0.791622073998999,"complete",0.5,"similar","tied"
40,2,-0.00134642547755172,0.00535497112688442,-0.00134642547755172,0.00535497112688442,0,0,0.982,0.982,0.982,0.92935609603067,0.929373173480826,"complete",0.5,"dispersed","tied"
40,3,-0.00753228603211927,0.0053856813138055,-0.00753228603211927,0.0053856813138055,0,0,0.986,0.986,0.986,0.901646525072782,0.901663093343713,"complete",0.5,"dispersed","tied"
40,4,-6.44976662707967e-05,0.00632918895340569,-6.44976662707967e-05,0.00632918895340569,0,0,0.979,0.979,0.979,1.01014817022845,1.01016673227921,"complete",0.5,"dispersed","tied"
40,1,-0.0111859233174451,0.00622708852900424,-0.0111859233174451,0.00622708852900424,0,0,0.978,0.978,0.978,1.01372584865265,1.01374447644529,"complete",0.5,"dispersed","tied"
41,1,-0.00194729157059241,0.00447823643887943,0.00327358595685024,0.00333818901189089,0,0,0.933,0.945,0.933,0.514349721597181,0.514359173067689,"fawsitt",0,"similar","separated"
41,2,-0.00654942353753393,0.00439563084016647,-0.00104977161134992,0.00361759973625781,0,0,0.938,0.949,0.939,0.513807878251496,0.509541255613478,"fawsitt",0,"similar","separated"
41,3,-0.00474726653943132,0.00415854992500901,0.000946014941941897,0.00329627070062374,0,0,0.953,0.964,0.953,0.505566120544622,0.501299346459589,"fawsitt",0,"similar","separated"
41,4,0.00383915856221051,0.00352256705840918,0.00195530142770034,0.00332040826784018,0,0,0.947,0.948,0.945,0.459535190138876,0.429964601517824,"fawsitt",0,"similar","separated"
42,1,-0.00534736208648047,0.00684813509520966,0.0031218025158305,0.00370406282105482,0,0,0.925,0.947,0.925,0.788708886333304,0.788723379310486,"fawsitt",0,"dispersed","separated"
42,2,-0.00559537166435992,0.00628918061342905,0.000938540547900247,0.00342825001495327,0,0,0.932,0.949,0.944,0.768386586990405,0.720154104206632,"fawsitt",0,"dispersed","separated"
42,3,0.00209497024550167,0.00391141644014601,0.00349607865463133,0.00310608036458797,0,0,0.945,0.954,0.962,0.519881963424474,0.471644914226019,"fawsitt",0,"dispersed","separated"
42,4,0.0020549961298561,0.00347977502868103,0.00374369374680251,0.00312629736520981,0,0,0.963,0.957,0.974,0.542596022715194,0.445555388075069,"fawsitt",0,"dispersed","separated"
43,1,0.00206517731741425,0.00441202843742835,0.00453772707550657,0.00354774795725793,0,0,0.941,0.934,0.941,0.534747693462847,0.534757519757763,"fawsitt",0,"similar","tied"
43,2,0.000971320348121425,0.00405332513103375,0.0014657999268749,0.00348299479457942,0,0,0.95,0.939,0.942,0.497515920248833,0.493598626701977,"fawsitt",0,"similar","tied"
43,3,-0.000535199382320507,0.00413206303391146,0.000729212566085968,0.00349802396054603,0,0,0.937,0.935,0.931,0.488973464868202,0.485056014348841,"fawsitt",0,"similar","tied"
43,4,0.00380565428464969,0.0038275687531337,0.00412186339905854,0.00362516977108213,0,0,0.937,0.943,0.931,0.477317664199831,0.452553586351993,"fawsitt",0,"similar","tied"
44,1,-0.00118575835596864,0.00512015858821332,0.00151183941235368,0.0046255094839261,0,0,0.943,0.948,0.943,0.613400695523528,0.613411967112371,"fawsitt",0,"dispersed","tied"
44,2,-0.0018642469377218,0.00437309257003087,-0.00343257207113978,0.00312964548024386,0,0,0.947,0.958,0.947,0.554399904952695,0.550803848675034,"fawsitt",0,"dispersed","tied"
44,3,-0.00041737436986735,0.00539403230282186,-0.00385250645461111,0.0031814170754556,0,0,0.937,0.947,0.942,0.632562840195196,0.628968220206205,"fawsitt",0,"dispersed","tied"
44,4,-0.00381319450762951,0.00335452755643693,-0.00412504655089085,0.00318560518087991,0,0,0.941,0.942,0.976,0.525524447565903,0.408399967438348,"fawsitt",0,"dispersed","tied"
