"rule","caught_tight_prior","caught_misspecified","false_alarm_nominal"
"contraction",0.587155963302752,0,0.0355029585798817
"target_ratio",0.412844036697248,0,0
"eff_rank",0.559633027522936,0,0.00591715976331361
"rank_screen",0.165137614678899,0,0
