"cell","v","tau","s","held","full","full_mcse","naive","wrong_target","decision_flip","mean_D","mean_D_wrong","var_D","share_pred","share_obs","share_tau"
1,0,0,1,3,0.0445,0.00461084319837489,0.057,0.0495,0.0955000000000001,-0.00776251013554344,-0.00761252418020614,0.0230256138372984,0.338190250402055,0.626305873738198,0.162609180125277
2,0.15,0,1,3,0.156,0.00811369213120636,0.177,0.1555,0.4105,-0.150514990675114,-0.150203789626119,0.0222259402446056,0.350441724430514,0.648950263780893,0.153750123286858
3,0.3,0,1,3,0.474,0.0111652138358385,0.521,0.482,0.812,-0.296183524561502,-0.295571547020179,0.022876923685202,0.340591341029506,0.631823457846983,0.144863229572226
4,0,0.1,1,3,0.073,0.00581682903307292,0.1045,0.0735,0.1555,0.00206509593010481,0.0021588601296099,0.0328045183356448,0.237030570891509,0.439879813307208,0.272622063543003
5,0.15,0.1,1,3,0.17,0.00839940474081348,0.2225,0.169,0.4145,-0.148206091964362,-0.147807704778429,0.0320539037043768,0.242599343171246,0.450636523984617,0.307913557869981
6,0.3,0.1,1,3,0.447,0.0111173513032556,0.5325,0.4455,0.7825,-0.305945296311608,-0.305746566685454,0.0324242296442865,0.240928484434623,0.44508306794652,0.30184845890374
7,0,0,2,3,0.035,0.00410944035119139,0.0535,0.0375,0.42,-0.00199445113292508,-0.00261661104758764,0.0265366494238144,0.41655828946324,0.54416949724148,0.276236359236822
8,0.15,0,2,3,0.126,0.0074203773488954,0.151,0.123,0.6095,-0.151996567849097,-0.152617357886229,0.0241557344854333,0.456177486785109,0.5982605637494,0.315508105342553
9,0.3,0,2,3,0.4325,0.0110779905668853,0.489,0.428,0.7025,-0.30447477017762,-0.304078615897005,0.0271505775105791,0.405776960016084,0.532482983558362,0.267820136781976
10,0,0.1,2,3,0.062,0.00539240206216117,0.0895,0.0615,0.4305,-0.000490599024528329,-0.000273528527599539,0.0342938869677088,0.321504518478865,0.420695937060909,0.390607070393679
11,0.15,0.1,2,3,0.141,0.0077819984579798,0.191,0.145,0.586,-0.144925513510055,-0.144885621106096,0.0348718208237822,0.316347521424542,0.412712163229103,0.361498877772963
12,0.3,0.1,2,3,0.3725,0.0108107296238506,0.476,0.378,0.693,-0.299152548513884,-0.299543320617313,0.035316251714515,0.312762265611151,0.409436549579795,0.404179242607257
13,0,0,1,5,0.043,0.00453602248671675,0.048,0.5065,0.434,-0.00621672483220358,-0.303245098562241,0.0318066319985631,0.514242776047469,0.453358107845566,0.0886146507757591
14,0.15,0,1,5,0.1135,0.00709287494602858,0.1275,0.8265,0.318,-0.142125428292152,-0.4439406736397,0.0303720428921685,0.540718930033674,0.475553445116836,0.0914816414323153
15,0.3,0,1,5,0.355,0.0106998831769324,0.3835,0.9735,0.3155,-0.299339404340125,-0.601404616749378,0.0307012069990667,0.53529522508032,0.470978133752574,0.0993611492543875
16,0,0.1,1,5,0.0635,0.005452877680638,0.0855,0.435,0.44,0.00227799457426729,-0.297491478084953,0.039733879159086,0.41230201418069,0.364669045290454,0.235858424558565
17,0.15,0.1,1,5,0.1365,0.00767684017027839,0.185,0.731,0.3615,-0.158110580575142,-0.453761466143523,0.0402612783823414,0.407807695931464,0.359501014671456,0.252947976239277
18,0.3,0.1,1,5,0.3445,0.0106259058437387,0.422,0.9225,0.3285,-0.304794572367352,-0.601731672291198,0.0389582403633909,0.420967066988091,0.371538400717037,0.246505775768571
19,0,0,2,5,0.039,0.00432891441356837,0.0505,0.9615,0.0215,-0.00919370042532401,-0.602858385212299,0.0551885365188415,0.824694922268432,0.262025208552243,0.0786578023365763
20,0.15,0,2,5,0.073,0.00581682903307292,0.0875,0.9925,0.026,-0.13618633658091,-0.739164792654162,0.0597289856725629,0.763301116181215,0.241695728836508,0.0772905213114309
21,0.3,0,2,5,0.217,0.00921713079000184,0.229,0.998,0.023,-0.297446638171124,-0.901347255230363,0.0612683969331636,0.742587803137224,0.236540965548813,0.0829799411503743
22,0,0.1,2,5,0.0495,0.0048502448391808,0.0745,0.892,0.025,0.00242407854174057,-0.598244545795071,0.0729249346579215,0.62386048382008,0.198440066925775,0.159447819699513
23,0.15,0.1,2,5,0.085,0.00623598428477815,0.11,0.976,0.0200000000000003,-0.152026681593487,-0.751158392132683,0.0681861914650735,0.667727543780588,0.212092250126543,0.156696118030794
24,0.3,0.1,2,5,0.211,0.00912356838084748,0.2395,0.9955,0.0205,-0.289089903793042,-0.897556175934672,0.0697277064622594,0.652302906643792,0.207624146213906,0.152521798017973
