"method","coverage","coverage_anchored","fitted"
"maic",0.747657170739769,0.773951162118079,0.992681640625
"maic_mean",0.729950858607166,0.77275426178534,0.999984375
"stc",0.532921875,0.609095703125,1
"unadj",0.357267578125,0.427595703125,1
