"fpr","tpr","diagnostic","target"
0,0,"ess","material error"
0,1.07184163456499e-06,"ess","material error"
0.000251007637597161,0.00297808841868867,"ess","material error"
0.000583766768819134,0.00575965591451668,"ess","material error"
0.000964965799154371,0.00852636454401807,"ess","material error"
0.00131279338246816,0.0114092102867578,"ess","material error"
0.00167027233137214,0.0143671286952437,"ess","material error"
0.00208985903819024,0.017233176556335,"ess","material error"
0.00247601908473315,0.0202286030526692,"ess","material error"
0.00285764894383951,0.0231913962471091,"ess","material error"
0.00325514593725044,0.0261308244978365,"ess","material error"
0.00365985378306946,0.029185457156699,"ess","material error"
0.00413242467720345,0.0321262265767884,"ess","material error"
0.00454685353920931,0.0352460491939818,"ess","material error"
0.00505150958094908,0.0382902775594816,"ess","material error"
0.00555345954648554,0.0413650309177851,"ess","material error"
0.00612070649433913,0.0443929663486237,"ess","material error"
0.00668748036233411,0.0474334582120733,"ess","material error"
0.00717717747642171,0.0506327526575565,"ess","material error"
0.00776456421136205,0.0538470105352119,"ess","material error"
0.00836903109942509,0.0570013933715139,"ess","material error"
0.00896191447219245,0.0602857050227638,"ess","material error"
0.00965837319597573,0.0634927365846751,"ess","material error"
0.0102332263793695,0.0667758100190956,"ess","material error"
0.0108734416907669,0.0700130193394095,"ess","material error"
0.0114985050348659,0.0733846421352999,"ess","material error"
0.012192938454972,0.076595434362564,"ess","material error"
0.0128639371836186,0.0798100469530332,"ess","material error"
0.0135302064363319,0.0830936254840645,"ess","material error"
0.0141501716725385,0.0863307653868187,"ess","material error"
0.0148019859276761,0.0896139793498008,"ess","material error"
0.0154440322337486,0.0928646860547392,"ess","material error"
0.016207708848381,0.0961132104465653,"ess","material error"
0.016873127437893,0.0993875774925376,"ess","material error"
0.0175339110254174,0.10267720177702,"ess","material error"
0.0182159782119661,0.105923373667767,"ess","material error"
0.0189158760531058,0.109134828245399,"ess","material error"
0.0196135245388511,0.112425160498642,"ess","material error"
0.0203437819735873,0.115639142048097,"ess","material error"
0.0209740334620701,0.119003989923236,"ess","material error"
0.0216885576954464,0.122052211268292,"ess","material error"
0.02245413979334,0.125221093812444,"ess","material error"
0.0232107419788817,0.128428449253095,"ess","material error"
0.0239476197042874,0.131524290903564,"ess","material error"
0.0247118513514927,0.13460642227854,"ess","material error"
0.0254571448536471,0.137762922758446,"ess","material error"
0.0262338841400249,0.140824302269187,"ess","material error"
0.0270018243697291,0.143855819292408,"ess","material error"
0.027721667078636,0.146980866389391,"ess","material error"
0.0284620072268906,0.150149496824402,"ess","material error"
0.029316135212058,0.153205854787965,"ess","material error"
0.0301254317732424,0.156392024966605,"ess","material error"
0.0308663862160874,0.159561322380266,"ess","material error"
0.0316284962252077,0.162931253974241,"ess","material error"
0.032414971721485,0.16620077276525,"ess","material error"
0.0332523808811701,0.169501039792214,"ess","material error"
0.0341802297955525,0.172915365334157,"ess","material error"
0.035090262421691,0.176422502362805,"ess","material error"
0.0359443180978981,0.180021947955391,"ess","material error"
0.0368848696031248,0.18357366317876,"ess","material error"
0.0377839706527915,0.187256553815001,"ess","material error"
0.0387931129078894,0.190733386457445,"ess","material error"
0.0398332834624892,0.19445638535296,"ess","material error"
0.040948339329415,0.198143535978393,"ess","material error"
0.0420432179193321,0.201813763077765,"ess","material error"
0.0431595212467623,0.205560643051644,"ess","material error"
0.0442556983425235,0.209230158792332,"ess","material error"
0.0454204238874476,0.213059101827074,"ess","material error"
0.0465676925199059,0.216853674398139,"ess","material error"
0.0477938458745003,0.22053788342657,"ess","material error"
0.0489430020139908,0.224403015478974,"ess","material error"
