"diagnostic","cal_intercept","cal_slope","ice","ice_same_cells","slope_same_cells"
"ess",0.297033621582059,0.888118532276935,0.0654450908677596,0.0655553119967928,1.16586567481392
"ess_pct",0.248460552833043,0.837231311935606,0.0608189910635525,0.0687774664242413,1.15923418875113
"cv_w",0.258678812503884,0.744328024428018,0.0724808121559243,0.0783511919780334,1.22290629628772
"max_w",0.242702753661365,0.80063220593938,0.0693930053666293,0.0907133836729705,1.31369910999941
"smd_matched",0.387679394558552,0.467031798651304,0.0947462563929999,0.104671349623434,0.798130604994052
"smd_pre",0.648333788305757,0.844682355882883,0.14256420395603,0.0752146507617215,1.09678302648413
"maha",0.648517454877816,0.843948149025004,0.142714642011436,0.0750839500779009,1.09432482025432
"smd_unmatched",0.534358349886445,0.764887956867841,0.12704819642139,0.101390364179423,1.04868188595264
"bias_hat",0.534614841537131,0.765655094663319,0.129971579556926,0.0855792970693645,1.24137731125413
"orc_cross",0.587944907930185,0.484473218825511,0.138996431827305,0.0797202360323892,1.26284413293054
"lambda_norm",0.621571210889132,1.30989455197648,0.147052564798002,0.0990649400998932,1.11801929971429
