"diagnostic","factor","level","cal_intercept","cal_slope","ice"
"ess","omit",0,-0.4400025329959,1.19490534676168,0.0976532854205325
"ess","omit",0.35,0.0155427623504988,1.16250796133483,0.051114449135638
"ess","joint",0,-0.868155835874272,1.76280809218297,0.196767096221636
"ess","joint",0.45,0.776300391498075,0.638774017387771,0.163390654544083
"ess","overlap",0,-0.497780057191106,1.68269423875052,0.118901612207662
"ess","overlap",0.25,-0.254983991102386,1.4414265379645,0.0899088846481959
"ess","overlap",0.75,-0.0157007643460398,1.16344208227586,0.0194673022070687
"ess","overlap",1.25,-0.48663629424408,0.704122120497363,0.0686756195462547
"ess","n_arm",150,-0.359879972721441,1.10544853375364,0.0804809340899761
"ess","n_arm",400,-0.133744041790603,1.23968369052662,0.0639618294345731
"ess","rho4",0,-0.259802534499775,1.14111273233897,0.062437566570622
"ess","rho4",0.5,-0.238822040143336,1.21505885284253,0.0710903661988116
"ess","sd_target",1,-0.683413401610813,1.40257986814211,0.154418626655627
"ess","sd_target",1.25,0.297033621582059,0.888118532276935,0.0654450908677596
"ess_pct","omit",0,-0.455437197668434,1.15188920944505,0.101622976442629
"ess_pct","omit",0.35,-0.0114320549968624,1.21041743686856,0.061285992887809
"ess_pct","joint",0,-0.877275873697381,1.61246104087042,0.199810288266099
"ess_pct","joint",0.45,0.713430590167376,0.722761582909323,0.154257405720775
"ess_pct","overlap",0,-0.485310096226802,3.7019070242211,0.120818544936249
"ess_pct","overlap",0.25,-0.253487385116262,2.78000589222826,0.0893094059453855
"ess_pct","overlap",0.75,-0.0568154309542168,1.56636871179799,0.0383449038727328
"ess_pct","overlap",1.25,-0.869691549220793,0.650168716023284,0.1100513349827
"ess_pct","n_arm",150,0.332310248405586,1.10544853375363,0.075254039000298
"ess_pct","n_arm",400,-0.80942775732462,1.23968369052662,0.179357738210787
"ess_pct","rho4",0,-0.281933310638131,1.18044483691049,0.0667522917378196
"ess_pct","rho4",0.5,-0.256188408440419,1.17158587673464,0.0756472261453027
"ess_pct","sd_target",1,-0.697070826666146,1.43777367910404,0.16050463837003
"ess_pct","sd_target",1.25,0.248460552833043,0.837231311935606,0.0608189910635525
"cv_w","omit",0,-0.460305652639399,1.21274448969012,0.10637959592139
"cv_w","omit",0.35,-0.0223502970867662,1.27873729990769,0.0775304505099219
"cv_w","joint",0,-0.878122626966982,1.67985294919803,0.201734766029181
"cv_w","joint",0.45,0.681270131591812,0.77491598704151,0.153409634029122
"cv_w","overlap",0,-0.594572878879294,4.17633690960427,0.144883898896559
"cv_w","overlap",0.25,-0.363775159636895,3.9022618538846,0.109159044792495
"cv_w","overlap",0.75,0.114316526591691,1.92803468814347,0.0440903350999431
"cv_w","overlap",1.25,-1.43754592682738,0.306604350990138,0.148805014552326
"cv_w","n_arm",150,0.314504640465816,1.19595793995902,0.0804316070144276
"cv_w","n_arm",400,-0.810246536521426,1.26888731563637,0.181714812288865
"cv_w","rho4",0,-0.288845870957479,1.23469667986614,0.0776979274665559
"cv_w","rho4",0.5,-0.26412129636533,1.24224398322506,0.0832897515690018
"cv_w","sd_target",1,-0.734291854104077,1.7085089473603,0.17256389920138
"cv_w","sd_target",1.25,0.258678812503884,0.744328024428018,0.0724808121559243
"max_w","omit",0,-0.456375602917573,1.34455336153483,0.11047007374393
"max_w","omit",0.35,-0.0158345756249381,1.30995566482519,0.0906748813187295
"max_w","joint",0,-0.873567188792807,1.82826301745947,0.201389516572227
"max_w","joint",0.45,0.679888883348516,0.811165541878872,0.156439694651987
"max_w","overlap",0,-0.707074533880415,5.81343700294868,0.180100274000118
"max_w","overlap",0.25,-0.420753562074825,3.96698617399559,0.126116801913261
"max_w","overlap",0.75,0.208467579605284,1.53284835778109,0.058560889055954
"max_w","overlap",1.25,-1.17098248431784,0.231952253274146,0.123547697379748
"max_w","n_arm",150,-0.0088401228511942,0.712178159281442,0.0602848126546483
"max_w","n_arm",400,-0.566471634694782,2.28292316821684,0.15095511380166
"max_w","rho4",0,-0.280100084461042,1.22758054630448,0.0907196050831514
"max_w","rho4",0.5,-0.263275340724885,1.41660657644969,0.0951440614698753
"max_w","sd_target",1,-0.714601045406765,1.8220779318178,0.169007179453659
"max_w","sd_target",1.25,0.242702753661365,0.80063220593938,0.0693930053666293
"smd_matched","omit",0,-0.601453221905157,0.936145680469687,0.147941596768341
"smd_matched","omit",0.35,-0.203228198226602,0.67239766014619,0.0502960082519275
"smd_matched","joint",0,-0.97405633392327,1.14350062280183,0.236372015802483
"smd_matched","joint",0.45,0.394114300155875,0.49014187880537,0.0984528883919914
"smd_matched","overlap",0,-1.32824789332438,0.378471437161469,0.318881182159098
"smd_matched","overlap",0.25,-1.02053797664194,-0.0445759841911141,0.247670451115657
"smd_matched","overlap",0.75,0.182648182288991,0.473316145522006,0.0444275469999834
"smd_matched","overlap",1.25,1.22787302223406,-0.670058599053452,0.267647420669049
"smd_matched","n_arm",150,0.183752151411341,0.405780931472834,0.072474195937543
"smd_matched","n_arm",400,-0.952447240828185,1.69837366193199,0.231856332994731
"smd_matched","rho4",0,-0.445405808163366,0.757634612401157,0.109996075327027
"smd_matched","rho4",0.5,-0.423360013733039,0.872205878217501,0.104547867010369
"smd_matched","sd_target",1,-1.04482982671137,0.590662987676076,0.253976935290651
"smd_matched","sd_target",1.25,0.387679394558552,0.467031798651304,0.0947462563929999
"smd_pre","omit",0,-0.529017831466342,1.04494369970336,0.118713204767588
"smd_pre","omit",0.35,-0.093216624317964,1.20514004426463,0.0336652328286902
"smd_pre","joint",0,-0.93453500398673,1.49081119375779,0.213738240832148
"smd_pre","joint",0.45,0.607350465642673,0.70260485881957,0.132456832780841
"smd_pre","overlap",0,-0.261722450086282,3.60804370631638,0.0601049578053446
"smd_pre","overlap",0.25,-0.467821983088053,1.66268983640949,0.114073354581414
"smd_pre","overlap",0.75,-0.303115261418369,1.80497227748089,0.0702530623134877
"smd_pre","overlap",1.25,-0.144730492821281,1.60868146921003,0.0247716730219757
"smd_pre","n_arm",150,0.212144716982031,0.977536839764645,0.0476248785083779
"smd_pre","n_arm",400,-0.84350247696136,1.24850874867486,0.190735188862485
"smd_pre","rho4",0,-0.359410166620348,1.19509977570322,0.0819072302351793
"smd_pre","rho4",0.5,-0.330422814482881,1.04545882346024,0.0746015960986854
"smd_pre","sd_target",1,-1.04252750405707,1.36694404609161,0.235396844848017
"smd_pre","sd_target",1.25,0.648333788305757,0.844682355882883,0.14256420395603
"maha","omit",0,-0.527973922419433,1.042216913193,0.118526068901661
"maha","omit",0.35,-0.09270817676764,1.20445837210256,0.0349666337952064
"maha","joint",0,-0.933713507989336,1.48435192936645,0.213593830641466
"maha","joint",0.45,0.607342217741445,0.704348862838868,0.132582879947629
"maha","overlap",0,-0.294568129762856,4.48906670108002,0.0674137690522954
"maha","overlap",0.25,-0.449899150787266,1.1341937535038,0.109625485201287
"maha","overlap",0.75,-0.29993201449549,1.46104233413507,0.0695551237445551
"maha","overlap",1.25,-0.16000265950718,1.18998064827626,0.0263349691779445
"maha","n_arm",150,0.233111734328459,0.995084946171037,0.0524676420722393
"maha","n_arm",400,-0.86042887875961,1.22808034869486,0.193939501793987
"maha","rho4",0,-0.358750367255705,1.19410922793932,0.081795695891676
"maha","rho4",0.5,-0.329492062625203,1.04276828032504,0.0745420855550952
"maha","sd_target",1,-1.04158030749094,1.36319363661373,0.235264071540756
"maha","sd_target",1.25,0.648517454877816,0.843948149025004,0.142714642011436
"smd_unmatched","omit",0,-0.526356225641139,0.772788115084394,0.13499201650313
"smd_unmatched","omit",0.35,-0.135966996430916,1.63406554846378,0.0765938341743953
"smd_unmatched","joint",0,-0.920803821536589,1.23489436845999,0.219721099737739
"smd_unmatched","joint",0.45,0.499260222073431,0.844865573726859,0.119088820402875
"smd_unmatched","overlap",0,-1.086466211613,8.11408644340689,0.262671235856416
"smd_unmatched","overlap",0.25,-0.821332352798509,0.237824162829618,0.201318441066336
"smd_unmatched","overlap",0.75,0.0673092611543049,0.0850976785814219,0.0972374700777058
"smd_unmatched","overlap",1.25,0.923379550030392,-0.00467123864183428,0.19064199036201
"smd_unmatched","n_arm",150,0.165679835232275,0.908661889022333,0.0425308744691931
"smd_unmatched","n_arm",400,-0.840666033910291,1.21470966779558,0.206674321079806
"smd_unmatched","rho4",0,-3.07155978266965,0.220610804478889,0.362438488238119
"smd_unmatched","rho4",0.5,0.296978637785981,6.14072650862817,0.0765661327974859
"smd_unmatched","sd_target",1,-1.01064051740803,1.35936581171446,0.241390521546582
"smd_unmatched","sd_target",1.25,0.534358349886445,0.764887956867841,0.12704819642139
"bias_hat","omit",0,-0.340793585359157,2.67784693243618,0.0903107044025536
"bias_hat","omit",0.35,-0.518451586019874,0.515122289971223,0.115641787707014
"bias_hat","joint",0,-0.908604064119606,1.33092094065291,0.218621277939433
"bias_hat","joint",0.45,0.48569314270629,1.19815701582507,0.117529132256707
"bias_hat","overlap",0,-1.15982716208889,6.7518840914687,0.280355116465479
"bias_hat","overlap",0.25,-0.875306324350287,1.10438662817533,0.21449037334237
"bias_hat","overlap",0.75,0.142815460424652,0.47152082874626,0.0528611372971758
"bias_hat","overlap",1.25,1.09654510698918,0.14155994550701,0.233073682706933
"bias_hat","n_arm",150,0.148738114748212,0.93542373216882,0.0395256361385365
"bias_hat","n_arm",400,-0.824380128696936,1.61393697111295,0.200374052483979
"bias_hat","rho4",0,-1.30459427089658,0.271978182965956,0.242116883100562
"bias_hat","rho4",0.5,-0.0262994784519695,5.94808988255589,0.0604386540798163
"bias_hat","sd_target",1,-1.00784264251952,1.84962673042484,0.243124869183799
"bias_hat","sd_target",1.25,0.534614841537131,0.765655094663319,0.129971579556926
"orc_cross","omit",0,-0.493252030398877,1.1891737754445,0.124943996229286
"orc_cross","omit",0.35,-0.0967006123762237,1.34171586428737,0.0343700711152958
"orc_cross","joint",0,-0.472822796549478,NA,NA
"orc_cross","joint",0.45,NA,NA,NA
"orc_cross","overlap",0,-1.2535603663582,2.18330077254239,0.299080907251625
"orc_cross","overlap",0.25,-0.934811377536514,2.10299724876673,0.226749755366427
"orc_cross","overlap",0.75,0.281242979613986,0.812651044984071,0.0676196203967969
"orc_cross","overlap",1.25,1.3965270730206,0.284461013843979,0.298224520899873
"orc_cross","n_arm",150,0.236933705025922,0.700022340997014,0.0659975086243473
"orc_cross","n_arm",400,-0.82979430741968,2.13803395521892,0.204455464028522
"orc_cross","rho4",0,-0.352561827911704,1.63898167420713,0.0919448021607569
"orc_cross","rho4",0.5,-0.30235500292456,1.00976930644464,0.0807582313087833
"orc_cross","sd_target",1,-0.989605084541761,2.59273867806139,0.240954360679253
