"stratum","ess","ess_pct","cv_w","max_w","smd_matched","smd_pre","maha","smd_unmatched","bias_hat","orc_cross","lambda_norm"
"well specified",0.946022048755846,0.924876242501145,0.924876242501145,0.939846241273729,0.586925816962924,0.897085746176349,0.89396223673251,0.737363493015621,0.724960870252032,0.50000000000002,0.86917780055384
"omitted modifier",0.837046053686561,0.862004132937415,0.862004132937415,0.840806975888291,0.600160862908518,0.859400310583302,0.859100190278436,0.946045114196984,0.937835012988465,0.499999999999984,0.850348072339086
"cross-moment",0.63662930865428,0.64242320645292,0.64242320645292,0.643371202984857,0.529292951396616,0.616632177927103,0.618394227315744,0.572611060310811,0.565588363240985,0.648042759999071,0.629911261433365
"both",0.658145911973151,0.678851797533107,0.678851797533107,0.66403765697825,0.541382389265575,0.68117654906455,0.682812430224496,0.754581356040252,0.746177970545773,0.625537896588922,0.680596756062884
