"stratum","rule","sensitivity","sens_mcse","specificity","spec_mcse","prevalence","fires"
"well specified","ess",0.325795240699182,0.00119262134523307,0.923133633428815,0.00094714280696746,0.49337512570507,0.199681681135707
"well specified","ess30",0.291397801360681,0.0011486022267402,0.93367807520899,0.000892366051849911,0.49337512570507,0.17736876368675
"well specified","ess_pct",0.741908477209857,0.00137448401626849,0.622625370376839,0.00139109436065109,0.49337512570507,0.5572265625
"well specified","cv_w",0.741908477209857,0.00137448401626849,0.622625370376839,0.00139109436065109,0.49337512570507,0.5572265625
"well specified","max_w",0.350301032519757,0.00133575919331164,0.918501272036539,0.000983474754914035,0.49337512570507,0.214119098763736
"well specified","smd_matched",0,0,1,0,0.49337512570507,0
"well specified","smd_pre",0.822301793438187,0.00119980795091154,0.408031189324627,0.0013394286437138,0.49337512570507,0.705609375
"well specified","maha",0.656400518251223,0.00137912396969583,0.692049271145526,0.00132747608204932,0.49337512570507,0.4798671875
"well specified","smd_unmatched",0.559364357460586,0.00159037846690994,0.609766537277268,0.00132028451330604,0.49337512570507,0.473678439174632
"well specified","bias_hat",0.0994660320095533,0.00107963688071876,0.962311070973112,0.000719090985889241,0.49337512570507,0.0681682149766554
"omitted modifier","ess",0.309476694706725,0.00107962309153982,0.926301992212868,0.000988999744114713,0.538929682172782,0.200766140591824
"omitted modifier","ess30",0.276619610454826,0.00104086377695936,0.936667472720117,0.000928687897173574,0.538929682172782,0.178279267226915
"omitted modifier","ess_pct",0.734949187760261,0.00129520479215341,0.653557441997216,0.0015222512346017,0.538929682172782,0.5558203125
"omitted modifier","cv_w",0.734949187760261,0.00129520479215341,0.653557441997216,0.0015222512346017,0.538929682172782,0.5558203125
"omitted modifier","max_w",0.332213296797155,0.0012232707531647,0.920443373089792,0.00103211158754231,0.538929682172782,0.215720805711214
"omitted modifier","smd_matched",0,0,1,0,0.538929682172782,0
"omitted modifier","smd_pre",0.823130334711384,0.00112878857409684,0.431231674025282,0.00146341320408515,0.538929682172782,0.7058515625
"omitted modifier","maha",0.651928732624789,0.00129459081098237,0.721300633853918,0.00143815409561301,0.538929682172782,0.47984375
"omitted modifier","smd_unmatched",0.571256456913767,0.00147834300469335,0.638713056288292,0.00144586543369369,0.538929682172782,0.474445746727667
"omitted modifier","bias_hat",0.393189925761597,0.00124399695927563,0.80718392144097,0.00139557566240062,0.538929682172782,0.300803492347647
"cross-moment","ess",0.265323840782898,0.00089383264687414,0.917809686499092,0.00119437946118228,0.639594016439327,0.199321421759897
"cross-moment","ess30",0.237459214148111,0.000861200531479538,0.928640837700137,0.00112602957309298,0.639594016439327,0.177595761592265
"cross-moment","ess_pct",0.648800654436222,0.001162871831979,0.607474653547595,0.00187787706041195,0.639594016439327,0.5564375
"cross-moment","cv_w",0.648800654436222,0.001162871831979,0.607474653547595,0.00187787706041195,0.639594016439327,0.5564375
"cross-moment","max_w",0.285350816590515,0.00102711554722143,0.912978688332067,0.00123524790338441,0.639594016439327,0.213871676299791
"cross-moment","smd_matched",0,0,1,0,0.639594016439327,0
"cross-moment","smd_pre",0.767137440044941,0.00107187594100163,0.402584187328216,0.00183411289321689,0.639594016439327,0.70596875
"cross-moment","maha",0.569722170741874,0.00111815057844065,0.682823707777235,0.0017875541614117,0.639594016439327,0.478703125
"cross-moment","smd_unmatched",0.520368418921322,0.00130181790793535,0.607953330000842,0.00184149485085662,0.639594016439327,0.474120492788804
"cross-moment","bias_hat",0.0914291705007133,0.000893845962454645,0.956561040652057,0.000922632278581572,0.639594016439327,0.0741332112489147
"both","ess",0.251296915910012,0.000814491117257201,0.915093059860121,0.0013176314534757,0.688297629193704,0.19943276598406
"both","ess30",0.2241389249431,0.000785527159754648,0.92676566653709,0.00124001519211312,0.688297629193704,0.177101606013169
"both","ess_pct",0.641574931343296,0.00107009260062868,0.63251443834067,0.00206907879854392,0.688297629193704,0.556140625
"both","cv_w",0.641574931343296,0.00107009260062868,0.63251443834067,0.00206907879854392,0.688297629193704,0.556140625
"both","max_w",0.269426378576677,0.000943972749992286,0.909378187148621,0.00136466829607102,0.688297629193704,0.213692571529111
"both","smd_matched",0,0,1,0,0.688297629193704,0
"both","smd_pre",0.770981613456003,0.00101996200361764,0.439521841446426,0.0020354542939187,0.688297629193704,0.7053671875
"both","maha",0.563869629550155,0.00102090055925189,0.706778992184521,0.00195202603067719,0.688297629193704,0.4795078125
"both","smd_unmatched",0.543033097711532,0.00120138927451578,0.680921963555257,0.00202462344268379,0.688297629193704,0.473225774160605
"both","bias_hat",0.357645304104137,0.00102258010924162,0.827117170464308,0.00173079493920837,0.688297629193704,0.300054402745115
