"diagnostic","auc_deploy","auc_mcse","auc_equal","auprc_deploy","auc_transport","auc_noise","auc_noncover","auc_10","auc_30"
"ess",0.730857759885073,0.000782244611815482,0.721406667692786,0.707304222928561,0.653197304286066,0.84706698556022,0.629816670432449,0.682632081335257,0.779452222104737
"ess_pct",0.722644267327695,0.000793594982705594,0.717243261027277,0.698121599538255,0.666808315654076,0.813267053548817,0.643687603585989,0.674756088495386,0.770487142311888
"cv_w",0.722644267327695,0.000793594982705594,0.717243261027277,0.698121599538255,0.666808315654076,0.813267053548817,0.643687603585989,0.674756088495386,0.770487142311888
"max_w",0.740626632131873,0.000757452188421094,0.729027461305342,0.716177707727796,0.659578428061376,0.83331243574785,0.645281187251519,0.69003089762375,0.79050685412705
"smd_matched",0.549549092007697,0.000915199163688753,0.556634269463344,0.508978314913277,0.537867996637422,0.571173155734757,0.544427089422354,0.536983895303903,0.563906895474636
"smd_pre",0.683464161549085,0.000838147766620603,0.690480557964772,0.670569769547407,0.655293314681152,0.799215119044588,0.630379721989413,0.641400764327931,0.727864697971766
"maha",0.681729012774667,0.000854400767634497,0.689524314104067,0.668692022990639,0.656149403637086,0.795999040691904,0.631183040320176,0.639794160719798,0.725767368778675
"smd_unmatched",0.605542486174873,0.000853315070012472,0.62335556149636,0.591532031459699,0.665132683148142,0.662650986197619,0.592296144393636,0.582627144865026,0.628895755631941
"bias_hat",0.6041712281585,0.000882266776185201,0.618938616283378,0.590618398887186,0.684270743678505,0.643237623633463,0.587062304737515,0.582427677767425,0.625426170982994
"orc_cross",0.580606134646549,0.000693383142546345,0.585998855645711,0.55098460094337,0.808934596691806,0.505309485888167,0.589735039879841,0.576855374699963,0.576411260783276
"lambda_norm",0.698253628115086,0.000865530148919845,0.694562900677167,0.664466131629088,0.659543617859513,0.795527719866886,0.621609315097323,0.65657981226178,0.739207216375854
