"n_studies","spread","tau_re","contraction_A","contraction_C","gap","post_sd_A","post_sd_C","sd_ratio_C_over_A","post_sd_contrast","data_only_se_contrast","p_no_tighter_than_prior"
6,0.25,0,0.904943157094092,0.346809195104904,0.558133961989188,0.237642107264769,1.63297701223774,6.87158109744565,1.63533119369528,1.82256588986663,0.005
6,0.25,0.15,0.905907446954444,0.386242612968584,0.51966483398586,0.23523138261389,1.53439346757854,6.52291140122703,1.52622858059179,1.69179647378759,0.005
6,0.6,0,0.9141436743616,0.679616942034147,0.234526732327453,0.214640814096001,0.800957644914633,3.731618556741,0.578134957519896,0.586023134344881,0
6,0.6,0.15,0.914571161324556,0.732056406694558,0.182514754629998,0.213572096688611,0.669858983263606,3.13645365499344,0.479145061019576,0.483607115514139,0
12,0.25,0,0.909948692141571,0.646046470590611,0.263902221550959,0.225128269646074,0.884883823523471,3.9305762217895,0.777137924439617,0.796621004721038,0
12,0.25,0.15,0.910137099761276,0.665333084422426,0.244804015338851,0.224657250596809,0.836667288943936,3.72419446388356,0.766220855350107,0.784874949409447,0
12,0.6,0,0.926307708435382,0.868547247825923,0.0577604606094593,0.184230728911544,0.328631880435192,1.78380600444229,0.320180068422388,0.321501135605842,0
12,0.6,0.15,0.927507725424462,0.880287070318137,0.0472206551063257,0.181230686438844,0.299282324204659,1.65138879118935,0.300343643475424,0.301433260064588,0
