"strategy","shift","bias","rmse","p_material","reversal"
"always_common",0,0.000811922696457739,0.0422125161946016,0.437915000000003,0.4528
"always_common",0.5,0.0310589725584827,0.062356523030158,0.581600000000004,0.4528
"always_common",1,0.0610613635270863,0.0995026558648563,0.699812500000004,0.4518375
"always_common",1.5,0.0901393608977674,0.139276883636017,0.749487500000004,0.450279166666666
"always_relaxed",0,0.00246031079943652,0.0513682256099782,0.496505000000003,0.465224999999999
"always_relaxed",0.5,0.0235977771690006,0.0757985246554213,0.687532500000003,0.367216666666666
"always_relaxed",1,0.0449892187950261,0.121761376605716,0.801080000000002,0.357129166666666
"always_relaxed",1.5,0.0648219757704628,0.16549319471095,0.86014,0.359991666666666
"check_then_relax",0,0.00137456086515951,0.0425760329716257,0.432920000000003,0.450304166666666
"check_then_relax",0.5,0.0220563735359155,0.059932789481377,0.570262500000004,0.391612499999999
"check_then_relax",1,0.0430343797957706,0.0928034457954535,0.687402500000003,0.385133333333333
"check_then_relax",1.5,0.063986735472712,0.127345443362227,0.736137500000004,0.383683333333333
