"shift","subset","comparison","n","mean_abs_error_diff","se","lo","hi","mean_sq_error_diff","se_sq","lo_sq","hi_sq","w_abs_diff","w_abs_lo","w_abs_hi","w_sq_diff","w_sq_lo","w_sq_hi"
0,"tau_re = 0","check_then_relax minus always_common",800,-0.00124975393582591,0.000468176577153226,-0.00216736317268946,-0.000332144698962366,-0.00014592883948423,5.67085539518784e-05,-0.000257075563721969,-3.47821152464902e-05,-0.000581558880362156,-0.00103941250348397,-0.000123705257240338,-6.57880906658542e-05,-0.000119748560797646,-1.1827620534062e-05
0,"tau_re = 0","check_then_relax minus always_relaxed",800,-0.00273466519671161,0.00083494360615313,-0.00437112460680192,-0.00109820578662129,-0.000404303981190435,0.000121242189159509,-0.000641934307224263,-0.000166673655156608,-0.0043483538553222,-0.00612071765982679,-0.00257599005081761,-0.000591536307576067,-0.000844440474090269,-0.000338632141061866
0.5,"tau_re = 0","check_then_relax minus always_common",800,-0.00791119740492379,0.00107239893001924,-0.0100130607014,-0.00580933410844757,-0.00125197190871834,0.000185386240904691,-0.00161532226698686,-0.000888621550449817,-0.00279122352984177,-0.00378393682093929,-0.00179851023874425,-0.000437175421332331,-0.000604419819356457,-0.000269931023308205
0.5,"tau_re = 0","check_then_relax minus always_relaxed",800,-0.00509376229803033,0.0015978782177601,-0.00822554608122429,-0.00196197851483637,-0.000842068895427118,0.000286067975070324,-0.00140275182811785,-0.000281385962736385,-0.0123344599705256,-0.0154888016756378,-0.00918011826541349,-0.00191001536701147,-0.00245066214671266,-0.00136936858731028
1,"tau_re = 0","check_then_relax minus always_common",800,-0.0178212001821926,0.00198401206013325,-0.0217097923956196,-0.0139326079687656,-0.00473218830845332,0.000545139781408383,-0.00580064265498162,-0.00366373396192502,-0.00646937491088841,-0.00811848484364045,-0.00482026497813636,-0.00170503417959491,-0.00213920081450905,-0.00127086754468076
1,"tau_re = 0","check_then_relax minus always_relaxed",800,-0.00692750594935192,0.00283711795706338,-0.0124881550089497,-0.00136685688975416,-0.00133832760770787,0.000776909921364948,-0.002861043084826,0.000184387869410258,-0.0243574606856316,-0.029308485465736,-0.0194064359055271,-0.00517379256328799,-0.00646607380431457,-0.00388151132226141
1.5,"tau_re = 0","check_then_relax minus always_common",800,-0.0277408895951668,0.00289820124917086,-0.0334212597082967,-0.0220605194820369,-0.0103997594708606,0.00110145530981711,-0.012558572225711,-0.00824094671601025,-0.0103667596355225,-0.0126082731486015,-0.00812524612244346,-0.00383878539848573,-0.00463018353841663,-0.00304738725855484
1.5,"tau_re = 0","check_then_relax minus always_relaxed",800,-0.00661159604975079,0.00402371720709955,-0.0144979369218465,0.00127474482234487,-0.000668947389427697,0.00149257967545097,-0.00359434982044328,0.00225645504158789,-0.0333769943111751,-0.0400216667691493,-0.0267323218532009,-0.00878289981927207,-0.011107855485637,-0.00645794415290716
