"cell","rep","ddic.64","diff_mean.64","diff_sd.64","post_flag.64","ddic.256","diff_mean.256","diff_sd.256","post_flag.256","ddic_shift","flag_changed","dic5_changed"
13,1,0.421355584335288,-0.476020862774055,0.512431561069149,0,0.301945499459748,-0.464989053267687,0.487461534660662,0,-0.11941008487554,FALSE,FALSE
15,1,0.411631136960295,0.360158684412434,0.293853290350497,0,0.0190870030254473,0.355764367162708,0.286854462278268,0,-0.392544133934848,FALSE,FALSE
13,2,1.78856668400567,-0.0584312664432538,0.366334378662184,0,2.00577494859112,-0.0723188165386268,0.376392137123298,0,0.217208264585452,FALSE,FALSE
15,2,0.467646325607689,0.0294832701361598,0.395405580565194,0,0.987766580386278,0.037043249824832,0.407924275314297,0,0.52012025477859,FALSE,FALSE
13,3,2.58284506018242,-0.149709578927919,0.302461647413313,0,2.88690893407795,-0.122121442757437,0.295922191220362,0,0.304063873895529,FALSE,FALSE
15,3,-3.05534943745647,0.648558599007035,0.291126052744787,1,-4.34192640077424,0.655343583089883,0.285832913297006,1,-1.28657696331777,FALSE,FALSE
13,4,1.10658212679607,0.15780689066473,0.333447332961642,0,2.10512744821528,0.12991264069301,0.347968019805813,0,0.998545321419215,FALSE,FALSE
15,4,-1.29302625745049,0.364396535826431,0.256094903248788,0,-1.62604041201894,0.390672665107516,0.267750903286455,0,-0.333014154568446,FALSE,FALSE
13,5,3.08621216126073,-0.13049174177847,0.352098904705252,0,3.07007431527313,-0.155984886117474,0.351543305843314,0,-0.0161378459876005,FALSE,FALSE
15,5,-4.8965702753294,0.592868597596926,0.227460077845876,1,-5.81886437702724,0.596235839564471,0.221465089794549,1,-0.922294101697844,FALSE,TRUE
13,6,2.03842200281315,-0.192635454859919,0.637304695374648,0,0.166517949536228,-0.212625540198484,0.645868193776923,0,-1.87190405327692,FALSE,FALSE
15,6,-0.291359447840591,0.30652288001961,0.405477004349954,0,1.28463373038142,0.295759061506906,0.409003871350163,0,1.57599317822201,FALSE,FALSE
13,7,0.634357772440239,0.257316496470332,0.266683537040685,0,0.415533207225167,0.263951889053879,0.261684453265794,0,-0.218824565215073,FALSE,FALSE
15,7,0.859463639685259,0.475116812766486,0.376278553040043,0,0.0181767190012465,0.502872867727811,0.379368735474503,0,-0.841286920684013,FALSE,FALSE
13,8,-4.10412993340901,0.565958595245176,0.239777103246635,1,-4.11672168120322,0.563726331431146,0.247359281501698,1,-0.0125917477942039,FALSE,FALSE
15,8,-5.30897816051288,0.535185883042506,0.210763884741213,1,-5.51917525133683,0.526806273950933,0.216093783093952,1,-0.210197090823954,FALSE,FALSE
13,9,3.06549684711183,-0.0345877426461405,0.266361487184027,0,2.84116227893094,-0.0206285995201262,0.250568981096874,0,-0.224334568180893,FALSE,FALSE
15,9,0.244823036827597,0.938427099487507,0.719439377594726,0,0.296753766440588,0.911009786985631,0.735576557697735,0,0.0519307296129909,FALSE,FALSE
13,10,2.3605739497965,-0.0845968698732937,0.300734021358559,0,2.90291964567439,-0.0774545702913992,0.27724915166875,0,0.542345695877884,FALSE,FALSE
15,10,0.816898866604788,0.275468686821031,0.23471761835538,0,0.771434333324692,0.277690895555103,0.241221542004643,0,-0.0454645332800965,FALSE,FALSE
13,11,1.05142684048201,-0.696018244746974,0.456885197800699,0,0.701282008425778,-0.693401155612165,0.42685223443709,0,-0.35014483205623,FALSE,FALSE
15,11,-2.90720645827173,0.540941375125541,0.364669876131756,0,-0.828141547720634,0.550707262325679,0.377838665129166,0,2.0790649105511,FALSE,FALSE
13,12,0.978307555863239,-2.26414677767207,1.48330547102829,0,1.15291722416976,-2.36386368333523,1.5275302888415,1,0.174609668306516,TRUE,FALSE
15,12,-4.80704584428202,0.783215426946003,0.345837259277473,1,-5.14107712278212,0.795374083635304,0.316993681764479,1,-0.334031278500106,FALSE,TRUE
