"drift","score","auc","se","n_pos","n_neg","lo","hi"
0.3,"negddic",0.55655625,0.02026527992821,400,400,0.516837030890786,0.596275469109214
0.3,"pdir",0.506765625,0.0204228843968889,400,400,0.466737506805936,0.546793743194064
0.6,"negddic",0.68114375,0.0187548224728756,400,400,0.644384973126773,0.717902526873227
0.6,"pdir",0.6144125,0.0197669797956931,400,400,0.575669931211714,0.653155068788286
1.2,"negddic",0.8427375,0.0140316555409831,400,400,0.815235960279273,0.870239039720727
1.2,"pdir",0.784175,0.0161702681053367,400,400,0.752481856643192,0.815868143356808
