"shift","n","risk_deployed","risk_sys_deployed"
0,1337,0.429768644777311,0
0.5,1337,0.560096266761723,0.564345930353048
1,1337,0.6758042723211,0.564345930353048
1.5,1337,0.725111975043591,0.564345930353048
