"strategy","shift","drift","n_studies","spread","tau_re","bias","rmse","p_material","reversal","n"
"always_common",0.5,1.2,6,0.25,0.15,0.100867455538212,0.112242289894128,0.9,0.42,50
"always_common",0.5,1.2,6,0.6,0,0.105762726203109,0.127726834293377,0.88,0.42,50
"always_common",0.5,1.2,6,0.6,0.15,0.107811902122805,0.133322405752121,0.92,0.48,50
"always_common",0.5,1.2,12,0.25,0,0.118358912300132,0.124328361184514,1,0.46,50
"always_common",0.5,1.2,12,0.25,0.15,0.112788287334768,0.119764401835991,1,0.32,50
"always_common",0.5,1.2,12,0.6,0,0.0994328354338083,0.110451425712155,0.88,0.38,50
"always_common",0.5,1.2,12,0.6,0.15,0.117947898614497,0.130910542292138,0.94,0.42,50
"always_common",1,0,6,0.25,0,-0.00876599812272652,0.0446113736858505,0.46,NA,50
"always_common",1,0,6,0.25,0.15,0.0066766048654621,0.046503759973409,0.58,NA,50
"always_common",1,0,6,0.6,0,0.00166225006729663,0.0461116404452556,0.52,NA,50
"always_common",1,0,6,0.6,0.15,0.00268467693313658,0.0493983194003726,0.58,NA,50
"always_common",1,0,12,0.25,0,0.00177652538641008,0.0288182062216476,0.3,NA,50
"always_common",1,0,12,0.25,0.15,-0.00152146299424907,0.0261704730717056,0.24,NA,50
"always_common",1,0,12,0.6,0,-0.00380314519785648,0.031367889823358,0.36,NA,50
"always_common",1,0,12,0.6,0.15,0.00248705998944596,0.0303322677051167,0.34,NA,50
"always_common",1,0.3,6,0.25,0,0.0507063041097181,0.061875987187976,0.72,0.42,50
"always_common",1,0.3,6,0.25,0.15,0.053448943462429,0.0664865615270499,0.76,0.48,50
"always_common",1,0.3,6,0.6,0,0.0605142663001349,0.0719908456948296,0.78,0.58,50
"always_common",1,0.3,6,0.6,0.15,0.0538593988851037,0.071488660834429,0.72,0.44,50
"always_common",1,0.3,12,0.25,0,0.053750717563036,0.0596259065834438,0.82,0.44,50
"always_common",1,0.3,12,0.25,0.15,0.0521993015015738,0.060751946044569,0.7,0.42,50
"always_common",1,0.3,12,0.6,0,0.0548253841532512,0.0622683177843037,0.84,0.42,50
"always_common",1,0.3,12,0.6,0.15,0.0551881048641185,0.0632490800797492,0.8,0.46,50
"always_common",1,0.6,6,0.25,0,0.110597293893354,0.118116292880246,0.98,0.38,50
"always_common",1,0.6,6,0.25,0.15,0.110539081313979,0.120037465835086,0.98,0.32,50
"always_common",1,0.6,6,0.6,0,0.108955541758401,0.120067486799461,0.94,0.48,50
"always_common",1,0.6,6,0.6,0.15,0.118256390162129,0.131953263816536,0.98,0.58,50
"always_common",1,0.6,12,0.25,0,0.113962119114983,0.117448452035147,1,0.48,50
"always_common",1,0.6,12,0.25,0.15,0.112763522904658,0.118016257747628,1,0.44,50
"always_common",1,0.6,12,0.6,0,0.110723588492,0.116929802303171,0.98,0.42,50
