"shift","n","passed_rate","oracle_rate","excess_over_oracle"
0,1307,0.426933669341771,0.44618650159407,-0.0192528322522996
0.5,1307,0.559290548635252,0.572809814152387,-0.0135192655171346
1,1307,0.67503023230248,0.63853441690416,0.0364958153983195
1.5,1307,0.722914253015483,0.662060645012168,0.0608536080033153
