"shift","subset","comparison","n","mean_abs_error_diff","se","lo","hi","mean_sq_error_diff","se_sq","lo_sq","hi_sq","w_abs_diff","w_abs_lo","w_abs_hi","w_sq_diff","w_sq_lo","w_sq_hi"
0,"converged only","check_then_relax minus always_common",1479,-0.000964794082355395,0.000414358813487366,-0.00177692243987335,-0.000152665724837444,-8.87126162704939e-05,7.77769380947402e-05,-0.000241152614966413,6.37273824254255e-05,-7.65904965587706e-05,-0.000754124307209439,0.000600943314091898,2.84434839919953e-05,-0.00012565120340092,0.000182538171384911
0,"converged only","check_then_relax minus always_relaxed",1479,-0.00334057636117208,0.000622625638521901,-0.00456090019815202,-0.00212025252419214,-0.000532513897456902,0.00011797507319881,-0.000763740793823934,-0.00030128700108987,-0.00503768188469244,-0.0066764064252459,-0.00339895734413898,-0.00081807658958339,-0.00121583881509522,-0.000420314364071556
0.5,"converged only","check_then_relax minus always_common",1479,-0.00775188074278987,0.000911502789959601,-0.00953839339701025,-0.00596536808856949,-0.00125496605363989,0.000174773557361952,-0.00159751593422125,-0.000912416173058532,-0.00186817006792552,-0.00305182623441212,-0.000684513901438922,-0.000268659854725362,-0.000506430522243087,-3.08891872076361e-05
0.5,"converged only","check_then_relax minus always_relaxed",1479,-0.00685929581529959,0.00119297976141124,-0.00919749320039421,-0.00452109843020498,-0.00100432163346828,0.000226530166362857,-0.0014483126044535,-0.000560330662483074,-0.0143856229456163,-0.0169869721241103,-0.0117842737671223,-0.00212657695872208,-0.00266452562698501,-0.00158862829045915
1,"converged only","check_then_relax minus always_common",1479,-0.0174262427524742,0.00160660788131158,-0.0205751363619611,-0.0142773491429872,-0.0046417549688021,0.000471763765669593,-0.00556639496601894,-0.00371711497158527,-0.00498369262500691,-0.00691060882382796,-0.00305677642618586,-0.00121014692250421,-0.00182844061999198,-0.000591853225016434
1,"converged only","check_then_relax minus always_relaxed",1479,-0.0116416485187504,0.00211054238963374,-0.0157782356229065,-0.00750506141459426,-0.0024059673942962,0.00057944088180232,-0.00354165066275701,-0.0012702841258354,-0.0295082308547727,-0.0336689843147071,-0.0253474773948382,-0.00637018303202196,-0.00743669589199359,-0.00530367017205033
1.5,"converged only","check_then_relax minus always_common",1479,-0.0273999403327535,0.00228785702568714,-0.0318840577402473,-0.0229158229252596,-0.0103162731795453,0.000909980653236791,-0.0120998025005859,-0.00853274385850475,-0.00867719304273562,-0.0112453073790599,-0.00610907870641138,-0.00304972505998718,-0.00412794380094393,-0.00197150631903043
1.5,"converged only","check_then_relax minus always_relaxed",1479,-0.0145276351877676,0.002972844941182,-0.0203543042500664,-0.00870096612546874,-0.00324257395927299,0.0010960187618388,-0.00539073127580161,-0.00109441664274438,-0.0421974649038371,-0.0477026479704697,-0.0366922818372045,-0.011641483951938,-0.0134878478976793,-0.00979512000619668
