"shift","risk_deployed","floor","excess","risk_sys_deployed"
0,0.426933669341771,0.426933669341771,0,0
0.5,0.559290548635252,0.426933669341771,0.132356879293482,0.563448371120193
1,0.67503023230248,0.426933669341771,0.248096562960709,0.563448371120193
1.5,0.722914253015483,0.426933669341771,0.295980583673712,0.563448371120193
