"threshold","distrust_all","distrust_none","dic2","dic5","dic10","posterior","margin"
0.05,0.684013157894741,0,0.182326315789475,0.100509605263158,0.0410375000000003,0.207122763157896,0.367143026315792
0.1,0.666458333333337,0,0.179747222222224,0.0998091666666672,0.0410375000000003,0.203453611111113,0.359821388888891
0.15,0.646838235294122,0,0.176864705882354,0.0990263235294123,0.0410375000000003,0.199352794117649,0.351638382352943
0.2,0.624765625000005,0,0.173621875000001,0.0981456250000006,0.0410375000000003,0.194739375000001,0.342432500000002
0.25,0.599750000000005,0,0.169946666666668,0.0971475000000006,0.0410375000000003,0.189510833333335,0.331999166666669
0.3,0.57116071428572,0,0.16574642857143,0.0960067857142863,0.0410375000000003,0.183535357142859,0.320075357142859
0.35,0.538173076923083,0,0.160900000000001,0.0946905769230775,0.0410375000000003,0.176640576923078,0.306317115384617
0.4,0.499687500000006,0,0.155245833333334,0.0931550000000005,0.0410375000000003,0.168596666666668,0.290265833333335
0.45,0.454204545454552,0,0.148563636363637,0.0913402272727278,0.0410375000000003,0.159090227272729,0.271296136363638
0.5,0.399625000000007,0,0.140545000000001,0.0891625000000005,0.0410375000000003,0.147682500000001,0.248532500000001
0.55,0.332916666666675,0,0.130744444444445,0.0865008333333338,0.0410375000000003,0.133739722222223,0.220710277777779
0.6,0.249531250000009,0,0.118493750000001,0.0831737500000005,0.0410375000000003,0.116311250000001,0.185932500000001
