"rule","shift","all_clean","n","risk_deployed","risk_sys_deployed"
"flag_dic10",0,FALSE,110,0.530133297875877,0
"flag_dic10",0,TRUE,1353,0.425397876108201,0
"flag_dic10",0.5,FALSE,110,0.650001662068278,0.516803510288203
"flag_dic10",0.5,TRUE,1353,0.561852549631972,0.588505864181821
"flag_dic10",1,FALSE,110,0.738024798058705,0.516803510288203
"flag_dic10",1,TRUE,1353,0.682621314730897,0.588505864181821
"flag_dic10",1.5,FALSE,110,0.785892364458332,0.516803510288203
"flag_dic10",1.5,TRUE,1353,0.734756804770558,0.588505864181821
"flag_dic2",0,FALSE,79,0.494616709732989,0
"flag_dic2",0,TRUE,1028,0.423152692091982,0
"flag_dic2",0.5,FALSE,79,0.628380706287683,0.480792420327304
"flag_dic2",0.5,TRUE,1028,0.548061553561416,0.552972518227709
"flag_dic2",1,FALSE,79,0.691602067183463,0.480792420327304
"flag_dic2",1,TRUE,1028,0.666036876051601,0.552972518227709
"flag_dic2",1.5,FALSE,79,0.753617571059432,0.480792420327304
"flag_dic2",1.5,TRUE,1028,0.71267176107684,0.552972518227709
"flag_dic5",0,FALSE,100,0.52120886981402,0
"flag_dic5",0,TRUE,1207,0.418867601203211,0
"flag_dic5",0.5,FALSE,100,0.655507868383405,0.517310443490701
"flag_dic5",0.5,TRUE,1207,0.551058315202594,0.567395874452639
"flag_dic5",1,FALSE,100,0.734871244635193,0.517310443490701
"flag_dic5",1,TRUE,1207,0.669910310196367,0.567395874452639
"flag_dic5",1.5,FALSE,100,0.78637339055794,0.517310443490701
"flag_dic5",1.5,TRUE,1207,0.717484768645599,0.567395874452639
"flag_margin",0,FALSE,42,0.499181810352252,0
"flag_margin",0,TRUE,672,0.401348402677739,0
"flag_margin",0.5,FALSE,42,0.591680303160796,0.479459133580226
"flag_margin",0.5,TRUE,672,0.53816943479366,0.539488178967883
"flag_margin",1,FALSE,42,0.648006201016277,0.479459133580226
"flag_margin",1,TRUE,672,0.650940598254384,0.539488178967883
"flag_margin",1.5,FALSE,42,0.721901644991818,0.479459133580226
"flag_margin",1.5,TRUE,672,0.69943225150411,0.539488178967883
"flag_post",0,FALSE,79,0.523717948717949,0
"flag_post",0,TRUE,980,0.41258654935979,0
"flag_post",0.5,FALSE,79,0.658974358974359,0.496068376068376
"flag_post",0.5,TRUE,980,0.553018145907917,0.566428387067819
"flag_post",1,FALSE,79,0.718418803418804,0.496068376068376
"flag_post",1,TRUE,980,0.669367418163868,0.566428387067819
"flag_post",1.5,FALSE,79,0.779957264957265,0.496068376068376
"flag_post",1.5,TRUE,980,0.715766478511824,0.566428387067819
