"rule","xvar","drift","n_studies","spread","tau_re","n","k","rate","lo","hi"
"flag_dic2","x1",0,12,0.6,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic2","x1",0.3,6,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic2","x1",0.3,6,0.25,0.15,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_dic2","x1",0.3,6,0.6,0,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic2","x1",0.3,6,0.6,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_dic2","x1",0.3,12,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic2","x1",0.3,12,0.25,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic2","x1",0.3,12,0.6,0,50,11,0.22,0.127539159145196,0.352415496954828
"flag_dic2","x1",0.3,12,0.6,0.15,50,10,0.2,0.112437499642348,0.33037106046482
"flag_dic2","x1",0.6,6,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic2","x1",0.6,6,0.25,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic2","x1",0.6,6,0.6,0,50,13,0.26,0.158715274300896,0.395531573784839
"flag_dic2","x1",0.6,6,0.6,0.15,50,18,0.36,0.241387495717105,0.498589832332907
"flag_dic2","x1",0.6,12,0.25,0,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_dic2","x1",0.6,12,0.25,0.15,50,14,0.28,0.174741705988143,0.416651238090447
"flag_dic2","x1",0.6,12,0.6,0,50,21,0.42,0.293750032662329,0.557665583366249
"flag_dic2","x1",0.6,12,0.6,0.15,50,20,0.4,0.276083896444286,0.538185623591437
"flag_dic2","x1",1.2,6,0.25,0,50,10,0.2,0.112437499642348,0.33037106046482
"flag_dic2","x1",1.2,6,0.25,0.15,50,14,0.28,0.174741705988143,0.416651238090447
"flag_dic2","x1",1.2,6,0.6,0,50,33,0.66,0.521538259396947,0.775630508545896
"flag_dic2","x1",1.2,6,0.6,0.15,50,29,0.58,0.442334416633751,0.706249967337671
"flag_dic2","x1",1.2,12,0.25,0,50,29,0.58,0.442334416633751,0.706249967337671
"flag_dic2","x1",1.2,12,0.25,0.15,50,27,0.54,0.403988712973927,0.670303479011784
"flag_dic2","x1",1.2,12,0.6,0,50,46,0.92,0.811617529719276,0.968450486130689
"flag_dic2","x1",1.2,12,0.6,0.15,50,46,0.92,0.811617529719276,0.968450486130689
"flag_dic2","x2",0,6,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic2","x2",0,6,0.25,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic2","x2",0,6,0.6,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic2","x2",0,6,0.6,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic2","x2",0,12,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic2","x2",0,12,0.25,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic2","x2",0,12,0.6,0,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_dic2","x2",0,12,0.6,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic2","x2",0.3,6,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic2","x2",0.3,6,0.25,0.15,50,8,0.16,0.083374206354009,0.285142161767449
"flag_dic2","x2",0.3,6,0.6,0,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic2","x2",0.3,6,0.6,0.15,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_dic2","x2",0.3,12,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic2","x2",0.3,12,0.25,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_dic2","x2",0.3,12,0.6,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic2","x2",0.3,12,0.6,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic2","x2",0.6,6,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic2","x2",0.6,6,0.25,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_dic2","x2",0.6,6,0.6,0,50,8,0.16,0.083374206354009,0.285142161767449
"flag_dic2","x2",0.6,6,0.6,0.15,50,14,0.28,0.174741705988143,0.416651238090447
"flag_dic2","x2",0.6,12,0.25,0,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_dic2","x2",0.6,12,0.25,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_dic2","x2",0.6,12,0.6,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic2","x2",0.6,12,0.6,0.15,50,11,0.22,0.127539159145196,0.352415496954828
"flag_dic2","x2",1.2,6,0.25,0,50,11,0.22,0.127539159145196,0.352415496954828
"flag_dic2","x2",1.2,6,0.25,0.15,50,21,0.42,0.293750032662329,0.557665583366249
"flag_dic2","x2",1.2,6,0.6,0,50,24,0.48,0.347971351908999,0.614882552098145
"flag_dic2","x2",1.2,6,0.6,0.15,50,19,0.38,0.258627892271457,0.51849553177141
"flag_dic2","x2",1.2,12,0.25,0,50,14,0.28,0.174741705988143,0.416651238090447
"flag_dic2","x2",1.2,12,0.25,0.15,50,14,0.28,0.174741705988143,0.416651238090447
"flag_dic2","x2",1.2,12,0.6,0,50,21,0.42,0.293750032662329,0.557665583366249
"flag_dic2","x2",1.2,12,0.6,0.15,50,24,0.48,0.347971351908999,0.614882552098145
"flag_dic5","x1",0,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic5","x1",0,6,0.25,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x1",0,6,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic5","x1",0,6,0.6,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x1",0,12,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x1",0,12,0.25,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x1",0,12,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic5","x1",0,12,0.6,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x1",0.3,6,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x1",0.3,6,0.25,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x1",0.3,6,0.6,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic5","x1",0.3,6,0.6,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x1",0.3,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic5","x1",0.3,12,0.25,0.15,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic5","x1",0.3,12,0.6,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x1",0.3,12,0.6,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic5","x1",0.6,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic5","x1",0.6,6,0.25,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic5","x1",0.6,6,0.6,0,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic5","x1",0.6,6,0.6,0.15,50,8,0.16,0.083374206354009,0.285142161767449
"flag_dic5","x1",0.6,12,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x1",0.6,12,0.25,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_dic5","x1",0.6,12,0.6,0,50,14,0.28,0.174741705988143,0.416651238090447
"flag_dic5","x1",0.6,12,0.6,0.15,50,15,0.3,0.191035534303057,0.437503505768389
"flag_dic5","x1",1.2,6,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
