"rule","xvar","drift","n_studies","spread","tau_re","n","k","rate","lo","hi"
"flag_post","x2",0.3,6,0.25,0.15,50,8,0.16,0.083374206354009,0.285142161767449
"flag_post","x2",0.3,6,0.6,0,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_post","x2",0.3,6,0.6,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_post","x2",0.3,12,0.25,0,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_post","x2",0.3,12,0.25,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_post","x2",0.3,12,0.6,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_post","x2",0.3,12,0.6,0.15,50,11,0.22,0.127539159145196,0.352415496954828
"flag_post","x2",0.6,6,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_post","x2",0.6,6,0.25,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_post","x2",0.6,6,0.6,0,50,11,0.22,0.127539159145196,0.352415496954828
"flag_post","x2",0.6,6,0.6,0.15,50,17,0.34,0.224369491454104,0.478461740603053
"flag_post","x2",0.6,12,0.25,0,50,12,0.24,0.142973913373266,0.374126838719613
"flag_post","x2",0.6,12,0.25,0.15,50,11,0.22,0.127539159145196,0.352415496954828
"flag_post","x2",0.6,12,0.6,0,50,8,0.16,0.083374206354009,0.285142161767449
"flag_post","x2",0.6,12,0.6,0.15,50,14,0.28,0.174741705988143,0.416651238090447
"flag_post","x2",1.2,6,0.25,0,50,12,0.24,0.142973913373266,0.374126838719613
"flag_post","x2",1.2,6,0.25,0.15,50,21,0.42,0.293750032662329,0.557665583366249
"flag_post","x2",1.2,6,0.6,0,50,21,0.42,0.293750032662329,0.557665583366249
"flag_post","x2",1.2,6,0.6,0.15,50,17,0.34,0.224369491454104,0.478461740603053
"flag_post","x2",1.2,12,0.25,0,50,19,0.38,0.258627892271457,0.51849553177141
"flag_post","x2",1.2,12,0.25,0.15,50,15,0.3,0.191035534303057,0.437503505768389
"flag_post","x2",1.2,12,0.6,0,50,21,0.42,0.293750032662329,0.557665583366249
"flag_post","x2",1.2,12,0.6,0.15,50,29,0.58,0.442334416633751,0.706249967337671
