"rule","shift","drift","n_studies","spread","tau_re","n","risk"
"flag_dic10",1,1.2,6,0.6,0,37,1
"flag_dic10",1,1.2,6,0.6,0.15,35,1
"flag_dic10",1,1.2,12,0.25,0,45,1
"flag_dic10",1,1.2,12,0.25,0.15,43,1
"flag_dic10",1,1.2,12,0.6,0,19,1
"flag_dic10",1,1.2,12,0.6,0.15,15,1
"flag_dic10",1.5,0,6,0.25,0,50,0.46
"flag_dic10",1.5,0,6,0.25,0.15,50,0.58
"flag_dic10",1.5,0,6,0.6,0,50,0.5
"flag_dic10",1.5,0,6,0.6,0.15,50,0.58
"flag_dic10",1.5,0,12,0.25,0,50,0.28
"flag_dic10",1.5,0,12,0.25,0.15,50,0.24
"flag_dic10",1.5,0,12,0.6,0,50,0.34
"flag_dic10",1.5,0,12,0.6,0.15,50,0.34
"flag_dic10",1.5,0.3,6,0.25,0,50,0.9
"flag_dic10",1.5,0.3,6,0.25,0.15,50,0.9
"flag_dic10",1.5,0.3,6,0.6,0,50,0.92
"flag_dic10",1.5,0.3,6,0.6,0.15,50,0.88
"flag_dic10",1.5,0.3,12,0.25,0,50,0.96
"flag_dic10",1.5,0.3,12,0.25,0.15,49,0.938775510204082
"flag_dic10",1.5,0.3,12,0.6,0,50,0.98
"flag_dic10",1.5,0.3,12,0.6,0.15,49,0.959183673469388
"flag_dic10",1.5,0.6,6,0.25,0,50,1
"flag_dic10",1.5,0.6,6,0.25,0.15,50,1
"flag_dic10",1.5,0.6,6,0.6,0,49,1
"flag_dic10",1.5,0.6,6,0.6,0.15,48,0.979166666666667
"flag_dic10",1.5,0.6,12,0.25,0,49,1
"flag_dic10",1.5,0.6,12,0.25,0.15,47,1
"flag_dic10",1.5,0.6,12,0.6,0,46,1
"flag_dic10",1.5,0.6,12,0.6,0.15,41,1
"flag_dic10",1.5,1.2,6,0.25,0,49,1
"flag_dic10",1.5,1.2,6,0.25,0.15,42,1
"flag_dic10",1.5,1.2,6,0.6,0,37,1
"flag_dic10",1.5,1.2,6,0.6,0.15,35,0.971428571428571
"flag_dic10",1.5,1.2,12,0.25,0,45,1
"flag_dic10",1.5,1.2,12,0.25,0.15,43,1
"flag_dic10",1.5,1.2,12,0.6,0,19,1
"flag_dic10",1.5,1.2,12,0.6,0.15,15,1
"flag_dic2",0,0,6,0.25,0,47,0.446808510638298
"flag_dic2",0,0,6,0.25,0.15,43,0.604651162790698
"flag_dic2",0,0,6,0.6,0,48,0.541666666666667
"flag_dic2",0,0,6,0.6,0.15,42,0.547619047619048
"flag_dic2",0,0,12,0.25,0,46,0.326086956521739
"flag_dic2",0,0,12,0.25,0.15,45,0.266666666666667
"flag_dic2",0,0,12,0.6,0,41,0.390243902439024
"flag_dic2",0,0,12,0.6,0.15,40,0.275
"flag_dic2",0,0.3,6,0.25,0,47,0.446808510638298
"flag_dic2",0,0.3,6,0.25,0.15,41,0.414634146341463
"flag_dic2",0,0.3,6,0.6,0,42,0.452380952380952
"flag_dic2",0,0.3,6,0.6,0.15,43,0.441860465116279
"flag_dic2",0,0.3,12,0.25,0,45,0.222222222222222
"flag_dic2",0,0.3,12,0.25,0.15,41,0.390243902439024
"flag_dic2",0,0.3,12,0.6,0,39,0.307692307692308
"flag_dic2",0,0.3,12,0.6,0.15,37,0.243243243243243
"flag_dic2",0,0.6,6,0.25,0,47,0.425531914893617
"flag_dic2",0,0.6,6,0.25,0.15,39,0.487179487179487
"flag_dic2",0,0.6,6,0.6,0,34,0.588235294117647
"flag_dic2",0,0.6,6,0.6,0.15,30,0.6
"flag_dic2",0,0.6,12,0.25,0,39,0.282051282051282
"flag_dic2",0,0.6,12,0.25,0.15,34,0.441176470588235
"flag_dic2",0,0.6,12,0.6,0,29,0.413793103448276
"flag_dic2",0,0.6,12,0.6,0.15,25,0.48
"flag_dic2",0,1.2,6,0.25,0,36,0.611111111111111
"flag_dic2",0,1.2,6,0.25,0.15,26,0.5
"flag_dic2",0,1.2,6,0.6,0,15,0.8
"flag_dic2",0,1.2,6,0.6,0.15,18,0.444444444444444
"flag_dic2",0,1.2,12,0.25,0,21,0.380952380952381
"flag_dic2",0,1.2,12,0.25,0.15,19,0.473684210526316
"flag_dic2",0,1.2,12,0.6,0,4,1
"flag_dic2",0,1.2,12,0.6,0.15,4,0.25
"flag_dic2",0.5,0,6,0.25,0,47,0.446808510638298
"flag_dic2",0.5,0,6,0.25,0.15,43,0.604651162790698
"flag_dic2",0.5,0,6,0.6,0,48,0.541666666666667
"flag_dic2",0.5,0,6,0.6,0.15,42,0.547619047619048
"flag_dic2",0.5,0,12,0.25,0,46,0.326086956521739
"flag_dic2",0.5,0,12,0.25,0.15,45,0.266666666666667
"flag_dic2",0.5,0,12,0.6,0,41,0.390243902439024
"flag_dic2",0.5,0,12,0.6,0.15,40,0.275
"flag_dic2",0.5,0.3,6,0.25,0,47,0.531914893617021
"flag_dic2",0.5,0.3,6,0.25,0.15,41,0.560975609756098
"flag_dic2",0.5,0.3,6,0.6,0,42,0.738095238095238
"flag_dic2",0.5,0.3,6,0.6,0.15,43,0.604651162790698
"flag_dic2",0.5,0.3,12,0.25,0,45,0.444444444444444
"flag_dic2",0.5,0.3,12,0.25,0.15,41,0.439024390243902
"flag_dic2",0.5,0.3,12,0.6,0,39,0.512820512820513
"flag_dic2",0.5,0.3,12,0.6,0.15,37,0.540540540540541
"flag_dic2",0.5,0.6,6,0.25,0,47,0.702127659574468
"flag_dic2",0.5,0.6,6,0.25,0.15,39,0.692307692307692
"flag_dic2",0.5,0.6,6,0.6,0,34,0.735294117647059
"flag_dic2",0.5,0.6,6,0.6,0.15,30,0.8
"flag_dic2",0.5,0.6,12,0.25,0,39,0.794871794871795
"flag_dic2",0.5,0.6,12,0.25,0.15,34,0.735294117647059
"flag_dic2",0.5,0.6,12,0.6,0,29,0.758620689655172
"flag_dic2",0.5,0.6,12,0.6,0.15,25,0.92
"flag_dic2",0.5,1.2,6,0.25,0,36,1
"flag_dic2",0.5,1.2,6,0.25,0.15,26,0.923076923076923
"flag_dic2",0.5,1.2,6,0.6,0,15,0.866666666666667
"flag_dic2",0.5,1.2,6,0.6,0.15,18,0.888888888888889
"flag_dic2",0.5,1.2,12,0.25,0,21,1
"flag_dic2",0.5,1.2,12,0.25,0.15,19,1
"flag_dic2",0.5,1.2,12,0.6,0,4,0.75
"flag_dic2",0.5,1.2,12,0.6,0.15,4,0.75
"flag_dic2",1,0,6,0.25,0,47,0.446808510638298
"flag_dic2",1,0,6,0.25,0.15,43,0.604651162790698
"flag_dic2",1,0,6,0.6,0,48,0.541666666666667
"flag_dic2",1,0,6,0.6,0.15,42,0.547619047619048
"flag_dic2",1,0,12,0.25,0,46,0.326086956521739
"flag_dic2",1,0,12,0.25,0.15,45,0.266666666666667
"flag_dic2",1,0,12,0.6,0,41,0.390243902439024
"flag_dic2",1,0,12,0.6,0.15,40,0.275
"flag_dic2",1,0.3,6,0.25,0,47,0.74468085106383
"flag_dic2",1,0.3,6,0.25,0.15,41,0.75609756097561
"flag_dic2",1,0.3,6,0.6,0,42,0.785714285714286
"flag_dic2",1,0.3,6,0.6,0.15,43,0.744186046511628
"flag_dic2",1,0.3,12,0.25,0,45,0.8
"flag_dic2",1,0.3,12,0.25,0.15,41,0.682926829268293
"flag_dic2",1,0.3,12,0.6,0,39,0.846153846153846
"flag_dic2",1,0.3,12,0.6,0.15,37,0.837837837837838
"flag_dic2",1,0.6,6,0.25,0,47,1
"flag_dic2",1,0.6,6,0.25,0.15,39,0.974358974358974
"flag_dic2",1,0.6,6,0.6,0,34,0.970588235294118
"flag_dic2",1,0.6,6,0.6,0.15,30,1
"flag_dic2",1,0.6,12,0.25,0,39,1
"flag_dic2",1,0.6,12,0.25,0.15,34,1
"flag_dic2",1,0.6,12,0.6,0,29,0.96551724137931
"flag_dic2",1,0.6,12,0.6,0.15,25,1
"flag_dic2",1,1.2,6,0.25,0,36,1
"flag_dic2",1,1.2,6,0.25,0.15,26,1
"flag_dic2",1,1.2,6,0.6,0,15,1
"flag_dic2",1,1.2,6,0.6,0.15,18,1
"flag_dic2",1,1.2,12,0.25,0,21,1
"flag_dic2",1,1.2,12,0.25,0.15,19,1
"flag_dic2",1,1.2,12,0.6,0,4,1
"flag_dic2",1,1.2,12,0.6,0.15,4,1
"flag_dic2",1.5,0,6,0.25,0,47,0.446808510638298
"flag_dic2",1.5,0,6,0.25,0.15,43,0.604651162790698
"flag_dic2",1.5,0,6,0.6,0,48,0.520833333333333
"flag_dic2",1.5,0,6,0.6,0.15,42,0.547619047619048
"flag_dic2",1.5,0,12,0.25,0,46,0.304347826086957
"flag_dic2",1.5,0,12,0.25,0.15,45,0.266666666666667
"flag_dic2",1.5,0,12,0.6,0,41,0.390243902439024
"flag_dic2",1.5,0,12,0.6,0.15,40,0.275
"flag_dic2",1.5,0.3,6,0.25,0,47,0.893617021276596
"flag_dic2",1.5,0.3,6,0.25,0.15,41,0.902439024390244
"flag_dic2",1.5,0.3,6,0.6,0,42,0.904761904761905
"flag_dic2",1.5,0.3,6,0.6,0.15,43,0.86046511627907
"flag_dic2",1.5,0.3,12,0.25,0,45,0.955555555555556
"flag_dic2",1.5,0.3,12,0.25,0.15,41,0.926829268292683
"flag_dic2",1.5,0.3,12,0.6,0,39,0.974358974358974
"flag_dic2",1.5,0.3,12,0.6,0.15,37,0.972972972972973
"flag_dic2",1.5,0.6,6,0.25,0,47,1
"flag_dic2",1.5,0.6,6,0.25,0.15,39,1
"flag_dic2",1.5,0.6,6,0.6,0,34,1
"flag_dic2",1.5,0.6,6,0.6,0.15,30,0.966666666666667
"flag_dic2",1.5,0.6,12,0.25,0,39,1
"flag_dic2",1.5,0.6,12,0.25,0.15,34,1
"flag_dic2",1.5,0.6,12,0.6,0,29,1
"flag_dic2",1.5,0.6,12,0.6,0.15,25,1
"flag_dic2",1.5,1.2,6,0.25,0,36,1
"flag_dic2",1.5,1.2,6,0.25,0.15,26,1
"flag_dic2",1.5,1.2,6,0.6,0,15,1
"flag_dic2",1.5,1.2,6,0.6,0.15,18,1
"flag_dic2",1.5,1.2,12,0.25,0,21,1
"flag_dic2",1.5,1.2,12,0.25,0.15,19,1
"flag_dic2",1.5,1.2,12,0.6,0,4,1
"flag_dic2",1.5,1.2,12,0.6,0.15,4,1
"flag_dic5",0,0,6,0.25,0,50,0.46
"flag_dic5",0,0,6,0.25,0.15,49,0.571428571428571
"flag_dic5",0,0,6,0.6,0,50,0.52
"flag_dic5",0,0,6,0.6,0.15,47,0.553191489361702
"flag_dic5",0,0,12,0.25,0,49,0.306122448979592
"flag_dic5",0,0,12,0.25,0.15,47,0.25531914893617
"flag_dic5",0,0,12,0.6,0,49,0.346938775510204
"flag_dic5",0,0,12,0.6,0.15,48,0.3125
"flag_dic5",0,0.3,6,0.25,0,49,0.448979591836735
"flag_dic5",0,0.3,6,0.25,0.15,46,0.434782608695652
"flag_dic5",0,0.3,6,0.6,0,48,0.458333333333333
"flag_dic5",0,0.3,6,0.6,0.15,46,0.434782608695652
"flag_dic5",0,0.3,12,0.25,0,50,0.2
"flag_dic5",0,0.3,12,0.25,0.15,48,0.416666666666667
"flag_dic5",0,0.3,12,0.6,0,47,0.297872340425532
"flag_dic5",0,0.3,12,0.6,0.15,44,0.272727272727273
"flag_dic5",0,0.6,6,0.25,0,50,0.44
"flag_dic5",0,0.6,6,0.25,0.15,46,0.478260869565217
"flag_dic5",0,0.6,6,0.6,0,42,0.523809523809524
"flag_dic5",0,0.6,6,0.6,0.15,40,0.575
"flag_dic5",0,0.6,12,0.25,0,45,0.266666666666667
"flag_dic5",0,0.6,12,0.25,0.15,41,0.390243902439024
"flag_dic5",0,0.6,12,0.6,0,36,0.416666666666667
"flag_dic5",0,0.6,12,0.6,0.15,33,0.393939393939394
"flag_dic5",0,1.2,6,0.25,0,47,0.659574468085106
"flag_dic5",0,1.2,6,0.25,0.15,38,0.578947368421053
"flag_dic5",0,1.2,6,0.6,0,26,0.730769230769231
"flag_dic5",0,1.2,6,0.6,0.15,27,0.555555555555556
"flag_dic5",0,1.2,12,0.25,0,27,0.333333333333333
"flag_dic5",0,1.2,12,0.25,0.15,27,0.481481481481481
"flag_dic5",0,1.2,12,0.6,0,8,1
"flag_dic5",0,1.2,12,0.6,0.15,7,0.142857142857143
"flag_dic5",0.5,0,6,0.25,0,50,0.46
"flag_dic5",0.5,0,6,0.25,0.15,49,0.571428571428571
"flag_dic5",0.5,0,6,0.6,0,50,0.52
"flag_dic5",0.5,0,6,0.6,0.15,47,0.553191489361702
"flag_dic5",0.5,0,12,0.25,0,49,0.306122448979592
"flag_dic5",0.5,0,12,0.25,0.15,47,0.25531914893617
"flag_dic5",0.5,0,12,0.6,0,49,0.36734693877551
"flag_dic5",0.5,0,12,0.6,0.15,48,0.3125
"flag_dic5",0.5,0.3,6,0.25,0,49,0.510204081632653
"flag_dic5",0.5,0.3,6,0.25,0.15,46,0.565217391304348
"flag_dic5",0.5,0.3,6,0.6,0,48,0.708333333333333
"flag_dic5",0.5,0.3,6,0.6,0.15,46,0.608695652173913
"flag_dic5",0.5,0.3,12,0.25,0,50,0.46
"flag_dic5",0.5,0.3,12,0.25,0.15,48,0.479166666666667
"flag_dic5",0.5,0.3,12,0.6,0,47,0.48936170212766
"flag_dic5",0.5,0.3,12,0.6,0.15,44,0.545454545454545
"flag_dic5",0.5,0.6,6,0.25,0,50,0.72
"flag_dic5",0.5,0.6,6,0.25,0.15,46,0.673913043478261
"flag_dic5",0.5,0.6,6,0.6,0,42,0.738095238095238
"flag_dic5",0.5,0.6,6,0.6,0.15,40,0.75
"flag_dic5",0.5,0.6,12,0.25,0,45,0.822222222222222
"flag_dic5",0.5,0.6,12,0.25,0.15,41,0.731707317073171
"flag_dic5",0.5,0.6,12,0.6,0,36,0.75
"flag_dic5",0.5,0.6,12,0.6,0.15,33,0.93939393939394
"flag_dic5",0.5,1.2,6,0.25,0,47,0.978723404255319
"flag_dic5",0.5,1.2,6,0.25,0.15,38,0.868421052631579
