"rule","shift","n","n_cells","risk_deployed","hi95","risk_sys_deployed","hi95_sys"
"flag_dic10",0,744,16,0.41308603812468,0.444626685186556,0,0
"flag_dic10",0.5,744,16,0.565018031942302,0.596155873212724,0.587841318907783,0.58784131890778
"flag_dic10",1,744,16,0.688511076764555,0.716552857213062,0.587841318907783,0.58784131890778
"flag_dic10",1.5,744,16,0.734672849046882,0.759649938541178,0.587841318907783,0.58784131890778
"flag_dic2",0,580,16,0.421485069593478,0.45687453142597,0,0
"flag_dic2",0.5,580,16,0.557790177202775,0.592743042996144,0.551658593414682,0.551658593414679
"flag_dic2",1,580,16,0.677110797719053,0.708759332968145,0.551658593414682,0.551658593414679
"flag_dic2",1.5,580,16,0.71880556747808,0.747661275141695,0.551658593414682,0.551658593414679
"flag_dic5",0,673,16,0.412306518421629,0.445167171577347,0,0
"flag_dic5",0.5,673,16,0.556627425332465,0.589189287027659,0.567909308916507,0.567909308916503
"flag_dic5",1,673,16,0.681872683671245,0.711123226344524,0.567909308916507,0.567909308916503
"flag_dic5",1.5,673,16,0.723239590146064,0.749619286381722,0.567909308916507,0.567909308916503
"flag_margin",0,376,16,0.406320968962906,0.449415641390651,0,0
"flag_margin",0.5,376,16,0.546177138531414,0.588663691734323,0.558289174867523,0.558289174867525
"flag_margin",1,376,16,0.666067373202119,0.704908626560123,0.558289174867523,0.558289174867525
"flag_margin",1.5,376,16,0.713569265707797,0.74868603646578,0.558289174867523,0.558289174867525
"flag_post",0,562,16,0.423310530017265,0.459253761142546,0,0
"flag_post",0.5,562,16,0.568441915478553,0.603986864980188,0.562687807684935,0.562687807684931
"flag_post",1,562,16,0.684994565564865,0.717132551339005,0.562687807684935,0.562687807684931
"flag_post",1.5,562,16,0.730579886196537,0.759583733904877,0.562687807684935,0.562687807684931
