"cell","res","table","cens","rmse.km_ipd","rmse.weibull_ipd","rmse.km_recon","rmse.weibull_recon","rmse.curve","best_ipd","best_recon","share_km","share_wb"
1,"fine",6,"spread",0.517570847549434,0.50649942696005,0.516927351966905,0.505874434712195,0.516927359330329,"Weibull","Weibull",-0.00249124410587376,-0.00247246464441475
2,"coarse",6,"spread",0.506586590378286,0.501206059443369,0.505057426474517,0.501436912222541,0.506184257082188,"Weibull","Weibull",-0.00606457305877939,0.000920553047678463
3,"fine",0,"spread",0.519938859414356,0.505618100670944,0.519779199735302,0.506367252867443,0.519856249047797,"Weibull","Weibull",-0.000614430898080442,0.00295673948246811
4,"coarse",0,"spread",0.512890863845655,0.501069089576856,0.512153638655249,0.50196691641537,0.511033360166389,"Weibull","Weibull",-0.00288099405404507,0.0035740359563835
5,"fine",6,"clustered",0.53077703045069,0.517556957979192,0.530474295320287,0.517398240915929,0.530305545303753,"Weibull","Weibull",-0.00114170098975563,-0.000613614020033015
6,"coarse",6,"clustered",0.53160452389758,0.518418201275709,0.531029842737982,0.52003318579746,0.530453835410042,"Weibull","Weibull",-0.00216557365954184,0.00620143815912289
7,"fine",0,"clustered",0.518018357009903,0.500010136863457,0.517841384069585,0.499134882912905,0.518054809629912,"Weibull","Weibull",-0.000683619293960103,-0.00351015878792138
8,"coarse",0,"clustered",0.513051865520954,0.5042396634204,0.513285472060614,0.506478912106803,0.512579589538957,"Weibull","Weibull",0.000910033082392014,0.00882286918858777
