"diagnostic","abstain_rate","missed_failure","false_abstention"
"kish_ess",0.1,0.909177820267686,0.100876392185503
"kish_ess",0.2,0.80019120458891,0.200018258170531
"kish_ess",0.3,0.695028680688337,0.299525287566186
"kish_ess",0.4,0.581261950286807,0.398210699287931
"kish_ess",0.5,0.48565965583174,0.498630637210152
"kish_ess",0.6,0.396749521988528,0.599689611100968
"kish_ess",0.7,0.305927342256214,0.700566003286471
"kish_ess",0.8,0.207456978967495,0.800712068650721
"kish_ess",0.9,0.111854684512428,0.901132006572941
"unsupported_mass",0.1,0.896749521988528,0.0996896111009677
"unsupported_mass",0.2,0.794455066921606,0.199470513054592
"unsupported_mass",0.3,0.690248565965583,0.299068833302903
"unsupported_mass",0.4,0.582217973231358,0.398301990140588
"unsupported_mass",0.5,0.48565965583174,0.498630637210152
"unsupported_mass",0.6,0.391969407265774,0.599233156837685
"unsupported_mass",0.7,0.29923518164436,0.699926967317875
"unsupported_mass",0.8,0.193116634799235,0.799342705860873
"unsupported_mass",0.9,0.0975143403441683,0.899762643783093
"max_weight_share",0.1,0.915869980879541,0.101515428154099
"max_weight_share",0.2,0.832695984703633,0.203122147160854
"max_weight_share",0.3,0.722753346080306,0.302172722293226
"max_weight_share",0.4,0.626195028680688,0.40250136936279
"max_weight_share",0.5,0.509560229445507,0.500912908526566
"max_weight_share",0.6,0.407265774378585,0.60069381048019
"max_weight_share",0.7,0.322179732313576,0.702117947781632
"max_weight_share",0.8,0.216061185468451,0.80153368632463
"max_weight_share",0.9,0.108986615678776,0.900858134014972
"alignment_score",0.1,0.84225621414914,0.0944860324995435
"alignment_score",0.2,0.666347992351816,0.187237538798612
"alignment_score",0.3,0.580305927342256,0.288570385247398
"alignment_score",0.4,0.495219885277247,0.389994522548841
"alignment_score",0.5,0.391969407265774,0.489684133649808
"alignment_score",0.6,0.293499043977055,0.589830199014059
"alignment_score",0.7,0.209369024856597,0.691345627168158
"alignment_score",0.8,0.133843212237094,0.793682672996166
"alignment_score",0.9,0.0583173996175908,0.896019718824174
