"cell","k_t","b","m_t","estimand","method","n_ok","bias","mcse","coverage","truth"
8,4,0.4,0.5,"diff","stc_recal",1000,0.00092973686869075,0.000760328220259827,0.956,-0.0413850652953932
8,4,0.4,0.5,"A","maic_A",1000,0.155997506176598,0.00102205128622016,0.001,0.206482049474398
8,4,0.4,0.5,"A","stc_A",1000,0.155463169287458,0.000836382651899343,0,0.206482049474398
8,4,0.4,0.5,"A","stc_recal_A",1000,-0.000615493919588052,0.000711197282976003,0.856,0.206482049474398
8,4,0.4,0.5,"hr","log_hr1",1000,0.00113763929315809,0.00427905112250079,0.95,-0.3
9,0.5,0,1,"diff","maic",1000,0.0131949921960073,0.00218528287358408,0.932,-0.148008688563185
9,0.5,0,1,"diff","stc",1000,0.0124949920592603,0.00148101485948126,0.94,-0.148008688563185
9,0.5,0,1,"diff","stc_recal",1000,0.000200609162279527,0.00160419991136333,0.952,-0.148008688563185
9,0.5,0,1,"A","maic_A",1000,-0.0543603773217074,0.00151743403179617,0.722,0.391193249213444
9,0.5,0,1,"A","stc_A",1000,-0.0559827183618964,0.00115794515453622,0.645,0.391193249213444
9,0.5,0,1,"A","stc_recal_A",1000,-0.00108052173712135,0.00128274381688506,0.918,0.391193249213444
9,0.5,0,1,"hr","log_hr1",1000,-0.00691294268994601,0.00548261328162015,0.949,-0.5
10,1,0,1,"diff","maic",1000,0.00230226919645279,0.00214905400985154,0.949,-0.135421757427624
10,1,0,1,"diff","stc",1000,0.00226867748557138,0.00154341741578176,0.939,-0.135421757427624
10,1,0,1,"diff","stc_recal",1000,0.00266719716337781,0.00150934508133346,0.947,-0.135421757427624
10,1,0,1,"A","maic_A",1000,0.00226161460472013,0.00149721502518877,0.932,0.335622805884598
10,1,0,1,"A","stc_A",1000,0.000676049240571203,0.00118190019248951,0.939,0.335622805884598
10,1,0,1,"A","stc_recal_A",1000,0.000549895274838471,0.00121161314147495,0.913,0.335622805884598
10,1,0,1,"hr","log_hr1",1000,0.0027034939959375,0.0056934239378828,0.948,-0.5
11,2,0,1,"diff","maic",1000,-0.0184360681402521,0.00219983885105394,0.924,-0.114392762702252
11,2,0,1,"diff","stc",1000,-0.0211703945364208,0.00148556813262898,0.918,-0.114392762702252
11,2,0,1,"diff","stc_recal",1000,0.000697497928831958,0.00119533985486251,0.953,-0.114392762702252
11,2,0,1,"A","maic_A",1000,0.0791767161338172,0.0015053809005639,0.62,0.258178133410431
11,2,0,1,"A","stc_A",1000,0.0762242609059771,0.00111967056593778,0.442,0.258178133410431
11,2,0,1,"A","stc_recal_A",1000,-0.00132830471036546,0.000997687696384821,0.889,0.258178133410431
11,2,0,1,"hr","log_hr1",1000,-0.00685266433506448,0.0054880474346516,0.946,-0.5
12,4,0,1,"diff","maic",1000,-0.0478828837318282,0.00207437558595724,0.872,-0.085478106970558
12,4,0,1,"diff","stc",1000,-0.0490471322738676,0.00149435293421777,0.806,-0.085478106970558
12,4,0,1,"diff","stc_recal",1000,0.00176377592032668,0.000868210221073883,0.972,-0.085478106970558
12,4,0,1,"A","maic_A",1000,0.163315109133478,0.00148493586014684,0.03,0.172438077188919
12,4,0,1,"A","stc_A",1000,0.162845849977814,0.00113620518241518,0.001,0.172438077188919
12,4,0,1,"A","stc_recal_A",1000,-0.000825693125344569,0.000806493213069065,0.851,0.172438077188919
12,4,0,1,"hr","log_hr1",1000,-0.00267619044666841,0.00552674847495716,0.961,-0.5
13,0.5,0.4,1,"diff","maic",1000,0.00822350956493486,0.0021512304284708,0.936,-0.0268147107291677
13,0.5,0.4,1,"diff","stc",1000,0.00713610655818033,0.00142457036489278,0.944,-0.0268147107291677
13,0.5,0.4,1,"diff","stc_recal",1000,0.00189252142553754,0.00147136590372014,0.95,-0.0268147107291677
13,0.5,0.4,1,"A","maic_A",1000,-0.0614543675526217,0.00145771160279901,0.751,0.512387227047461
13,0.5,0.4,1,"A","stc_A",1000,-0.0630451646050217,0.00104960514913361,0.53,0.512387227047461
13,0.5,0.4,1,"A","stc_recal_A",1000,-0.00168062048264039,0.00107348254080191,0.923,0.512387227047461
13,0.5,0.4,1,"hr","log_hr1",1000,0.00822835187275539,0.00520384656892987,0.948,-0.1
14,1,0.4,1,"diff","maic",1000,0.00343961626397713,0.0021464945950231,0.937,-0.0212287636535995
14,1,0.4,1,"diff","stc",1000,0.00290951595958756,0.00142883717530378,0.945,-0.0212287636535995
14,1,0.4,1,"diff","stc_recal",1000,0.00329759161751329,0.00141475104667246,0.945,-0.0212287636535995
14,1,0.4,1,"A","maic_A",1000,0.0010967456192179,0.00147256372699407,0.942,0.449815799658622
14,1,0.4,1,"A","stc_A",1000,-0.000922489878176656,0.00111397153362367,0.932,0.449815799658622
14,1,0.4,1,"A","stc_recal_A",1000,-0.00103240601989083,0.00115071506798985,0.892,0.449815799658622
14,1,0.4,1,"hr","log_hr1",1000,0.0126386734787689,0.00523403299495233,0.946,-0.1
15,2,0.4,1,"diff","maic",1000,-0.00624034492198949,0.00214759145713342,0.936,-0.014875463970946
15,2,0.4,1,"diff","stc",1000,-0.00682048705299208,0.00140977920384881,0.951,-0.014875463970946
15,2,0.4,1,"diff","stc_recal",1000,0.000424001358651722,0.00126045617985737,0.946,-0.014875463970946
15,2,0.4,1,"A","maic_A",1000,0.0921366343070605,0.00154070352018015,0.503,0.357695432141737
15,2,0.4,1,"A","stc_A",1000,0.090048007624848,0.00112541793373404,0.26,0.357695432141737
15,2,0.4,1,"A","stc_recal_A",1000,-0.00208141044519749,0.00113039714913488,0.872,0.357695432141737
15,2,0.4,1,"hr","log_hr1",1000,0.000535284885867454,0.00517421414490632,0.944,-0.1
16,4,0.4,1,"diff","maic",1000,-0.0106578772200997,0.00210515193783184,0.939,-0.00937724196741085
16,4,0.4,1,"diff","stc",1000,-0.0114579793025223,0.0013821833063533,0.938,-0.00937724196741085
16,4,0.4,1,"diff","stc_recal",1000,0.00137195316596094,0.00100023667498991,0.957,-0.00937724196741085
16,4,0.4,1,"A","maic_A",1000,0.200961181172015,0.00149056106483189,0.01,0.248538942192066
16,4,0.4,1,"A","stc_A",1000,0.19941936952287,0.00110990027226314,0,0.248538942192066
16,4,0.4,1,"A","stc_recal_A",1000,1.11266630344874e-06,0.000995961741363182,0.857,0.248538942192066
16,4,0.4,1,"hr","log_hr1",1000,0.00345045376620988,0.00506135720100402,0.961,-0.1
