"statistic","auc_all","auc_real"
"contraction",0.710822478778274,0.748627485598626
"prior_sens",0.766338103893258,0.781380368705659
"lik_sens",0.504837595768908,0.626859810533187
"h2",0.578058724736444,0.511163905850867
"refit_sd",0.652716875239878,0.761624888833141
