"rule","n_miss","sensitivity","sens_mcse","n_cov","false_alarm","fa_mcse"
"Contraction",32744,0.122159784998778,0.00180969755778879,255256,0.0156705425141818,0.000245823997898223
"Prior-only benchmark",32744,0.0172856095773271,0.000720261401610549,255256,0.0243245996176388,0.000304921149452593
"Power-scaling",32744,0.00696310774493037,0.000459534776653024,255256,0.00345927226000564,0.000116212252430331
"Tight and loose refit",32744,0.82998411922795,0.00207593509213562,255256,0.530874886388567,0.000987762313132336
"Composite (2 of 4)",32744,0.126893476667481,0.00183944750790467,255256,0.0254842197636882,0.000311919214943402
